Week no.,WK 11,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,14/12/19,,15/12/19,,16/12/19,,17/12/19,,18/12/19,,19/12/19,,20/12/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,14/12/19,15/12/19,16/12/19,17/12/19,18/12/19,19/12/19,20/12/19,,20/12/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,14/12/19,15/12/19,16/12/19,17/12/19,18/12/19,19/12/19,20/12/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1500,1064,2000,2288,2000,1880,2200,2616,2200,1904,2100,1756,1500,1900,,,,14408,13408,13456,3352,1064,2288,1880,2616,1904,1756,1900,,1900,,,,,,,,4,266,572,470,654,476,439,475,3352,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,5500,3808,6000,8248,6500,5584,6000,7008,5600,5528,5000,5008,4200,4912,,,,39720,40096,38448,5012,3808,8248,5584,7008,5528,5008,4912,,4912,,,,,MISSING,MISSING,,8,476,1031,698,876,691,626,614,5012,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,3000,2224,4500,5072,4200,4104,4500,4392,4500,4304,4200,3432,3500,3480,,,,29112,27008,28096,3376,2224,5072,4104,4392,4304,3432,3480,,3480,,,,,MISSING,MISSING,,8,278,634,513,549,538,429,435,3376,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,600,408,700,388,600,536,800,1144,800,568,900,500,700,788,,,,3544,4332,3436,1083,408,388,536,1144,568,500,788,,788,,,,,MISSING,MISSING,,4,102,97,134,286,142,125,197,1083,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,600,456,850,692,700,772,900,1388,900,804,1000,788,900,1120,,,,4824,6020,4800,1505,456,692,772,1388,804,788,1120,,1120,,,,,MISSING,MISSING,,4,114,173,193,347,201,197,280,1505,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,0,0,0,0,0,0,0,,0,,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23357
