Week no.,WK 22,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,23/02/19,,24/02/19,,25/02/19,,26/02/19,,27/02/19,,28/02/19,,01/03/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,23/02/19,24/02/19,25/02/19,26/02/19,27/02/19,28/02/19,01/03/19,,01/03/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,23/02/19,24/02/19,25/02/19,26/02/19,27/02/19,28/02/19,01/03/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11%,,7%,,13%,,17%,,16%,,11%,,16%,,,,,13%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1000,976,2200,2492,2000,2060,2000,1136,2000,1576,1500,1308,1200,1224,,,,11732,10772,11148,2693,976,2492,2060,1136,1576,1308,1224,,1224,,,,,,,,4,244,623,515,284,394,327,306,2693,OK
50535478,23869,Asda,AS Chicken & Bacon Skillet x 6,Asda,P+3,Skillet,2700,1278,5500,6114,5000,5910,5100,6126,5000,6714,4200,5046,3300,3360,,,,32058,34548,29240,5758,1278,6114,5910,6126,6714,5046,3360,,3360,,,,,MISSING,MISSING,,6,213,1019,985,1021,1119,841,560,5758,OK
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2000,1264,3500,3768,3500,4144,3600,2936,4000,3616,3200,3448,2400,2480,,,,24024,21656,21473,2707,1264,3768,4144,2936,3616,3448,2480,,2480,,,,,MISSING,MISSING,,8,158,471,518,367,452,431,310,2707,OK
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1400,738,2500,2550,2800,3606,3000,2316,3000,2454,2400,2736,1600,1824,,,,18486,16224,16082,2704,738,2550,3606,2316,2454,2736,1824,,1824,,,,,MISSING,MISSING,,6,123,425,601,386,409,456,304,2704,OK
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+2,Alternative,800,840,2200,2100,1500,1608,1400,820,1500,852,900,712,800,708,,,,8680,7640,8224,1910,840,2100,1608,820,852,712,708,,708,,,,,MISSING,MISSING,,4,210,525,402,205,213,178,177,1910,OK
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+2,Alternative,900,1128,2400,2480,1650,2016,1800,992,1700,1344,1200,952,1000,872,,,,10772,9784,10052,2446,1128,2480,2016,992,1344,952,872,,872,,,,,MISSING,MISSING,,4,282,620,504,248,336,238,218,2446,OK
