Week no.,WK 29,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,13/04/19,,14/04/19,,15/04/19,,16/04/19,,17/04/19,,18/04/19,,19/04/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,13/04/19,14/04/19,15/04/19,16/04/19,17/04/19,18/04/19,19/04/19,,19/04/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,13/04/19,14/04/19,15/04/19,16/04/19,17/04/19,18/04/19,19/04/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1200,956,3000,2920,2000,2088,2200,2544,2500,2708,2000,1040,1600,1324,,,,13664,13580,11956,3395,956,2920,2088,2544,2708,1040,1324,,1324,,,,,,,,4,239,730,522,636,677,260,331,3395,OK
50535478,23869,Asda,AS Chicken & Bacon Skillet x 6,Asda,P+3,Skillet,3100,2424,7500,7902,5800,5682,6000,6570,6500,6444,5000,4266,4500,3660,,,,37386,36948,31354,6158,2424,7902,5682,6570,6444,4266,3660,,3660,,,,,MISSING,MISSING,,6,404,1317,947,1095,1074,711,610,6158,OK
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2600,2032,6000,5784,3500,4096,4200,5032,4600,5168,3000,1864,2800,2856,,,,26952,26832,23027,3354,2032,5784,4096,5032,5168,1864,2856,,2856,,,,,MISSING,MISSING,,8,254,723,512,629,646,233,357,3354,OK
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1900,1176,5000,2922,2600,3702,3300,3510,3800,3150,2000,2160,2400,2190,,,,20532,18810,17239,3135,1176,2922,3702,3510,3150,2160,2190,,2190,,,,,MISSING,MISSING,,6,196,487,617,585,525,360,365,3135,OK
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+2,Alternative,800,680,1500,1732,1500,1312,1300,1508,1300,1296,1200,544,800,512,,,,7768,7584,8810,1896,680,1732,1312,1508,1296,544,512,,512,,,,,MISSING,MISSING,,4,170,433,328,377,324,136,128,1896,OK
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+2,Alternative,1000,952,1800,2116,1800,1756,1900,2048,1700,1524,1600,908,1000,628,,,,9812,9932,10257,2483,952,2116,1756,2048,1524,908,628,,628,,,,,MISSING,MISSING,,4,238,529,439,512,381,227,157,2483,OK
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+2,Alternative,400,324,550,548,700,632,700,700,550,436,600,444,300,212,,,,3408,3296,2850,824,324,548,632,700,436,444,212,,212,,,,,MISSING,MISSING,,4,81,137,158,175,109,111,53,824,OK
50422417,23359,Asda,AS Cheese Ploughmans Sub Roll x4,Asda,P+3,Alternative,200,128,500,452,450,456,500,588,420,400,500,332,300,172,,,,2696,2528,2075,632,128,452,456,588,400,332,172,,172,,,,,MISSING,MISSING,,4,32,113,114,147,100,83,43,632,OK
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,600,416,1000,1024,1000,1236,1400,1144,1200,1156,1200,828,800,716,,,,6496,6520,6276,1087,416,1024,1236,1144,1156,828,716,,716,,,,,MISSING,MISSING,,6,69,171,206,191,193,138,119,1087,OK
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,900,628,1400,1276,1200,1056,1400,1340,1500,1356,1500,1156,1400,804,,,,7536,7616,7373,1904,628,1276,1056,1340,1356,1156,804,,804,,,,,MISSING,MISSING,,4,157,319,264,335,339,289,201,1904,OK
50302723,22681,Asda,AS Loaded Chicken & Bacon Salad,Asda,P+4,Alternative,1000,828,2000,2336,1500,1092,1800,1600,1700,1764,2000,1060,1400,948,,,,9088,9628,9794,2407,828,2336,1092,1600,1764,1060,948,,948,,,,,MISSING,MISSING,,4,207,584,273,400,441,265,237,2407,OK
,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,350,308,308,312,380,8,300,16,400,348,360,544,400,380,,,,2012,1916,2328,479,308,312,8,16,348,544,380,,380,,,,,MISSING,MISSING,,4,77,78,2,4,87,136,95,479,OK
,23754,Asda Café,"ASC Chicken, Stuffing & Bacon Stack x4",Asda,P+4,Alternative,350,332,332,340,380,4,250,8,380,356,350,520,400,348,,,,1904,1908,2402,477,332,340,4,8,356,520,348,,348,,,,,MISSING,MISSING,,4,83,85,1,2,89,130,87,477,OK
,23755,Asda Café,"ASC Ham, Cheese & Pickle Stack x4",Asda,P+4,Alternative,320,352,352,364,380,8,280,16,400,364,330,580,400,388,,,,1980,2072,2401,518,352,364,8,16,364,580,388,,388,,,,,MISSING,MISSING,,4,88,91,2,4,91,145,97,518,OK
,23756,Asda Café,ASC Chicken & Bacon Caesar Wrap x4,Asda,P+4,Alternative,200,192,192,192,200,4,160,8,200,180,180,284,200,188,,,,1036,1048,1208,262,192,192,4,8,180,284,188,,188,,,,,MISSING,MISSING,,4,48,48,1,2,45,71,47,262,OK
,23757,Asda Café,ASC Ham & Cheese Toastie x2,Asda,P+7,Alternative,500,472,472,476,480,20,360,16,510,522,520,44,,,,,,2784,1550,3118,775,472,476,20,16,522,44,0,,0,,,MISSING,MISSING,MISSING,MISSING,,2,236,238,10,8,261,22,0,775,OK
,23758,Asda Café,ASC Cheese & Tomato Toastie x2,Asda,P+7,Alternative,400,372,372,372,400,10,280,12,400,444,400,46,,,,,,2240,1256,2467,628,372,372,10,12,444,46,0,,0,,,MISSING,MISSING,MISSING,MISSING,,2,186,186,5,6,222,23,0,628,OK
,23759,Asda Café,ASC BLT Stack x4,Asda,P+4,Alternative,320,348,348,356,320,4,250,12,380,372,350,472,350,360,,,,1984,1924,2142,481,348,356,4,12,372,472,360,,360,,,,,MISSING,MISSING,,4,87,89,1,3,93,118,90,481,OK
,23760,Asda Café,ASC ADB Topped Toastie x2,Asda,P+7,Alternative,200,176,176,178,190,2,150,6,210,218,220,68,,,,,,1232,648,1280,324,176,178,2,6,218,68,0,,0,,,MISSING,MISSING,MISSING,MISSING,,2,88,89,1,3,109,34,0,324,OK
,23761,Asda Café,ASC Tuna Melt Panini x2,Asda,P+7,Alternative,420,422,422,428,430,10,300,10,450,460,450,64,,,,,,2596,1394,2787,697,422,428,10,10,460,64,0,,0,,,MISSING,MISSING,MISSING,MISSING,,2,211,214,5,5,230,32,0,697,OK
,23762,Asda Café,ASC Mozzarella & Pesto Panini x2,Asda,P+7,Alternative,350,352,352,358,330,6,250,8,400,394,410,72,,,,,,2156,1190,2449,595,352,358,6,8,394,72,0,,0,,,MISSING,MISSING,MISSING,MISSING,,2,176,179,3,4,197,36,0,595,OK
,23763,Asda Café,ASC Chicken & Chorizo Panini x2,Asda,P+7,Alternative,420,424,424,434,420,12,300,10,440,448,480,64,,,,,,2440,1392,2593,696,424,434,12,10,448,64,0,,0,,,MISSING,MISSING,MISSING,MISSING,,2,212,217,6,5,224,32,0,696,OK
,23764,Asda Café,ASC Cheese & Ham Panini x2,Asda,P+7,Alternative,520,514,514,520,520,10,360,12,550,548,600,56,,,,,,3112,1660,3361,830,514,520,10,12,548,56,0,,0,,,MISSING,MISSING,MISSING,MISSING,,2,257,260,5,6,274,28,0,830,OK
,24051,Asda Café,ASC Chicken Fajita Hot Wrap x2,Asda,P+7,Alternative,300,244,244,354,300,166,300,134,300,258,360,248,,,,,,0,1404,1921,702,244,354,166,134,258,248,0,,0,,,MISSING,MISSING,MISSING,MISSING,,2,122,177,83,67,129,124,0,702,OK
,24052,Asda Café,ASC Meatball Hot Wrap x2,Asda,P+7,Alternative,300,240,240,352,300,170,300,138,300,248,360,232,,,,,,0,1380,1921,690,240,352,170,138,248,232,0,,0,,,MISSING,,MISSING,MISSING,,2,120,176,85,69,124,116,0,690,OK
,24319,Asda Café,ASC Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,,,,,,,,,,,,,300,600,,,,#N/A,600,#N/A,150,0,0,0,0,0,0,600,,600,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,150,150,OK
,24320,Asda Café,ASC Meatball Hot Wrap x4,Asda,P+7,Alternative,,,,,,,,,,,,,300,288,,,,#N/A,288,#N/A,72,0,0,0,0,0,0,288,,288,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,72,72,OK
,24331,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,,,,,,,,,,,,,450,1200,,,,#N/A,1200,#N/A,300,0,0,0,0,0,0,1200,,1204,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,300,300,OK
,24332,Asda Café,ASC Mozzarella & Pesto Panini x4,Asda,P+7,Alternative,,,,,,,,,,,,,380,1200,,,,#N/A,1200,#N/A,300,0,0,0,0,0,0,1200,,1200,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,300,300,OK
,24333,Asda Café,ASC Chicken & Chorizo Panini x4,Asda,P+7,Alternative,,,,,,,,,,,,,420,1200,,,,#N/A,1200,#N/A,300,0,0,0,0,0,0,1200,,1196,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,300,300,OK
,24334,Asda Café,ASC Cheese & Ham Panini x4,Asda,P+7,Alternative,,,,,,,,,,,,,550,1200,,,,#N/A,1200,#N/A,300,0,0,0,0,0,0,1200,,1208,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,300,300,OK
,24335,Asda Café,ASC Cheese & Tomato Toastie x4,Asda,P+7,Alternative,,,,,,,,,,,,,420,640,,,,#N/A,640,#N/A,160,0,0,0,0,0,0,640,,644,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,160,160,OK
,24336,Asda Café,ASC Ham & Cheese Toastie x4,Asda,P+7,Alternative,,,,,,,,,,,,,550,800,,,,#N/A,800,#N/A,200,0,0,0,0,0,0,800,,800,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,200,200,OK
,24337,Asda Café,ASC ADB Topped Toastie x4,Asda,P+7,Alternative,,,,,,,,,,,,,220,340,,,,#N/A,340,#N/A,85,0,0,0,0,0,0,340,,340,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,85,85,OK
,23362,Asda,AS Pulled Pork Sub Roll x4,Asda,P+3,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK
,23358,Asda,AS Chicken Tikka Sub Roll x4,Asda,P+3,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK
delist 07/08,23606,Asda,AS Wrap Platter,Asda,P+3,Alternative,,,,,,,,,,,,,,,,,,0,0,#N/A,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,6,0,0,0,0,0,0,0,0,OK
,M11393,Asda,AS TOASTIES (CHEESE & MUSTARD),Asda,,,,472,,476,,20,,16,,522,,44,,0,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,
,M11394,Asda,AS TOASTIES (BEANS & CHEESE),Asda,,,,176,,178,,2,,6,,218,,68,,0,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,
,M11395,Asda,AS TOASTIES ( CHEESE & TOAMATO),Asda,,,,372,,372,,10,,12,,444,,46,,0,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,
,,,,,,,,11%,,17%,,15%,,20%,,17%,,14%,,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP,,Totals ASDA,,,,19464,17736,33980,27982,25790,24306,29420,31924,30720,27792,25240,23270,21350,12270,0,0,0,170814,161232,159547,34037,15292,34048,23542,26990,30562,17896,15686,0,15686,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Test,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLD EAT,21459,BP,BP Southern Fried  Chicken Wrap x4,BP,P+3,Wrap,128,124,101,116,142,112,101,116,86,92,126,132,90,100,,,,866,792,863,198,124,116,112,116,92,132,100,,0,,,,,,,,4,31,29,28,29,23,33,25,198,OK
COLD EAT,21460,BP,BP Chicken & Stuffing Skillet x4,BP,P+3,Skillet,167,164,129,136,157,132,143,152,103,116,144,172,103,108,,,,1047,980,1016,245,164,136,132,152,116,172,108,,0,,,,,,,,4,41,34,33,38,29,43,27,245,OK
COLD EAT,21461,BP,BP Egg Mayo Skillet x4,BP,P+3,Skillet,163,152,130,152,180,148,143,156,112,124,153,156,106,112,,,,1014,1000,1041,250,152,152,148,156,124,156,112,,0,,,,,,,,4,38,38,37,39,31,39,28,250,OK
COLD EAT,21462,BP,BP Cheese Ploughmans Skillet x4,BP,P+3,Skillet,164,152,136,136,174,128,140,148,119,112,139,160,108,112,,,,1008,948,1036,237,152,136,128,148,112,160,112,,0,,,,,,,,4,38,34,32,37,28,40,28,237,OK
