Week no.,WK 07,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,09/11/19,,10/11/19,,11/11/19,,12/11/19,,13/11/19,,14/11/19,,15/11/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,09/11/19,10/11/19,11/11/19,12/11/19,13/11/19,14/11/19,15/11/19,,15/11/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,09/11/19,10/11/19,11/11/19,12/11/19,13/11/19,14/11/19,15/11/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1800,1296,2000,1872,2000,2420,2000,2172,2000,1640,1900,1680,1800,1656,,,,13596,12736,12254,3184,1296,1872,2420,2172,1640,1680,1656,,1656,,,,,,,,4,324,468,605,543,410,420,414,3184,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,5000,4904,5000,5088,5500,5400,6000,5592,5500,5440,5000,4768,4000,3480,,,,36216,34672,33399,4334,4904,5088,5400,5592,5440,4768,3480,,3480,,,,,MISSING,MISSING,,8,613,636,675,699,680,596,435,4334,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,4000,3312,4500,4288,4500,4496,5000,4528,4600,3368,4000,3888,4600,3368,,,,26976,27248,29996,3406,3312,4288,4496,4528,3368,3888,3368,,3368,,,,,MISSING,MISSING,,8,414,536,562,566,421,486,421,3406,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,500,340,600,560,700,500,600,512,700,564,700,472,600,628,,,,3332,3576,3744,894,340,560,500,512,564,472,628,,628,,,,,MISSING,MISSING,,4,85,140,125,128,141,118,157,894,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,800,508,700,672,900,680,900,752,800,744,800,632,800,824,,,,4504,4812,5210,1203,508,672,680,752,744,632,824,,824,,,,,MISSING,MISSING,,4,127,168,170,188,186,158,206,1203,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,,,,,,0,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,600,440,900,644,800,636,900,652,800,640,800,640,800,616,,,,3928,4268,4869,1067,440,644,636,652,640,640,616,,616,,,,,MISSING,MISSING,,4,110,161,159,163,160,160,154,1067,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,5600,2388,3000,2814,3000,3126,3500,3138,3500,2706,2500,2838,2100,2328,,,,19056,19338,18400,3223,2388,2814,3126,3138,2706,2838,2328,,2328,,,,,MISSING,MISSING,,6,398,469,521,523,451,473,388,3223,OK,,23871
50779457,24806,Asda Café,ASC NEW Tuna Melt Panini x4,Asda,P+7,Alternative,400,252,420,272,450,276,350,352,400,320,400,372,350,320,,,,2364,2164,2531,541,252,272,276,352,320,372,320,,320,,,,,MISSING,MISSING,,4,63,68,69,88,80,93,80,541,OK,,#N/A
50779458,24807,Asda Café,ASC NEW Chicken & Chorizo Panini x4,Asda,P+7,Alternative,300,224,420,292,450,260,350,244,350,304,350,304,350,268,,,,2096,1896,2227,474,224,292,260,244,304,304,268,,268,,,,,MISSING,MISSING,,4,56,73,65,61,76,76,67,474,OK,,#N/A
50779459,24808,Asda Café,ASC NEW Cheese & Ham Panini x4,Asda,P+7,Alternative,550,340,550,356,560,408,500,388,400,388,500,504,500,480,,,,3268,2864,3340,716,340,356,408,388,388,504,480,,480,,,,,MISSING,MISSING,,4,85,89,102,97,97,126,120,716,OK,,#N/A
50779460,24809,Asda Café,ASC NEW Cheese & Tomato Toastie x4,Asda,P+7,Alternative,500,352,550,340,560,372,400,348,450,400,500,484,500,384,,,,3176,2680,3088,670,352,340,372,348,400,484,384,,384,,,,,MISSING,MISSING,,4,88,85,93,87,100,121,96,670,OK,,#N/A
50779461,24810,Asda Café,ASC NEW Ham & Cheese Toastie x4,Asda,P+7,Alternative,600,488,650,484,600,472,480,400,600,572,600,620,500,436,,,,3840,3472,3999,868,488,484,472,400,572,620,436,,436,,,,,MISSING,MISSING,,4,122,121,118,100,143,155,109,868,OK,,#N/A
50779462,24811,Asda Café,ASC NEW ADB Topped Toastie x4,Asda,P+7,Alternative,500,288,520,396,480,324,420,436,500,456,500,504,500,396,,,,3172,2800,3088,700,288,396,324,436,456,504,396,,396,,,,,MISSING,MISSING,,4,72,99,81,109,114,126,99,700,OK,,#N/A
50779463,24812,Asda Café,ASC NEW Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,200,148,200,132,200,112,200,132,200,140,204,,,,,,,1112,664,0,166,148,132,112,132,140,0,0,,0,,,,,MISSING,MISSING,,4,37,33,28,33,35,0,0,166,OK,,#N/A
50779464,24813,Asda Café,ASC NEW Meatball Hot Wrap x4,Asda,P+7,Alternative,200,88,200,148,200,96,200,100,200,112,200,124,200,128,,,,928,796,0,199,88,148,96,100,112,124,128,,128,,,,,MISSING,MISSING,,4,22,37,24,25,28,31,32,199,OK,,#N/A
50773032,24821,Asda Café,ASC XMAS CHEESEBOARD TOASTIE x4,Asda,P+7,Alternative,900,,900,56,900,196,900,256,900,292,400,508,400,556,,,,5320,1864,2535,466,0,56,196,256,292,508,556,,556,,,,,MISSING,MISSING,,4,0,14,49,64,73,127,139,466,OK,,#N/A
50142562,24958,Asda Café,ASC XMAS BRIE & CRANBERRY PANINI x4,Asda,P+7,Alternative,600,272,500,248,500,232,500,352,500,344,300,340,300,448,,,,2384,2236,2032,559,272,248,232,352,344,340,448,,448,,,,,MISSING,MISSING,,4,68,62,58,88,86,85,112,559,OK,,#N/A
,M11393,Asda,AS TOASTIES (CHEESE & MUSTARD),Asda,,,,488,,484,,472,,400,,572,,620,,436,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,M11394,Asda,AS TOASTIES (BEANS & CHEESE),Asda,,,,288,,396,,324,,436,,456,,504,,396,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,M11395,Asda,AS TOASTIES ( CHEESE & TOAMATO),Asda,,,,352,,340,,372,,348,,400,,484,,384,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,M11934,Asda,AS TOASTIES ( XMAS - CHEESE &BECHAMEL),Asda,,,,0,,56,,196,,256,,292,,508,,556,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,,,,,,,,13%,,15%,,16%,,16%,,15%,,15%,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP,,Totals ASDA,,,,21810,15912,20200,18686,20300,20266,22000,20674,21154,18862,18600,18334,17950,15868,0,0,0,132884,125850,128680,22111,15640,18662,20006,20354,18430,18678,16316,0,15868,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Test,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLD EAT,21459,BP,BP Southern Fried  Chicken Wrap x4,BP,P+3,Wrap,132,128,143,136,70,80,120,116,93,92,124,120,95,80,,,,711,752,747,188,128,136,80,116,92,120,80,,0,,,,,,,,4,32,34,20,29,23,30,20,188,OK,,21459
COLD EAT,21460,BP,BP Chicken & Stuffing Skillet x4,BP,P+3,Skillet,167,160,168,144,101,96,132,156,113,112,164,120,109,104,,,,945,892,956,223,160,144,96,156,112,120,104,,0,,,,,,,,4,40,36,24,39,28,30,26,223,OK,,21460
COLD EAT,21461,BP,BP Egg Mayo Skillet x4,BP,P+3,Skillet,172,156,167,160,105,104,152,144,126,128,168,140,123,112,,,,947,944,951,236,156,160,104,144,128,140,112,,0,,,,,,,,4,39,40,26,36,32,35,28,236,OK,,21461
COLD EAT,21462,BP,BP Cheese Ploughmans Skillet x4,BP,P+3,Skillet,172,168,176,156,92,116,152,164,118,120,168,148,122,108,,,,946,980,972,245,168,156,116,164,120,148,108,,0,,,,,,,,4,42,39,29,41,30,37,27,245,OK,,21462
COLD EAT,21463,BP,BP Cheese & Onion Skillet x4,BP,P+3,Skillet,189,168,177,176,107,104,152,156,123,128,180,144,126,108,,,,1018,984,1020,246,168,176,104,156,128,144,108,,0,,,,,,,,4,42,44,26,39,32,36,27,246,OK,,21463
COLD EAT,21465,BP,BP Prawn Mayo Skillet x4,BP,P+3,Skillet,133,124,138,136,77,68,128,116,85,96,124,96,98,76,,,,726,712,757,178,124,136,68,116,96,96,76,,0,,,,,,,,4,31,34,17,29,24,24,19,178,OK,,21465
COLD EAT,21466,BP,BP Tuna Sweetcorn Skillet x4,BP,P+3,Skillet,172,152,172,164,105,104,148,148,119,116,164,140,116,100,,,,928,924,940,231,152,164,104,148,116,140,100,,0,,,,,,,,4,38,41,26,37,29,35,25,231,OK,,21466
COLD EAT,21467,BP,BP Chicken Salad Skillet x4,BP,P+3,Skillet,185,168,183,160,100,112,124,164,129,132,176,152,133,116,,,,993,1004,1007,251,168,160,112,164,132,152,116,,0,,,,,,,,4,42,40,28,41,33,38,29,251,OK,,21467
COLD EAT,21468,BP,BP Chicken & Bacon Skillet x4,BP,P+3,Skillet,208,180,214,184,118,128,164,188,140,152,184,172,144,128,,,,1128,1132,1143,283,180,184,128,188,152,172,128,,0,,,,,,,,4,45,46,32,47,38,43,32,283,OK,,21468
COLD EAT,21471,BP,BP BLT Skillet x4,BP,P+3,Skillet,185,148,181,188,108,100,168,160,126,132,156,164,138,112,,,,1014,1004,1037,251,148,188,100,160,132,164,112,,0,,,,,,,,4,37,47,25,40,33,41,28,251,OK,,21471
COLD EAT,21732,BP,BP Ham & Cheese Skillet x4,BP,P+3,Skillet,198,188,201,180,109,116,176,192,138,140,180,160,146,120,,,,1082,1096,1089,274,188,180,116,192,140,160,120,,0,,,,,,,,4,47,45,29,48,35,40,30,274,OK,,21732
COLD EAT,21733,BP,BP Chicken Caesar Wrap x4,BP,P+3,Wrap,139,128,149,140,88,88,132,116,108,104,144,108,113,92,,,,797,776,816,194,128,140,88,116,104,108,92,,0,,,,,,,,4,32,35,22,29,26,27,23,194,OK,,21733
HOT EAT,21767,BP,BP Ham & Cheese Toastie x4,BP,P+7,Alternative,983,1012,1098,1104,900,760,980,1180,900,1048,920,952,1100,1072,,,,6908,7128,6515,1782,1012,1104,760,1180,1048,952,1072,,0,,,,,,,,4,253,276,190,295,262,238,268,1782,OK,,21767
COLD EAT,22796,BP,BP Breakfast Triple Skillet x4,BP,P+3,Alternative,237,228,252,232,140,144,208,220,165,180,212,192,168,160,,,,1360,1356,1296,339,228,232,144,220,180,192,160,,0,,,,,MISSING,MISSING,,4,57,58,36,55,45,48,40,339,OK,,22796
HOT EAT,22799,BP,BP Ultimate Three Cheese Toastie x4,BP,P+7,Alternative,901,880,988,924,820,816,848,836,800,880,820,864,1000,892,,,,6060,6092,5735,1523,880,924,816,836,880,864,892,,0,,,,,MISSING,MISSING,,4,220,231,204,209,220,216,223,1523,OK,,22799
HOT EAT,23840,BP,BP Classic Cheese & Ham Barmarked Toastie x4,BP,P+7,Alternative,675,756,791,836,700,584,688,800,650,696,684,752,750,732,,,,4894,5156,4760,1289,756,836,584,800,696,752,732,,0,,,,,MISSING,MISSING,,4,189,209,146,200,174,188,183,1289,OK,,23840
HOT EAT,23842,BP,BP Italian Style Meatball and Mozzarella Wrap x4,BP,P+7,Alternative,430,404,432,524,400,328,376,376,400,496,428,340,400,472,,,,2728,2940,2664,735,404,524,328,376,496,340,472,,0,,,,,MISSING,MISSING,,4,101,131,82,94,124,85,118,735,OK,,23842
HOT EAT,24187,BP,"BP Sausage, Bacon & Cheese Wrap x4",BP,P+7,Alternative,1000,1080,973,1080,788,828,896,1084,800,952,860,964,900,1024,,,,6500,7012,5836,1753,1080,1080,828,1084,952,964,1024,,0,,,,,MISSING,MISSING,,4,270,270,207,271,238,241,256,1753,OK,,#N/A
HOT EAT,24190,BP,BP Tuna Melt Panini x4,BP,P+7,Alternative,600,572,557,600,516,500,512,492,500,600,496,464,600,592,,,,3756,3820,3532,955,572,600,500,492,600,464,592,,0,,,,,MISSING,MISSING,,4,143,150,125,123,150,116,148,955,OK,,#N/A
HOT EAT,24192,BP,BP Bacon Bap x4,BP,P+7,Alternative,2200,2032,2400,2148,1900,1680,1900,2052,1800,2084,2060,1836,2300,2140,,,,13644,13972,13280,3493,2032,2148,1680,2052,2084,1836,2140,,0,,,,,MISSING,MISSING,,4,508,537,420,513,521,459,535,3493,OK,,24192
HOT EAT,24193,BP,BP Sausage Bap x4,BP,P+7,Alternative,2100,1972,2300,2152,1800,1660,1900,1992,1800,1932,1980,1860,2300,2072,,,,13068,13640,12921,3410,1972,2152,1660,1992,1932,1860,2072,,0,,,,,MISSING,MISSING,,4,493,538,415,498,483,465,518,3410,OK,,#N/A
HOT EAT,24734,BP,BP Signature Hot Dog,BP,P+6,Alternative,500,476,700,616,600,548,500,524,600,564,600,496,600,504,,,,3652,3728,4154,932,476,616,548,524,564,496,504,,0,,,,,MISSING,MISSING,,4,119,154,137,131,141,124,126,932,OK,,#N/A
HOT EAT,24778,BP,BP Mozzarella & Tomato Panini,BP,P+7,Alternative,500,488,600,608,600,480,500,420,500,544,600,464,600,552,,,,3584,3556,3710,889,488,608,480,420,544,464,552,,0,,,,,MISSING,MISSING,,4,122,152,120,105,136,116,138,889,OK,,#N/A
HOT EAT,24779,BP,BP Pepperoni & Mozzarella Panini,BP,P+7,Alternative,600,584,700,636,600,568,500,476,600,676,600,472,650,640,,,,4054,4052,4113,1013,584,636,568,476,676,472,640,,0,,,,,MISSING,MISSING,,4,146,159,142,119,169,118,160,1013,OK,,#N/A
HOT EAT,24780,BP,BP All Day Breakfast Bap,BP,P+6,Alternative,1800,1596,1800,1668,1500,1376,1600,1656,1500,1588,1600,1464,1900,1808,,,,10748,11156,10381,2789,1596,1668,1376,1656,1588,1464,1808,,0,,,,,MISSING,MISSING,,4,399,417,344,414,397,366,452,2789,OK,,#N/A
26-Oct,24837,BP,BP Turkey Toastie,BP,P+7,Alternative,1500,440,1000,620,1000,568,800,524,800,432,800,520,800,496,,,,4028,3600,4947,900,440,620,568,524,432,520,496,,0,,,,,MISSING,MISSING,,4,110,155,142,131,108,130,124,900,OK,,#N/A
SAL/HOT HOLD,23699,BP,"BP Cucumber, mooned and half slices (M4449) 1KG Tubs",BP,,Alternative,2,2,2,3,2,1,2,2,2,,2,2,2,2,,,,12,12,12,2,2,3,1,2,0,2,2,,0,,,,,MISSING,MISSING,,5,0,1,0,0,0,0,0,2,OK,,#N/A
SAL/HOT HOLD,23700,BP,BP Sliced Jalapenos (I5523) 1KG Tubs,BP,,Alternative,2,2,2,2,2,1,2,2,2,,2,2,2,1,,,,10,10,10,3,2,2,1,2,0,2,1,,0,,,,,MISSING,MISSING,,4,1,1,0,1,0,1,0,3,OK,,#N/A
SAL/HOT HOLD,23701,BP,BP Cocktail Vine Tomatoes (I7201) 1KG Tubs,BP,,Alternative,2,2,2,3,2,1,2,2,2,,2,2,2,1,,,,13,11,11,6,2,3,1,2,0,2,1,,0,,,,,MISSING,MISSING,,2,1,2,1,1,0,1,1,6,OK,,#N/A
SAL/HOT HOLD,23695,BP,BP 50/50 Coleslaw Mix (I2552) 5KG,BP,,Alternative,2,1,2,2,2,,2,1,2,1,2,1,2,1,,,,8,7,7,1,1,2,0,1,1,1,1,,0,,,MISSING,MISSING,MISSING,MISSING,,5,0,0,0,0,0,0,0,1,OK,,#N/A
SAL/HOT HOLD,23698,BP,BP Mixed Green Leaf (Apollo and Endive) (I5084) 1KG,BP,,Alternative,2,1,2,3,2,,2,1,2,1,2,1,2,1,,,,9,8,9,2,1,3,0,1,1,1,1,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,1,0,0,0,0,0,2,OK,,#N/A
HOT EAT,23843,BP,BP Chicken & Chorizo Toastie x4,BP,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,4068,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23843
,BPT,,BP TOASTIES TO BAKE,,,12x4,stock,1892,stock,2028,stock,1576,stock,2016,stock,1928,stock,1816,stock,1964,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M9240,,BP TOASTIES TO BAKE (CHEESE TOPPED),,,,0,1012,0,1104,0,760,0,1180,0,1048,0,952,0,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M10196,,BP TOASTIES TO BAKE (THREE CHEESES TOPPED),,,,0,880,0,924,0,816,0,836,0,880,0,864,0,892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M11412,,BP TOASTIES TO BAKE (CHIPOTLE TOPPED),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M11412,,BP TOASTIES TO BAKE (CHIPOTLE TOPPED),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M12079,,BP TOASTIES TO BAKE (PORK STUFFING TOPPED),,,,0,440,0,620,0,568,0,524,0,432,0,520,0,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,hot eats total,,,,,0,,12268,,8750,,7900,,9040,,9300,,13550,,,,,,,,,1104,760,1180,1048,952,1072,,,,,,,,,,,,,,,,,,,,,
,COOP,,Totals BP,,,,16082,14394,16665,15680,13450,12059,13962,14458,13241,14124,14598,13310,15537,14416,0,0,0,96271,98456,99396,24616,14396,15685,12059,14460,14126,13312,14418,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.000,,0.180,,0.190,,0.140,,0.130,,0.160,,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19488,Co-op,Co-op Chicken & Bacon Caesar Wrap,Co-op,P+4,wrap,,,7981,7981,7000,7413,7000,7069,5900,6138,5900,5440,7800,8394,,,,39112,42435,44992,42435,0,7981,7413,7069,6138,5440,8394,,8394,,,,,,MISSING,,1,0,7981,7413,7069,6138,5440,8394,42435,OK,,19488
,19489,Co-op,Co-op Aromatic Duck Wrap,Co-op,P+3,wrap,,,3326,3326,3500,3783,2700,2838,2900,2955,2900,3076,3800,3598,,,,18516,19576,20862,19576,0,3326,3783,2838,2955,3076,3598,,3598,,,,,,MISSING,,1,0,3326,3783,2838,2955,3076,3598,19576,OK,,19489
,19490,Co-op,Co-op Southern Fried Chicken Wrap,Co-op,P+3,wrap,,,6256,6256,6200,6807,4900,5182,4400,4719,4400,5513,7000,6673,,,,32404,35150,37152,35150,0,6256,6807,5182,4719,5513,6673,,6673,,,,,MISSING,MISSING,,1,0,6256,6807,5182,4719,5513,6673,35150,OK,,19490
,19491,Co-op,Co-op Falafel Wrap,Co-op,P+4,wrap,,,3100,2729,3000,3102,2200,2294,2400,2609,2400,2522,3000,2926,,,,15004,16182,16005,16182,0,2729,3102,2294,2609,2522,2926,,2926,,,,,MISSING,MISSING,,1,0,2729,3102,2294,2609,2522,2926,16182,OK,,19491
,19495,Co-op,Co-op GL Mexican Chipotle Bean Wrap,Co-op,P+3,wrap,,,2800,2102,2500,2750,1900,2048,2500,2571,2500,2132,2400,2274,,,,13128,13877,14450,13877,0,2102,2750,2048,2571,2132,2274,,2274,,,,,,MISSING,,1,0,2102,2750,2048,2571,2132,2274,13877,OK,,19495
,20130,Co-op,Co-op Ham & Mustard Skillet,Co-op,P+4,Skillet,,,,,,,,,,,,,,,,,,0,0,4,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,1,0,0,0,0,0,0,0,0,OK,,20130
,22341,Co-op,CO-OP HAM & CHEESE PANINI,Co-op,P+3,Alternative,,,1500,1111,1400,1394,1000,860,1200,1307,1200,1184,1100,1055,,,,6500,6911,6343,6911,0,1111,1394,860,1307,1184,1055,,1055,,,,,,,,1,0,1111,1394,860,1307,1184,1055,6911,OK,,#N/A
,22844,Co-op,CO-OP All Day Breakfast Hot Wrap,Co-op,P+2,Alternative,,,2000,1877,2000,2093,1300,1288,1700,1770,1900,1941,1800,1786,,,,10185,10755,9911,10755,0,1877,2093,1288,1770,1941,1786,,1786,,,,,MISSING,MISSING,,1,0,1877,2093,1288,1770,1941,1786,10755,OK,,22844
,22845,Co-op,CO-OP Chicken Fajita Hot Wap,Co-op,P+2,Alternative,,,1100,788,1000,942,700,628,1050,1083,1050,927,800,766,,,,5041,5134,5085,5134,0,788,942,628,1083,927,766,,766,,,,,MISSING,MISSING,,1,0,788,942,628,1083,927,766,5134,OK,,22845
