Week no.,WK 34,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,18/05/19,,19/05/19,,20/05/19,,21/05/19,,22/05/19,,23/05/19,,24/05/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,18/05/19,19/05/19,20/05/19,21/05/19,22/05/19,23/05/19,24/05/19,,24/05/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,18/05/19,19/05/19,20/05/19,21/05/19,22/05/19,23/05/19,24/05/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1400,1120,2800,1916,3000,2016,2500,2316,2500,2440,2000,2020,1600,916,,,,13872,12744,14352,3186,1120,1916,2016,2316,2440,2020,916,,916,,,,,,,,4,280,479,504,579,610,505,229,3186,OK
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2800,2472,5000,4448,5000,4256,5000,4928,5000,4736,4000,4240,2800,2448,,,,6300,27528,28136,3441,2472,4448,4256,4928,4736,4240,2448,,2448,,,,,MISSING,MISSING,,8,309,556,532,616,592,530,306,3441,OK
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,700,492,1000,864,1500,1016,1100,980,1100,960,800,912,800,384,,,,5344,5608,5972,1402,492,864,1016,980,960,912,384,,384,,,,,MISSING,MISSING,,4,123,216,254,245,240,228,96,1402,OK
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,1000,712,1000,1184,1800,1172,1600,1460,1600,1156,1100,1256,1000,456,,,,36828,7396,8160,1849,712,1184,1172,1460,1156,1256,456,,456,,,,,MISSING,MISSING,,4,178,296,293,365,289,314,114,1849,OK
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,500,432,600,724,1100,980,1000,1084,1000,832,1000,872,800,368,,,,7732,5292,4988,1323,432,724,980,1084,832,872,368,,368,,,,,MISSING,MISSING,,4,108,181,245,271,208,218,92,1323,OK
50535478,23869,Asda,AS Chicken & Bacon Skillet x 6,Asda,P+3,Skillet,3000,2778,6500,6156,6500,5400,6500,6150,6200,5532,5200,5244,4500,4308,,,,28456,35568,37932,5928,2778,6156,5400,6150,5532,5244,4308,,4308,,,,,MISSING,MISSING,,6,463,1026,900,1025,922,874,718,5928,OK
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,600,612,800,1192,1500,1208,1300,1620,1400,1276,1500,1176,1000,324,,,,21894,7408,6916,1852,612,1192,1208,1620,1276,1176,324,,324,,,,,MISSING,MISSING,,4,153,298,302,405,319,294,81,1852,OK
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,2000,1566,4000,3474,4000,3336,4000,4614,4000,3612,4000,2946,2400,876,,,,7912,20424,20028,3404,1566,3474,3336,4614,3612,2946,876,,876,,,,,MISSING,MISSING,,6,261,579,556,769,602,491,146,3404,OK
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,600,684,1400,956,1200,1076,1400,820,1500,1252,1500,976,800,788,,,,5684,6552,7204,1638,684,956,1076,820,1252,976,788,,788,,,,,MISSING,MISSING,,4,171,239,269,205,313,244,197,1638,OK
50302723,22681,Asda,AS Loaded Chicken & Bacon Salad,Asda,P+4,Alternative,700,584,2000,704,1500,652,1800,1292,1700,2480,2000,600,1100,812,,,,9340,7124,10488,1781,584,704,652,1292,2480,600,812,,812,,,,,MISSING,MISSING,,4,146,176,163,323,620,150,203,1781,OK
,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,312,244,344,316,280,296,188,252,296,368,256,292,312,320,,,,1988,2088,2409,522,244,316,296,252,368,292,320,,320,,,,,MISSING,MISSING,,4,61,79,74,63,92,73,80,522,OK
,23754,Asda Café,"ASC Chicken, Stuffing & Bacon Stack x4",Asda,P+4,Alternative,312,228,248,308,308,296,184,216,288,328,244,248,288,312,,,,1872,1936,2199,484,228,308,296,216,328,248,312,,312,,,,,MISSING,MISSING,,4,57,77,74,54,82,62,78,484,OK
,23755,Asda Café,"ASC Ham, Cheese & Pickle Stack x4",Asda,P+4,Alternative,312,292,320,332,348,312,188,252,320,364,272,272,280,316,,,,2040,2140,2410,535,292,332,312,252,364,272,316,,316,,,,,MISSING,MISSING,,4,73,83,78,63,91,68,79,535,OK
,23756,Asda Café,ASC Chicken & Bacon Caesar Wrap x4,Asda,P+4,Alternative,140,108,148,156,168,148,80,104,164,176,116,104,140,156,,,,956,952,1200,238,108,156,148,104,176,104,156,,156,,,,,MISSING,MISSING,,4,27,39,37,26,44,26,39,238,OK
,23759,Asda Café,ASC BLT Stack x4,Asda,P+4,Alternative,288,240,296,280,284,264,180,192,292,364,240,212,280,328,,,,1860,1880,2260,470,240,280,264,192,364,212,328,,328,,,,,MISSING,MISSING,,4,60,70,66,48,91,53,82,470,OK
,24319,Asda Café,ASC Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,244,152,200,200,228,176,128,172,180,240,172,180,156,188,,,,1308,1308,2200,327,152,200,176,172,240,180,188,,188,,,,,MISSING,MISSING,,4,38,50,44,43,60,45,47,327,OK
