Week no.,WK 42,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,13/07/19,,14/07/19,,15/07/19,,16/07/19,,17/07/19,,18/07/19,,19/07/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,13/07/19,14/07/19,15/07/19,16/07/19,17/07/19,18/07/19,19/07/19,,19/07/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,13/07/19,14/07/19,15/07/19,16/07/19,17/07/19,18/07/19,19/07/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,chicken change,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23771,Morrisons Café,MRS BBQ Pulled Pork Wrap Crisps Pack x 2,Morrisons PFS,P+4,Alternative,,,500,414,500,414,500,414,800,414,700,818,600,414,,,,2484,2888,3616,1444,0,414,414,414,414,818,414,,414,,,,,MISSING,MISSING,,2,0,207,207,207,207,409,207,1444,OK,,23771
,23772,Morrisons Café,MRS Cheese & Tomato Crisps Pack x 2,Morrisons PFS,P+4,Alternative,,,200,92,150,92,200,92,200,92,200,190,150,92,,,,694,650,1360,325,0,92,92,92,92,190,92,,92,,,,,MISSING,MISSING,,2,0,46,46,46,46,95,46,325,OK,,23772
,23773,Morrisons Café,MRS Salmon & Cucumber Crisps Pack x 2,Morrisons PFS,P+4,Alternative,,,250,92,150,92,200,92,200,92,200,192,150,92,,,,752,652,1390,326,0,92,92,92,92,192,92,,92,,,,,MISSING,MISSING,,2,0,46,46,46,46,96,46,326,OK,,23773
,,,,,,,,9%,0.18,18%,,15%,,19%,,14%,,16%,,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAINSBURY'S,,Totals MORRISONS CAFÉ,,,,0,0,2150,1284,1750,1284,2000,1282,2600,1296,2400,2300,1950,1284,500,500,500,8620,8730,13901,4365,0,1284,1284,1282,1296,2300,1284,0,1284,,,,,,,,,,,,,,,,,,,
TEST,,,,,,,5%,#N/A,8%,#N/A,5%,,5%,,5%,,5%,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320121,17252,Sainsbury's,JS Cheese with Red Onion Skillet x 8,Sainsbury's,P+3,Skillet,9458,11104,24676,22888,19219,18008,19916,18256,20462,19176,16229,16256,11046,12224,,,,116528,117912,112665,14739,11104,22888,18008,18256,19176,16256,12224,,12224,,,,,MISSING,MISSING,,8,1388,2861,2251,2282,2397,2032,1528,14739,OK,,17252
7799424,21919,Sainsbury's,"JS Tuna & Cucumber Sub Roll 10"" x4",Sainsbury's,P+3,Alternative,3280,3008,4380,4308,4158,3800,4120,4308,3977,3752,2923,3404,2478,2364,,,,24640,24944,26679,6236,3008,4308,3800,4308,3752,3404,2364,,2364,,,,,MISSING,MISSING,,4,752,1077,950,1077,938,851,591,6236,OK,,21919
7797696,21936,Sainsbury's,JS BGTY Tuna & Cucumber Skillet x 4,Sainsbury's,P+2,Skillet,3805,3768,5767,6120,5279,5184,5355,5716,5397,5528,4032,4700,3079,3192,,,,33308,34208,31312,8552,3768,6120,5184,5716,5528,4700,3192,,3192,,,,,MISSING,MISSING,,4,942,1530,1296,1429,1382,1175,798,8552,OK,,21936
7798884,21944,Sainsbury's,"JS FR Egg, Tomato & Salad Cream Skillet x 4",Sainsbury's,P+2,Skillet,2318,2192,3456,3628,3226,3092,3259,3380,3230,3312,2436,2812,1768,1940,,,,19892,20356,19795,5089,2192,3628,3092,3380,3312,2812,1940,,1940,,,,,MISSING,MISSING,,4,548,907,773,845,828,703,485,5089,OK,,21944
7799556,21951,Sainsbury's,"JS Chicken, Bacon & Caesar Wrap x 4",Sainsbury's,P+2,wrap,4074,3864,6108,6152,5527,5196,5737,5868,5636,5368,4486,4808,3163,3352,,,,34724,34608,32613,8652,3864,6152,5196,5868,5368,4808,3352,,3352,,,,,MISSING,MISSING,,4,966,1538,1299,1467,1342,1202,838,8652,OK,,21951
7799565,21952,Sainsbury's,JS Duck & Hoisin Wrap x 4,Sainsbury's,P+2,wrap,3612,3436,4748,4932,4750,4376,4519,4728,4624,4496,3473,3912,2772,2976,,,,28104,28856,27447,7214,3436,4932,4376,4728,4496,3912,2976,,2976,,,,,MISSING,MISSING,,4,859,1233,1094,1182,1124,978,744,7214,OK,,21952
7798446,21953,Sainsbury's,JS Southern Fried Chicken Wrap x4,Sainsbury's,P+2,wrap,5200,5344,8610,8736,7636,7360,7846,8156,7682,7736,6292,6852,4423,4920,,,,48608,49104,47484,12276,5344,8736,7360,8156,7736,6852,4920,,4920,,,,,MISSING,MISSING,,4,1336,2184,1840,2039,1934,1713,1230,12276,OK,,21953
7798442,21954,Sainsbury's,JS Falafel & Houmous Wrap x 4,Sainsbury's,P+2,wrap,1684,1624,2376,2392,2159,2228,2419,2380,1982,2244,1718,1884,1281,1372,,,,14004,14124,13500,3531,1624,2392,2228,2380,2244,1884,1372,,1372,,,,,MISSING,MISSING,,4,406,598,557,595,561,471,343,3531,OK,,21954
7798436,21955,Sainsbury's,"JS Mozzarella, Tomato and Pesto Wrap x 4",Sainsbury's,P+2,wrap,2096,1920,2843,2884,2789,2640,2764,2876,2617,2644,2008,2376,1596,1588,,,,16984,16928,16405,4232,1920,2884,2640,2876,2644,2376,1588,,1588,,,,,MISSING,MISSING,,4,480,721,660,719,661,594,397,4232,OK,,21955
7798493,21960,Sainsbury's,"JS Cheese Ploughman's Sub Roll 10"" x4",Sainsbury's,P+2,Alternative,2772,2528,3629,3392,3557,3212,3629,3520,3188,3268,2743,2788,2138,2160,,,,20908,20868,20915,5217,2528,3392,3212,3520,3268,2788,2160,,2160,,,,,MISSING,MISSING,,4,632,848,803,880,817,697,540,5217,OK,,21960
7798504,21962,Sainsbury's,"JS Ham & Egg Sub Roll 10"" x4",Sainsbury's,P+3,Alternative,2852,3644,6467,6040,5351,4628,5548,5212,5384,5292,4200,4088,3398,3972,,,,32560,32876,31921,8219,3644,6040,4628,5212,5292,4088,3972,,3972,,,,,MISSING,MISSING,,4,911,1510,1157,1303,1323,1022,993,8219,OK,,21962
7798479,21963,Sainsbury's,"JS Chicken, Bacon & Stuffing Sub Roll 10"" x4",Sainsbury's,P+3,Alternative,1995,2244,4320,4040,3658,3152,3776,3528,3654,3444,2965,2712,2230,2572,,,,22212,21692,21639,5423,2244,4040,3152,3528,3444,2712,2572,,2572,,,,,MISSING,MISSING,,4,561,1010,788,882,861,678,643,5423,OK,,21963
7799419,21964,Sainsbury's,"JS Southern Fried Chicken Sub Roll 10"" x4",Sainsbury's,P+2,Alternative,1491,1248,1896,1928,1932,1640,1886,1924,1760,1636,1382,1472,1243,1132,,,,10908,10980,10819,2745,1248,1928,1640,1924,1636,1472,1132,,1132,,,,,MISSING,MISSING,,4,312,482,410,481,409,368,283,2745,OK,,21964
7799377,21965,Sainsbury's,"JS MeatFeast Sub Roll 10 "" x 4",Sainsbury's,P+3,Alternative,714,788,1499,1388,1365,1100,1352,1252,1365,1176,928,968,987,944,,,,7852,7616,8000,1904,788,1388,1100,1252,1176,968,944,,944,,,,,MISSING,MISSING,,4,197,347,275,313,294,242,236,1904,OK,,21965
7798390,21967,Sainsbury's,TTD Chicken & Avocado s/w Grab Bag x4,Sainsbury's,P+2,Alternative,1865,2196,3335,2716,2512,2696,3297,2792,2171,2604,2717,2388,1533,1980,,,,17444,17372,17500,4343,2196,2716,2696,2792,2604,2388,1980,,1980,,,,,MISSING,MISSING,,4,549,679,674,698,651,597,495,4343,OK,,21967
7798208,21968,Sainsbury's,TTD Beef & Blue s/w Grab Bag x4,Sainsbury's,P+3,Alternative,407,512,937,844,840,752,781,836,685,684,668,548,668,752,,,,4896,4928,4953,1232,512,844,752,836,684,548,752,,752,,,,,MISSING,MISSING,,4,128,211,188,209,171,137,188,1232,OK,,21968
