Week no.,WK 06,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,02/11/19,,03/11/19,,04/11/19,,05/11/19,,06/11/19,,07/11/19,,08/11/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,02/11/19,03/11/19,04/11/19,05/11/19,06/11/19,07/11/19,08/11/19,,08/11/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,02/11/19,03/11/19,04/11/19,05/11/19,06/11/19,07/11/19,08/11/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,2100,1252,2500,1884,2500,2280,2500,2320,2500,2356,2100,1888,2500,1616,,,,13104,13596,12500,3399,1252,1884,2280,2320,2356,1888,1616,,1616,,,,,,,,4,313,471,570,580,589,472,404,3399,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,5500,5016,5500,5192,5600,4968,5500,6568,5600,6000,5000,4920,4200,3552,,,,34688,36216,33500,4527,5016,5192,4968,6568,6000,4920,3552,,3552,,,,,MISSING,MISSING,,8,627,649,621,821,750,615,444,4527,OK,,22592
