Week no.,WK 38,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,15/06/19,,16/06/19,,17/06/19,,18/06/19,,19/06/19,,20/06/19,,21/06/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,15/06/19,16/06/19,17/06/19,18/06/19,19/06/19,20/06/19,21/06/19,,21/06/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,15/06/19,16/06/19,17/06/19,18/06/19,19/06/19,20/06/19,21/06/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delist 04/07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1100,872,2800,2436,2500,1632,2500,2140,2500,2064,2000,1600,1600,1332,,,,13124,12076,13006,3019,872,2436,1632,2140,2064,1600,1332,,1332,,,,,,,,4,218,609,408,535,516,400,333,3019,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,2600,2600,6000,4896,6000,4136,6200,4624,6000,4352,5200,4504,4500,3384,,,,35120,28496,35632,3562,2600,4896,4136,4624,4352,4504,3384,,3384,,,,,MISSING,MISSING,,8,325,612,517,578,544,563,423,3562,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2400,1968,6000,4960,4500,3608,5000,4688,6000,4392,4000,3184,3000,3168,,,,29584,25968,29771,3246,1968,4960,3608,4688,4392,3184,3168,,3168,,,,,MISSING,MISSING,,8,246,620,451,586,549,398,396,3246,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,650,524,1300,1040,1200,796,1100,720,1000,756,800,484,600,472,,,,5664,4792,5513,1198,524,1040,796,720,756,484,472,,472,,,,,MISSING,MISSING,,4,131,260,199,180,189,121,118,1198,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,750,524,1600,1176,1500,900,1600,948,1200,1136,1100,552,800,540,,,,7356,5776,7240,1444,524,1176,900,948,1136,552,540,,540,,,,,MISSING,MISSING,,4,131,294,225,237,284,138,135,1444,OK,,23356
