Week no.,WK 21,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,16/02/19,,17/02/19,,18/02/19,,19/02/19,,20/02/19,,21/02/19,,22/02/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,16/02/19,17/02/19,18/02/19,19/02/19,20/02/19,21/02/19,22/02/19,,22/02/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,16/02/19,17/02/19,18/02/19,19/02/19,20/02/19,21/02/19,22/02/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1000,992,2200,2320,2000,1856,2000,1988,2000,1996,1500,1448,1200,1132,,,,11708,11732,10871,2933,992,2320,1856,1988,1996,1448,1132,,1132,,,,,,,,4,248,580,464,497,499,362,283,2933,OK
50535478,23869,Asda,AS Chicken & Bacon Skillet x 6,Asda,P+3,Skillet,2700,2562,5500,5568,5000,5958,5100,5976,5000,5550,4200,3708,3300,2736,,,,31122,32058,28513,5343,2562,5568,5958,5976,5550,3708,2736,,2736,,,,,MISSING,MISSING,,6,427,928,993,996,925,618,456,5343,OK
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2000,2312,3500,3576,3500,4760,3600,4040,4000,4584,3200,2888,2400,1864,,,,22616,24024,20939,3003,2312,3576,4760,4040,4584,2888,1864,,1864,,,,,MISSING,MISSING,,8,289,447,595,505,573,361,233,3003,OK
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1400,1380,2500,2790,2800,3858,3000,3402,3000,3624,2400,2142,1600,1290,,,,17202,18486,15682,3081,1380,2790,3858,3402,3624,2142,1290,,1290,,,,,MISSING,MISSING,,6,230,465,643,567,604,357,215,3081,OK
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+2,Alternative,800,784,2200,1952,1500,1560,1400,1348,1500,1412,900,888,800,736,,,,8676,8680,8019,2170,784,1952,1560,1348,1412,888,736,,736,,,,,MISSING,MISSING,,4,196,488,390,337,353,222,184,2170,OK
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+2,Alternative,900,972,2400,2256,1650,1904,1800,1848,1700,1752,1200,1156,1000,884,,,,10592,10772,9801,2693,972,2256,1904,1848,1752,1156,884,,884,,,,,MISSING,MISSING,,4,243,564,476,462,438,289,221,2693,OK
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+2,Alternative,300,288,500,456,600,544,500,504,500,408,450,436,300,284,,,,2820,2920,2718,730,288,456,544,504,408,436,284,,284,,,,,MISSING,MISSING,,4,72,114,136,126,102,109,71,730,OK
,23358,Asda,AS Chicken Tikka Sub Roll x4,Asda,P+3,Alternative,300,248,700,536,600,624,600,504,600,608,600,476,400,296,,,,3376,3292,3021,823,248,536,624,504,608,476,296,,296,,,,,MISSING,MISSING,,4,62,134,156,126,152,119,74,823,OK
50422417,23359,Asda,AS Cheese Ploughmans Sub Roll x4,Asda,P+3,Alternative,200,188,400,324,400,376,400,320,400,356,400,288,300,240,,,,2124,2092,1871,523,188,324,376,320,356,288,240,,240,,,,,MISSING,MISSING,,4,47,81,94,80,89,72,60,523,OK
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,450,544,900,820,1100,1896,1100,1164,1300,1532,1000,968,800,388,,,,6544,7312,5997,1219,544,820,1896,1164,1532,968,388,,388,,,,,MISSING,MISSING,,6,91,137,316,194,255,161,65,1219,OK
,23362,Asda,AS Pulled Pork Sub Roll x4,Asda,P+3,Alternative,100,108,350,276,300,276,300,264,300,296,300,240,200,152,,,,1640,1612,1435,403,108,276,276,264,296,240,152,,152,,,,,MISSING,MISSING,,4,27,69,69,66,74,60,38,403,OK
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,550,612,1400,1292,1000,1636,1400,1456,1300,1564,1100,808,900,812,,,,7384,8180,7039,2045,612,1292,1636,1456,1564,808,812,,812,,,,,MISSING,MISSING,,4,153,323,409,364,391,202,203,2045,OK
50302723,22681,Asda,AS Loaded Chicken & Bacon Salad,Asda,P+4,Alternative,800,880,2500,2620,1100,1540,1800,2088,1600,1820,1200,900,1000,1040,,,,9836,10888,9356,2722,880,2620,1540,2088,1820,900,1040,,1040,,,,,MISSING,MISSING,,4,220,655,385,522,455,225,260,2722,OK
,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,400,356,400,348,400,356,250,212,400,336,350,368,380,360,,,,2384,2336,2303,584,356,348,356,212,336,368,360,,360,,,,,MISSING,MISSING,,4,89,87,89,53,84,92,90,584,OK
,23754,Asda Café,"ASC Chicken, Stuffing & Bacon Stack x4",Asda,P+4,Alternative,360,336,420,352,400,356,280,232,400,356,310,336,360,348,,,,2376,2316,2301,579,336,352,356,232,356,336,348,,348,,,,,MISSING,MISSING,,4,84,88,89,58,89,84,87,579,OK
,23755,Asda Café,"ASC Ham, Cheese & Pickle Stack x4",Asda,P+4,Alternative,360,344,440,364,400,336,250,208,400,364,310,312,400,420,,,,2368,2348,2400,587,344,364,336,208,364,312,420,,420,,,,,MISSING,MISSING,,4,86,91,84,52,91,78,105,587,OK
,23756,Asda Café,ASC Chicken & Bacon Caesar Wrap x4,Asda,P+4,Alternative,200,176,250,200,250,196,180,84,200,184,200,200,200,208,,,,1332,1248,1289,312,176,200,196,84,184,200,208,,208,,,,,MISSING,MISSING,,4,44,50,49,21,46,50,52,312,OK
,23757,Asda Café,ASC Ham & Cheese Toastie x2,Asda,P+7,Alternative,500,522,500,490,500,534,350,324,550,500,500,518,550,570,,,,3350,3458,3200,1729,522,490,534,324,500,518,570,,570,,,,,MISSING,MISSING,,2,261,245,267,162,250,259,285,1729,OK
,23758,Asda Café,ASC Cheese & Tomato Toastie x2,Asda,P+7,Alternative,400,388,400,384,450,438,280,272,450,414,380,400,420,458,,,,2690,2754,2550,1377,388,384,438,272,414,400,458,,458,,,,,MISSING,MISSING,,2,194,192,219,136,207,200,229,1377,OK
