Week no.,WK 13,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,21/12/19,,22/12/19,,23/12/19,,24/12/19,,25/12/19,,26/12/19,,27/12/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,21/12/19,22/12/19,23/12/19,24/12/19,25/12/19,26/12/19,27/12/19,,27/12/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,21/12/19,22/12/19,23/12/19,24/12/19,25/12/19,26/12/19,27/12/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1600,1140,2100,1820,,,,,,,,,,0,,,,14408,2960,3257,740,1140,1820,0,0,0,0,0,,0,,,,,,,,4,285,455,0,0,0,0,0,740,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,6000,4848,6300,4184,6500,3792,,,,,,,4300,5504,,,,39720,18328,18639,2291,4848,4184,3792,0,0,0,5504,,5504,,,,,MISSING,MISSING,,8,606,523,474,0,0,0,688,2291,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,3600,2512,4500,3200,4600,3640,,,,,,,3600,3000,,,,29112,12352,15299,1544,2512,3200,3640,0,0,0,3000,,3000,,,,,MISSING,MISSING,,8,314,400,455,0,0,0,375,1544,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,400,436,600,872,,,,,,,,,550,2500,,,,3544,3808,2568,952,436,872,0,0,0,0,2500,,2500,,,,,MISSING,MISSING,,4,109,218,0,0,0,0,625,952,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,500,548,800,1152,,,,,,,,,750,2500,,,,4824,4200,2987,1050,548,1152,0,0,0,0,2500,,2500,,,,,MISSING,MISSING,,4,137,288,0,0,0,0,625,1050,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,0,,0,0,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,500,600,700,732,,,,,,,,,,0,,,,4416,1332,1389,333,600,732,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,150,183,0,0,0,0,0,333,OK,,23870
