Week no.,WK 26,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,23/03/19,,24/03/19,,25/03/19,,26/03/19,,27/03/19,,28/03/19,,29/03/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,23/03/19,24/03/19,25/03/19,26/03/19,27/03/19,28/03/19,29/03/19,,29/03/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,23/03/19,24/03/19,25/03/19,26/03/19,27/03/19,28/03/19,29/03/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,900,836,2500,2604,2000,2008,2500,2540,2500,2356,1600,1820,1600,1684,,,,13300,13848,12500,3462,836,2604,2008,2540,2356,1820,1684,,1684,,,,,,,,4,209,651,502,635,589,455,421,3462,OK
50535478,23869,Asda,AS Chicken & Bacon Skillet x 6,Asda,P+3,Skillet,2500,2826,7000,7620,5900,5904,6000,6768,5700,6750,4500,3900,4500,4266,,,,36060,38034,34750,6339,2826,7620,5904,6768,6750,3900,4266,,4266,,,,,MISSING,MISSING,,6,471,1270,984,1128,1125,650,711,6339,OK
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2200,2032,5000,5648,3800,3504,4500,4960,4600,4664,3000,3152,2800,3168,,,,26432,27128,25500,3391,2032,5648,3504,4960,4664,3152,3168,,3168,,,,,MISSING,MISSING,,8,254,706,438,620,583,394,396,3391,OK
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1300,1260,4500,4626,2800,2766,3600,3546,3500,3990,1800,1602,2000,2694,,,,19704,20484,20000,3414,1260,4626,2766,3546,3990,1602,2694,,2694,,,,,MISSING,MISSING,,6,210,771,461,591,665,267,449,3414,OK
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+2,Alternative,900,748,1900,1384,1500,1312,1600,1516,1500,1192,900,1068,700,732,,,,8028,7952,9375,1988,748,1384,1312,1516,1192,1068,732,,732,,,,,MISSING,MISSING,,4,187,346,328,379,298,267,183,1988,OK
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+2,Alternative,1100,948,2000,1640,2000,1688,1900,1860,1900,1624,1000,1388,900,964,,,,10164,10112,11350,2528,948,1640,1688,1860,1624,1388,964,,964,,,,,MISSING,MISSING,,4,237,410,422,465,406,347,241,2528,OK
