Week no.,WK 28,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,06/04/19,,07/04/19,,08/04/19,,09/04/19,,10/04/19,,11/04/19,,12/04/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,06/04/19,07/04/19,08/04/19,09/04/19,10/04/19,11/04/19,12/04/19,,12/04/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,06/04/19,07/04/19,08/04/19,09/04/19,10/04/19,11/04/19,12/04/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1200,1028,3000,2432,2000,1916,2200,2196,2500,2104,2000,1692,1600,1380,,,,13664,12748,12974,3187,1028,2432,1916,2196,2104,1692,1380,,1380,,,,,,,,4,257,608,479,549,526,423,345,3187,OK
50535478,23869,Asda,AS Chicken & Bacon Skillet x 6,Asda,P+3,Skillet,3100,2556,7500,7446,5800,5898,6000,5742,6500,5724,5000,4368,4500,4728,,,,37386,36462,34021,6077,2556,7446,5898,5742,5724,4368,4728,,4728,,,,,MISSING,MISSING,,6,426,1241,983,957,954,728,788,6077,OK
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2600,2312,6000,5920,3500,3560,4200,4200,4600,4656,3000,2576,2800,3168,,,,26952,26392,24987,3299,2312,5920,3560,4200,4656,2576,3168,,3168,,,,,MISSING,MISSING,,8,289,740,445,525,582,322,396,3299,OK
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1900,1446,5000,5082,2600,2508,3300,3396,3800,3960,2000,1536,2400,2598,,,,20532,20526,18997,3421,1446,5082,2508,3396,3960,1536,2598,,2598,,,,,MISSING,MISSING,,6,241,847,418,566,660,256,433,3421,OK
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+2,Alternative,800,680,1500,1604,1500,1348,1300,1240,1300,1336,1200,728,800,764,,,,7768,7700,9561,1925,680,1604,1348,1240,1336,728,764,,764,,,,,MISSING,MISSING,,4,170,401,337,310,334,182,191,1925,OK
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+2,Alternative,1000,932,1800,1988,1800,1748,1900,1656,1700,1664,1600,1036,1000,900,,,,9812,9924,11130,2481,932,1988,1748,1656,1664,1036,900,,900,,,,,MISSING,MISSING,,4,233,497,437,414,416,259,225,2481,OK
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+2,Alternative,400,276,550,572,700,624,700,540,550,496,600,432,300,272,,,,3408,3212,3092,803,276,572,624,540,496,432,272,,272,,,,,MISSING,MISSING,,4,69,143,156,135,124,108,68,803,OK
50422417,23359,Asda,AS Cheese Ploughmans Sub Roll x4,Asda,P+3,Alternative,200,184,500,424,450,440,500,380,420,448,500,328,300,244,,,,2696,2448,2251,612,184,424,440,380,448,328,244,,244,,,,,MISSING,MISSING,,4,46,106,110,95,112,82,61,612,OK
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,600,412,1000,1040,1000,1112,1400,1116,1200,1192,1200,916,800,704,,,,6496,6492,6810,1082,412,1040,1112,1116,1192,916,704,,704,,,,,MISSING,MISSING,,6,69,173,185,186,199,153,117,1082,OK
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,900,760,1400,1388,1200,1088,1400,1432,1500,1172,1500,1224,1400,704,,,,7536,7768,8001,1942,760,1388,1088,1432,1172,1224,704,,704,,,,,MISSING,MISSING,,4,190,347,272,358,293,306,176,1942,OK
50302723,22681,Asda,AS Loaded Chicken & Bacon Salad,Asda,P+4,Alternative,900,936,2000,2372,1500,1212,1800,1836,1700,1612,2000,1300,1400,924,,,,9088,10192,10627,2548,936,2372,1212,1836,1612,1300,924,,924,,,,,MISSING,MISSING,,4,234,593,303,459,403,325,231,2548,OK
,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,350,320,380,376,380,364,300,244,400,348,360,292,400,320,,,,2012,2264,2487,566,320,376,364,244,348,292,320,,320,,,,,MISSING,MISSING,,4,80,94,91,61,87,73,80,566,OK
,23754,Asda Café,"ASC Chicken, Stuffing & Bacon Stack x4",Asda,P+4,Alternative,350,344,350,304,380,292,250,224,380,356,350,332,400,356,,,,1904,2208,2486,552,344,304,292,224,356,332,356,,356,,,,,MISSING,MISSING,,4,86,76,73,56,89,83,89,552,OK
,23755,Asda Café,"ASC Ham, Cheese & Pickle Stack x4",Asda,P+4,Alternative,320,324,380,368,380,344,280,228,400,364,330,296,400,344,,,,1980,2268,2486,567,324,368,344,228,364,296,344,,344,,,,,MISSING,MISSING,,4,81,92,86,57,91,74,86,567,OK
,23756,Asda Café,ASC Chicken & Bacon Caesar Wrap x4,Asda,P+4,Alternative,200,152,200,212,200,184,160,108,200,180,180,188,200,156,,,,1036,1180,1290,295,152,212,184,108,180,188,156,,156,,,,,MISSING,MISSING,,4,38,53,46,27,45,47,39,295,OK
,23757,Asda Café,ASC Ham & Cheese Toastie x2,Asda,P+7,Alternative,500,494,550,514,480,662,360,348,510,518,520,514,550,460,,,,2784,3510,3330,1755,494,514,662,348,518,514,460,,460,,,,,MISSING,MISSING,,2,247,257,331,174,259,257,230,1755,OK
,23758,Asda Café,ASC Cheese & Tomato Toastie x2,Asda,P+7,Alternative,400,390,440,402,400,406,280,254,400,440,400,416,420,376,,,,2240,2684,2635,1342,390,402,406,254,440,416,376,,376,,,,,MISSING,MISSING,,2,195,201,203,127,220,208,188,1342,OK
