Week no.,WK 14,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,29/12/18,,30/12/18,,31/12/18,,01/01/19,,02/01/19,,03/01/19,,04/01/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,29/12/18,30/12/18,31/12/18,01/01/19,02/01/19,03/01/19,04/01/19,,04/01/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,29/12/18,30/12/18,31/12/18,01/01/19,02/01/19,03/01/19,04/01/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1204,1204,2152,2148,,,760,2280,1972,1716,2085,1704,1502,1308,,,,15532,10360,8777,2590,1204,2148,0,2280,1716,1704,1308,,1308,,,,,,,,4,301,537,0,570,429,426,327,2590,OK
50535474,23868,Asda,AS Chicken & Stuffing Skillet x 6,Asda,P+3,Skillet,1116,1116,2880,2874,,,2791,3570,2707,3186,2715,2988,1822,1590,,,,17964,15324,11777,2554,1116,2874,0,3570,3186,2988,1590,,1590,,,,,MISSING,MISSING,,6,186,479,0,595,531,498,265,2554,OK
50535478,23869,Asda,AS Chicken & Bacon Skillet x 6,Asda,P+3,Skillet,2316,2316,3792,3780,,,4500,6210,4365,5262,4378,4506,3102,2436,,,,30294,24510,18820,4085,2316,3780,0,6210,5262,4506,2436,,2436,,,,,MISSING,MISSING,,6,386,630,0,1035,877,751,406,4085,OK
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2584,2584,4832,4816,,,3010,5056,3835,2800,4054,3840,2905,2808,,,,28568,21904,17942,2738,2584,4816,0,5056,2800,3840,2808,,2808,,,,,MISSING,MISSING,,8,323,602,0,632,350,480,351,2738,OK
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1518,1518,3636,3624,,,2111,3726,2689,1704,2843,2478,1699,1836,,,,17310,14886,12197,2481,1518,3624,0,3726,1704,2478,1836,,1836,,,,,MISSING,MISSING,,6,253,604,0,621,284,413,306,2481,OK
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+2,Alternative,456,340,1692,1692,,,921,2208,888,976,938,1136,726,804,,,,7432,7156,4854,1789,340,1692,0,2208,976,1136,804,,804,,,,,MISSING,MISSING,,4,85,423,0,552,244,284,201,1789,OK
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+2,Alternative,340,456,1608,1604,,,1138,2444,1097,1724,1160,1664,842,1004,,,,8780,8896,5496,2224,456,1604,0,2444,1724,1664,1004,,1004,,,,,MISSING,MISSING,,4,114,401,0,611,431,416,251,2224,OK
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+2,Alternative,,,,,,,588,792,567,488,599,408,352,280,,,,3560,1968,1690,492,0,0,0,792,488,408,280,,280,,,,,MISSING,MISSING,,4,0,0,0,198,122,102,70,492,OK
relaunch,23358,Asda,AS Chicken Tikka Sub Roll x4,Asda,P+3,Alternative,,,,,,,500,2500,694,,520,24,417,308,,,,0,2832,2384,708,0,0,0,2500,0,24,308,,308,,,,,MISSING,MISSING,,4,0,0,0,625,0,6,77,708,OK
50422417,23359,Asda,AS Cheese Ploughmans Sub Roll x4,Asda,P+3,Alternative,,,,,,,318,744,306,248,324,324,234,216,,,,2276,1532,957,383,0,0,0,744,248,324,216,,216,,,,,MISSING,MISSING,,4,0,0,0,186,62,81,54,383,OK
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,,,,,,,1548,1724,968,856,1023,1164,719,668,,,,6780,4412,2642,735,0,0,0,1724,856,1164,668,,668,,,,,MISSING,MISSING,,6,0,0,0,287,143,194,111,735,OK
relaunch,23362,Asda,AS Pulled Pork Sub Roll x4,Asda,P+3,Alternative,,,,,,,350,1232,524,,390,16,315,160,,,,0,1408,1801,352,0,0,0,1232,0,16,160,,160,,,,,MISSING,MISSING,,4,0,0,0,308,0,4,40,352,OK
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,,,,,,,1053,2140,1263,976,1059,220,768,884,,,,7424,4220,3177,1055,0,0,0,2140,976,220,884,,884,,,,,MISSING,MISSING,,4,0,0,0,535,244,55,221,1055,OK
50302723,22681,Asda,AS Loaded Chicken & Bacon Salad,Asda,P+4,Alternative,,,,,,,1312,2556,1575,1252,1320,240,950,1016,,,,9168,5064,3953,1266,0,0,0,2556,1252,240,1016,,1016,,,,,MISSING,MISSING,,4,0,0,0,639,313,60,254,1266,OK
