Week no.,WK 09,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,23/11/19,,24/11/19,,25/11/19,,26/11/19,,27/11/19,,28/11/19,,29/11/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,23/11/19,24/11/19,25/11/19,26/11/19,27/11/19,28/11/19,29/11/19,,29/11/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,23/11/19,24/11/19,25/11/19,26/11/19,27/11/19,28/11/19,29/11/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1650,1432,2200,1836,2200,2100,2235,2124,2200,2156,2063,1952,1800,1592,,,,14408,13192,13500,3298,1432,1836,2100,2124,2156,1952,1592,,1592,,,,,,,,4,358,459,525,531,539,488,398,3298,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,6200,5744,6351,5800,6393,6488,6124,6568,6000,5584,4000,4064,4250,3392,,,,39720,37640,35000,4705,5744,5800,6488,6568,5584,4064,3392,,3392,,,,,MISSING,MISSING,,8,718,725,811,821,698,508,424,4705,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,4000,2968,4600,4328,4646,4256,4486,4928,4700,4376,3896,3584,3234,2856,,,,29112,27296,27500,3412,2968,4328,4256,4928,4376,3584,2856,,2856,,,,,MISSING,MISSING,,8,371,541,532,616,547,448,357,3412,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,500,404,500,656,500,544,500,712,550,536,444,696,450,404,,,,3544,3952,3400,988,404,656,544,712,536,696,404,,404,,,,,MISSING,MISSING,,4,101,164,136,178,134,174,101,988,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,500,528,700,772,750,768,700,812,700,844,620,836,706,352,,,,4824,4912,4500,1228,528,772,768,812,844,836,352,,352,,,,,MISSING,MISSING,,4,132,193,192,203,211,209,88,1228,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,600,404,656,640,620,720,700,660,588,732,604,672,550,684,,,,4416,4512,4075,1128,404,640,720,660,732,672,684,,684,,,,,MISSING,MISSING,,4,101,160,180,165,183,168,171,1128,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,3006,2640,3554,2838,3573,3396,3699,3666,3438,3354,2934,2904,2754,2442,,,,22620,21240,18732,3540,2640,2838,3396,3666,3354,2904,2442,,2442,,,,,MISSING,MISSING,,6,440,473,566,611,559,484,407,3540,OK,,23871
50779457,24806,Asda Café,ASC NEW Tuna Melt Panini x4,Asda,P+7,Alternative,278,300,282,488,290,244,286,236,280,296,272,376,299,344,,,,2176,2284,2200,571,300,488,244,236,296,376,344,,344,,,,,MISSING,MISSING,,4,75,122,61,59,74,94,86,571,OK,,#N/A
50779458,24807,Asda Café,ASC NEW Chicken & Chorizo Panini x4,Asda,P+7,Alternative,240,248,240,544,231,304,139,164,228,264,240,364,198,336,,,,1848,2224,2100,556,248,544,304,164,264,364,336,,336,,,,,MISSING,MISSING,,4,62,136,76,41,66,91,84,556,OK,,#N/A
50779459,24808,Asda Café,ASC NEW Cheese & Ham Panini x4,Asda,P+7,Alternative,370,388,311,564,412,312,420,280,380,356,428,408,437,428,,,,2900,2736,3336,684,388,564,312,280,356,408,428,,428,,,,,MISSING,MISSING,,4,97,141,78,70,89,102,107,684,OK,,#N/A
50779460,24809,Asda Café,ASC NEW Cheese & Tomato Toastie x4,Asda,P+7,Alternative,328,396,399,484,227,452,299,328,364,392,400,420,315,476,,,,2740,2948,3083,737,396,484,452,328,392,420,476,,476,,,,,MISSING,MISSING,,4,99,121,113,82,98,105,119,737,OK,,#N/A
50779461,24810,Asda Café,ASC NEW Ham & Cheese Toastie x4,Asda,P+7,Alternative,483,524,441,628,433,552,429,316,572,536,472,576,387,572,,,,3524,3704,3993,926,524,628,552,316,536,576,572,,572,,,,,MISSING,MISSING,,4,131,157,138,79,134,144,143,926,OK,,#N/A
50779462,24811,Asda Café,ASC NEW ADB Topped Toastie x4,Asda,P+7,Alternative,328,400,349,564,412,368,332,356,308,404,408,496,374,480,,,,2860,3068,3083,767,400,564,368,356,404,496,480,,480,,,,,MISSING,MISSING,,4,100,141,92,89,101,124,120,767,OK,,#N/A
50779464,24813,Asda Café,ASC NEW Meatball Hot Wrap x4,Asda,P+7,Alternative,100,100,63,100,72,100,76,108,52,60,72,88,68,132,,,,832,688,0,172,100,100,100,108,60,88,132,,132,,,,,MISSING,MISSING,,4,25,25,25,27,15,22,33,172,OK,,#N/A
50773032,24821,Asda Café,ASC XMAS CHEESEBOARD TOASTIE x4,Asda,P+7,Alternative,748,448,681,696,677,,790,,780,244,788,320,714,484,,,,4672,2192,2531,548,448,696,0,0,244,320,484,,484,,,,,MISSING,MISSING,,4,112,174,0,0,61,80,121,548,OK,,#N/A
50142562,24958,Asda Café,ASC XMAS BRIE & CRANBERRY PANINI x4,Asda,P+7,Alternative,282,320,345,384,286,176,231,184,296,268,308,352,223,328,,,,1968,2012,2028,503,320,384,176,184,268,352,328,,328,,,,,MISSING,MISSING,,4,80,96,44,46,67,88,82,503,OK,,#N/A
,M11393,Asda,AS TOASTIES (CHEESE & MUSTARD),Asda,,,,524,,628,,552,,316,,536,,576,,572,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,M11394,Asda,AS TOASTIES (BEANS & CHEESE),Asda,,,,400,,564,,368,,356,,404,,496,,480,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
