,0,sku #,Customer,Sku Name,Date,Forecast,Actual
73,7798436,21955,Sainsbury's,"JS Mozzarella, Tomato and Pesto Wrap x 4",11/12/2021,,3360
74,7798864,22312,Sainsbury's,JS Chicken & Maple Cured Bacon Skillet x 6,11/12/2021,,
75,7847033,22468,Sainsbury's,"JS Brie, Bacon & Chilli Chutney Skillet x4",11/12/2021,,
76,7849630,22469,Sainsbury's,"JS Avocado, Tomato & Basil Skillet x4",11/12/2021,,
77,7847035,22472,Sainsbury's,JS Chicken Fajita Triple Wrap x4,11/12/2021,,2164
78,7958341,24077,Sainsbury's,JS Greek Chicken & Tzatziki Premium Wrap X4,11/12/2021,,1172
79,7980040,24648,Sainsbury's,JS Steak & Caramelised Red Onion Grab Bag,11/12/2021,,1292
80,7991425,24955,Sainsbury's,JS Vegan Mexican Bean Wrap,11/12/2021,,868
81,,25543,Sainsbury's,JS Harissa Chicken Wrap,11/12/2021,,1408
82,,25544,Sainsbury's,JS Vegan Onion Bhaji Sandwich,11/12/2021,,
83,,25545,Sainsbury's,JS Katsu Chicken Sandwich ,11/12/2021,,
84,8018816,25608,Sainsbury's,JS Halloumi Roast Vegetable Wrap,11/12/2021,,436
85,7798851,26002,Sainsbury's,JS Chicken Salad Skillet x 4,11/12/2021,,7040
86,8046570,26981,Sainsbury's,JS Tuna Crunch Sub Roll ,11/12/2021,,
87,8046550,26983,Sainsbury's,JS Chicken and Bacon Sub Roll ,11/12/2021,,
88,8046562,26984,Sainsbury's,JS Ham and Cheese Sub Roll ,11/12/2021,,2364
89,,27330,Sainsbury's,JS Salt Beef & Mustard Focaccia,11/12/2021,,636
90,,22288,Sainsbury's,JS Brie & Cranberry Skillet,11/12/2021,,3700
91,,28009,Sainsbury's,JS HTE Egg & Cheese Muffin,11/12/2021,,328
92,,28010,Sainsbury's,JS HTE Meatball Marinara Wrap,11/12/2021,,208
93,,28011,Sainsbury's,JS HTE Ham & Cheese Toastie,11/12/2021,,444
94,,28111,Sainsbury's,JS Boxing Day Sub Roll,11/12/2021,,1140
95,,28112,Sainsbury's,JS Rudolph's Christmas Feast,11/12/2021,,160
96,,28113,Sainsbury's,JS Beef Wellington Special,11/12/2021,,352
97,,28375,Sainsbury's,JS Christmas Platter,11/12/2021,,160
98,,22883,Sainsbury's,JS Wrap Platter x1,11/12/2021,,
99,,23956,Sainsbury's,JS Classic Sandwich Platter x1,11/12/2021,,343
100,,22882,Sainsbury's,JS Meat Sandwich Platter x1,11/12/2021,,
101,,23954,Sainsbury's,JS Vegetarian Sandwich Platter x1,11/12/2021,,150
102,8530,27728,Sainsbury's,"JS PF Chicken, Bacon & Caesar Wrap x 1",11/12/2021,,
103,8581,27727,Sainsbury's PFS,"JS PFS Mozzarella, Tomato and Pesto Wrap x 1",11/12/2021,,
104,8531,27729,Sainsbury's PFS,JS PFS Duck & Hoisin Wrap x 1,11/12/2021,,
105,8534,27730,Sainsbury's PFS,JS PFS Southern Fried Chicken Wrap x1,11/12/2021,,
106,9935,27133,Sainsbury's PFS,JS PFS Seafood Cocktail Skillet x 1,11/12/2021,,
107,,27921,Sainsbury's PFS,JS PFS Chicken and Bacon Sub Roll ,11/12/2021,,
108,,27924,Sainsbury's PFS,JS PFS Korean Chicken Sandwich,11/12/2021,,
109,,27933,Sainsbury's PFS,JS PFS TUNA & CUCUMBER SUB,11/12/2021,,
110,,27934,Sainsbury's PFS,JS PFS Ham And Cheese Sub Roll,11/12/2021,,
111,,27935,Sainsbury's PFS,JS PFS Sweet Chilli Chicken Wrap,11/12/2021,,
112,,27937,Sainsbury's PFS,JS PFS TTD Eggs Hollandaise with Avocado,11/12/2021,,
113,,27938,Sainsbury's PFS,"JS PFS Brie, Bacon & Chilli Chutney Skillet",11/12/2021,,
114,,27939,Sainsbury's PFS,JS PFS greek style chicken & tzatziki wrap,11/12/2021,,
115,,27946,Sainsbury's PFS,JS PFS Steak & caramelised onion sandwich,11/12/2021,,
116,9929,27131,Sainsbury's PFS,JS PFS Chicken Salad Skillet x 1,11/12/2021,,
117,,27179,Sainsbury's PFS,JS PFS Chicken & Maple Cured Bacon Skillet x 1,11/12/2021,,
118,,27109,Sainsbury's PFS,JS PFS Brie & Cranberry Skillet,11/12/2021,,
119,,28474,Sainsbury's,JS PF BOXING DAY LEFTOVER SUB,11/12/2021,,
120,,28475,Sainsbury's,JS PF RUDOLPHS CARROT & VEG ST,11/12/2021,,
