Week no.,WK 20,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,09/02/19,,10/02/19,,11/02/19,,12/02/19,,13/02/19,,14/02/19,,15/02/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,09/02/19,10/02/19,11/02/19,12/02/19,13/02/19,14/02/19,15/02/19,,15/02/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,09/02/19,10/02/19,11/02/19,12/02/19,13/02/19,14/02/19,15/02/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,900,924,2000,2224,2000,1852,2000,1872,2000,2048,1500,1508,1100,1280,,,,10784,11708,14587,2927,924,2224,1852,1872,2048,1508,1280,,1280,,,,,,,,4,231,556,463,468,512,377,320,2927,OK
50535478,23869,Asda,AS Chicken & Bacon Skillet x 6,Asda,P+3,Skillet,2000,2748,5000,5484,5000,4644,5100,5088,5000,5184,4500,4362,3300,3612,,,,29220,31122,29202,5187,2748,5484,4644,5088,5184,4362,3612,,3612,,,,,MISSING,MISSING,,6,458,914,774,848,864,727,602,5187,OK
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,1700,1992,3000,3424,3500,3680,4000,3528,4000,4176,3200,3464,2400,2352,,,,21288,22616,26438,2827,1992,3424,3680,3528,4176,3464,2352,,2352,,,,,MISSING,MISSING,,8,249,428,460,441,522,433,294,2827,OK
