Week no.,WK 37,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,08/06/19,,09/06/19,,10/06/19,,11/06/19,,12/06/19,,13/06/19,,14/06/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,08/06/19,09/06/19,10/06/19,11/06/19,12/06/19,13/06/19,14/06/19,,14/06/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,08/06/19,09/06/19,10/06/19,11/06/19,12/06/19,13/06/19,14/06/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1100,968,2800,2564,2500,1920,2500,2180,2500,2276,2000,1156,1600,1316,,,,13124,12380,12872,3095,968,2564,1920,2180,2276,1156,1316,,1316,,,,,,,,4,242,641,480,545,569,289,329,3095,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,2600,2576,6000,5880,6000,5320,6200,6016,6000,5976,5200,1904,4500,2592,,,,35120,30264,36308,3783,2576,5880,5320,6016,5976,1904,2592,,2592,,,,,MISSING,MISSING,,8,322,735,665,752,747,238,324,3783,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2400,2240,6000,6112,4500,4048,5000,4408,6000,4872,4000,2136,3000,2960,,,,29584,26776,29643,3347,2240,6112,4048,4408,4872,2136,2960,,2960,,,,,MISSING,MISSING,,8,280,764,506,551,609,267,370,3347,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,650,532,1300,1320,1200,968,1100,992,1000,952,800,196,600,360,,,,5664,5320,5618,1330,532,1320,968,992,952,196,360,,360,,,,,MISSING,MISSING,,4,133,330,242,248,238,49,90,1330,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,750,568,1600,1392,1500,1204,1600,1344,1200,1032,1100,164,800,388,,,,7356,6092,7378,1523,568,1392,1204,1344,1032,164,388,,388,,,,,MISSING,MISSING,,4,142,348,301,336,258,41,97,1523,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,450,572,900,612,1000,956,1000,948,900,696,1000,92,800,220,,,,4948,4096,5028,1024,572,612,956,948,696,92,220,,220,,,,,MISSING,MISSING,,4,143,153,239,237,174,23,55,1024,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,580,576,1100,1076,1200,1032,1300,1212,1300,1228,1500,424,900,532,,,,6772,6080,6911,1520,576,1076,1032,1212,1228,424,532,,532,,,,,MISSING,MISSING,,4,144,269,258,303,307,106,133,1520,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1600,1638,5000,4830,4000,2556,4500,3504,4000,3624,4000,360,2400,1374,,,,21420,17886,21550,2981,1638,4830,2556,3504,3624,360,1374,,1374,,,,,MISSING,MISSING,,6,273,805,426,584,604,60,229,2981,OK,,23871
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,500,412,1000,924,800,900,1000,720,1000,908,1000,724,800,1516,,,,4284,6104,6000,1526,412,924,900,720,908,724,1516,,1516,,,,,MISSING,MISSING,,4,103,231,225,180,227,181,379,1526,OK,,22678
50302723,22681,Asda,AS Loaded Chicken & Bacon Salad,Asda,P+4,Alternative,500,264,1000,1544,1000,796,1000,1036,1000,748,1000,604,800,1772,,,,5284,6764,5000,1691,264,1544,796,1036,748,604,1772,,1772,,,,,MISSING,MISSING,,4,66,386,199,259,187,151,443,1691,OK,,22681
,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,300,260,330,324,320,304,220,208,350,360,280,292,320,308,,,,2060,2056,2072,514,260,324,304,208,360,292,308,,308,,,,,MISSING,MISSING,,4,65,81,76,52,90,73,77,514,OK,,23753
,23754,Asda Café,"ASC Chicken, Stuffing & Bacon Stack x4",Asda,P+4,Alternative,300,252,300,272,330,268,200,184,350,312,280,268,320,280,,,,1896,1836,1909,459,252,272,268,184,312,268,280,,280,,,,,MISSING,MISSING,,4,63,68,67,46,78,67,70,459,OK,,23754
,23755,Asda Café,"ASC Ham, Cheese & Pickle Stack x4",Asda,P+4,Alternative,300,300,350,296,350,284,200,224,350,332,280,272,320,348,,,,2092,2056,2094,514,300,296,284,224,332,272,348,,348,,,,,MISSING,MISSING,,4,75,74,71,56,83,68,87,514,OK,,23755
,23756,Asda Café,ASC Chicken & Bacon Caesar Wrap x4,Asda,P+4,Alternative,120,140,180,156,180,148,100,132,180,164,110,120,160,120,,,,940,980,971,245,140,156,148,132,164,120,120,,120,,,,,MISSING,MISSING,,4,35,39,37,33,41,30,30,245,OK,,23756
,23759,Asda Café,ASC BLT Stack x4,Asda,P+4,Alternative,288,272,310,272,284,272,200,192,330,308,280,240,350,308,,,,1960,1864,1952,466,272,272,272,192,308,240,308,,308,,,,,MISSING,MISSING,,4,68,68,68,48,77,60,77,466,OK,,23759
,24319,Asda Café,ASC Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,200,160,200,212,200,156,150,132,220,216,180,164,180,148,,,,1232,1188,1227,297,160,212,156,132,216,164,148,,148,,,,,MISSING,MISSING,,4,40,53,39,33,54,41,37,297,OK,,#N/A
,24320,Asda Café,ASC Meatball Hot Wrap x4,Asda,P+7,Alternative,200,144,200,168,200,128,130,104,220,208,150,160,180,160,,,,1200,1072,1205,268,144,168,128,104,208,160,160,,160,,,,,MISSING,MISSING,,4,36,42,32,26,52,40,40,268,OK,,#N/A
,24331,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,550,480,550,480,550,512,300,368,550,600,460,452,550,524,,,,3416,3416,3381,854,480,480,512,368,600,452,524,,524,,,,,MISSING,MISSING,,4,120,120,128,92,150,113,131,854,OK,,24331
,24332,Asda Café,ASC Mozzarella & Pesto Panini x4,Asda,P+7,Alternative,400,356,500,428,480,376,260,296,460,460,350,376,420,448,,,,2752,2740,2754,685,356,428,376,296,460,376,448,,448,,,,,MISSING,MISSING,,4,89,107,94,74,115,94,112,685,OK,,#N/A
,24333,Asda Café,ASC Chicken & Chorizo Panini x4,Asda,P+7,Alternative,500,452,530,476,500,460,300,364,500,552,410,440,460,524,,,,3116,3268,3086,817,452,476,460,364,552,440,524,,524,,,,,MISSING,MISSING,,4,113,119,115,91,138,110,131,817,OK,,#N/A
