Week no.,WK 40,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,29/06/19,,30/06/19,,01/07/19,,02/07/19,,03/07/19,,04/07/19,,05/07/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,29/06/19,30/06/19,01/07/19,02/07/19,03/07/19,04/07/19,05/07/19,,05/07/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,29/06/19,30/06/19,01/07/19,02/07/19,03/07/19,04/07/19,05/07/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delist 04/07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1100,908,2600,2796,2000,1724,2500,2272,2500,2160,1800,1608,1600,1296,,,,12644,12764,13001,3191,908,2796,1724,2272,2160,1608,1296,,1296,,,,,,,,4,227,699,431,568,540,402,324,3191,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,2200,2040,5500,4928,4800,4080,5200,4544,5500,4440,5500,4672,4000,3328,,,,29784,28032,34495,3504,2040,4928,4080,4544,4440,4672,3328,,3328,,,,,MISSING,MISSING,,8,255,616,510,568,555,584,416,3504,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2400,2184,5500,5424,4000,3632,5000,4960,5500,4552,3500,3600,3500,3128,,,,27120,27480,28866,3435,2184,5424,3632,4960,4552,3600,3128,,3128,,,,,MISSING,MISSING,,8,273,678,454,620,569,450,391,3435,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,600,472,1100,1556,1000,824,1000,1084,1000,968,700,536,600,496,,,,5328,5936,5645,1484,472,1556,824,1084,968,536,496,,496,,,,,MISSING,MISSING,,4,118,389,206,271,242,134,124,1484,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,750,484,1300,1512,1000,864,1300,1176,1200,1000,900,596,800,592,,,,6384,6224,7452,1556,484,1512,864,1176,1000,596,592,,592,,,,,MISSING,MISSING,,4,121,378,216,294,250,149,148,1556,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,450,304,700,592,700,416,800,628,800,524,500,360,500,344,,,,3380,3168,4897,792,304,592,416,628,524,360,344,,344,,,,,MISSING,MISSING,,4,76,148,104,157,131,90,86,792,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,550,480,1100,808,900,792,1000,1036,1200,932,1100,872,850,572,,,,5648,5492,7250,1373,480,808,792,1036,932,872,572,,572,,,,,MISSING,MISSING,,4,120,202,198,259,233,218,143,1373,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1300,1158,3000,4176,3000,1650,3500,2904,3500,2994,2500,1716,2400,1878,,,,17136,16476,21876,2746,1158,4176,1650,2904,2994,1716,1878,,1878,,,,,MISSING,MISSING,,6,193,696,275,484,499,286,313,2746,OK,,23871
launch 26/06,23606,Asda,AS 16-PIECE WRAP PLATTER,Asda,P+3,Alternative,400,140,800,450,800,446,900,536,1000,894,800,762,1000,990,,,,2504,4218,4000,2109,140,450,446,536,894,762,990,,990,,,,,MISSING,MISSING,,2,70,225,223,268,447,381,495,2109,OK,,23606
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,800,444,800,752,1000,740,900,528,1200,1108,1400,1268,,,,,,6228,4840,0,1210,444,752,740,528,1108,1268,0,,0,,,,,MISSING,MISSING,,4,111,188,185,132,277,317,0,1210,OK,,22678
50302723,22681,Asda,AS Loaded Chicken & Bacon Salad,Asda,P+4,Alternative,800,468,1000,1712,1000,880,1300,1072,1400,1480,1400,1060,,,,,,8144,6672,0,1668,468,1712,880,1072,1480,1060,0,,0,,,,,MISSING,MISSING,,4,117,428,220,268,370,265,0,1668,OK,,22681
,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,300,220,330,220,320,196,220,192,350,424,280,296,320,316,,,,2044,1864,2099,466,220,220,196,192,424,296,316,,316,,,,,MISSING,MISSING,,4,55,55,49,48,106,74,79,466,OK,,23753
