Week no.,WK 04,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,19/10/19,,20/10/19,,21/10/19,,22/10/19,,23/10/19,,24/10/19,,25/10/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,19/10/19,20/10/19,21/10/19,22/10/19,23/10/19,24/10/19,25/10/19,,25/10/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,19/10/19,20/10/19,21/10/19,22/10/19,23/10/19,24/10/19,25/10/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,2100,1788,2500,2056,2800,2340,2600,2180,2500,1568,2500,1664,1800,1636,,,,17384,13232,16250,3308,1788,2056,2340,2180,1568,1664,1636,,1636,,,,,,,,4,447,514,585,545,392,416,409,3308,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,5500,5752,5500,4064,5600,5336,6200,5288,5600,5448,5000,4496,4000,3792,,,,36136,34176,36770,4272,5752,4064,5336,5288,5448,4496,3792,,3792,,,,,MISSING,MISSING,,8,719,508,667,661,681,562,474,4272,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,4500,4224,5000,4056,5500,5152,5500,5200,5000,5352,4500,4272,4000,3520,,,,33960,31776,31750,3972,4224,4056,5152,5200,5352,4272,3520,,3520,,,,,MISSING,MISSING,,8,528,507,644,650,669,534,440,3972,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,700,496,700,524,1200,596,900,568,800,708,650,604,600,472,,,,5720,3968,5250,992,496,524,596,568,708,604,472,,472,,,,,MISSING,MISSING,,4,124,131,149,142,177,151,118,992,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,900,568,900,808,1100,820,1000,808,800,836,900,860,900,664,,,,6836,5364,6250,1341,568,808,820,808,836,860,664,,664,,,,,MISSING,MISSING,,4,142,202,205,202,209,215,166,1341,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,500,336,700,480,900,436,700,508,600,540,650,512,600,424,,,,4324,3236,3750,809,336,480,436,508,540,512,424,,424,,,,,MISSING,MISSING,,4,84,120,109,127,135,128,106,809,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,700,648,1200,984,1500,868,1200,836,1000,916,1000,848,900,804,,,,8240,5904,7750,1476,648,984,868,836,916,848,804,,804,,,,,MISSING,MISSING,,4,162,246,217,209,229,212,201,1476,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,2500,2520,3200,2922,4000,2976,3800,3108,3000,2844,3000,2424,2000,2058,,,,24336,18852,23500,3142,2520,2922,2976,3108,2844,2424,2058,,2058,,,,,MISSING,MISSING,,6,420,487,496,518,474,404,343,3142,OK,,23871
,24806,Asda Café,ASC NEW Tuna Melt Panini x4,Asda,P+7,Alternative,400,400,450,412,450,400,450,384,500,488,550,104,550,108,,,,2864,2296,2692,574,400,412,400,384,488,104,108,,108,,,,,MISSING,MISSING,,4,100,103,100,96,122,26,27,574,OK,,#N/A
,24807,Asda Café,ASC NEW Chicken & Chorizo Panini x4,Asda,P+7,Alternative,400,,400,344,400,452,400,128,450,256,450,368,400,296,,,,2456,1844,2384,461,0,344,452,128,256,368,296,,296,,,,,MISSING,MISSING,,4,0,86,113,32,64,92,74,461,OK,,#N/A
,24808,Asda Café,ASC NEW Cheese & Ham Panini x4,Asda,P+7,Alternative,600,,600,576,500,732,600,340,700,476,700,552,600,348,,,,3480,3024,3649,756,0,576,732,340,476,552,348,,348,,,,,MISSING,MISSING,,4,0,144,183,85,119,138,87,756,OK,,#N/A
,24809,Asda Café,ASC NEW Cheese & Tomato Toastie x4,Asda,P+7,Alternative,600,,600,580,400,556,400,340,700,420,550,532,600,396,,,,3168,2824,3128,706,0,580,556,340,420,532,396,,396,,,,,MISSING,MISSING,,4,0,145,139,85,105,133,99,706,OK,,#N/A
,24810,Asda Café,ASC NEW Ham & Cheese Toastie x4,Asda,P+7,Alternative,700,,600,560,500,916,500,528,700,512,700,616,700,380,,,,3568,3512,3794,878,0,560,916,528,512,616,380,,380,,,,,MISSING,MISSING,,4,0,140,229,132,128,154,95,878,OK,,#N/A
,24811,Asda Café,ASC NEW ADB Topped Toastie x4,Asda,P+7,Alternative,600,,600,524,400,596,400,300,700,364,700,532,600,324,,,,3248,2640,3077,660,0,524,596,300,364,532,324,,324,,,,,MISSING,MISSING,,4,0,131,149,75,91,133,81,660,OK,,#N/A
,24812,Asda Café,ASC NEW Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,300,,200,,250,236,250,120,300,108,250,260,300,128,,,,1680,852,1487,213,0,0,236,120,108,260,128,,128,,,,,MISSING,MISSING,,4,0,0,59,30,27,65,32,213,OK,,#N/A
,24813,Asda Café,ASC NEW Meatball Hot Wrap x4,Asda,P+7,Alternative,300,,200,,250,176,250,84,300,104,250,212,200,124,,,,1600,700,1302,175,0,0,176,84,104,212,124,,124,,,,,MISSING,MISSING,,4,0,0,44,21,26,53,31,175,OK,,#N/A
50773033,24821,Asda Café,AFS XMAS CHEESEBOARD TOASTIE x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
50773032,23847,Asda Café,AFS XMAS BRIE & CRANBERRY PANINI x 2              ,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23847
,M11393,Asda,AS TOASTIES (CHEESE & MUSTARD),Asda,,,,0,,560,,916,,528,,512,,616,,380,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,M11394,Asda,AS TOASTIES (BEANS & CHEESE),Asda,,,,0,,524,,596,,300,,364,,532,,324,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,M11395,Asda,AS TOASTIES ( CHEESE & TOAMATO),Asda,,,,0,,580,,556,,340,,420,,532,,396,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,,,,,,,,14%,,15%,,15%,,16%,,16%,,13%,,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP,,Totals ASDA,,,,21050,19328,22850,19958,25850,20748,26250,21224,23450,21388,22150,17784,18700,16154,0,0,0,159000,134200,152783,23735,16732,18890,22588,20720,20940,18856,15474,0,15474,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Test,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLD EAT,21459,BP,BP Southern Fried  Chicken Wrap x4,BP,P+3,Wrap,132,108,143,132,70,80,120,116,93,100,124,92,95,92,,,,764,720,773,180,108,132,80,116,100,92,92,,0,,,,,,,,4,27,33,20,29,25,23,23,180,OK,,21459
COLD EAT,21460,BP,BP Chicken & Stuffing Skillet x4,BP,P+3,Skillet,167,160,168,172,101,88,132,144,113,112,164,152,109,108,,,,936,936,953,234,160,172,88,144,112,152,108,,0,,,,,,,,4,40,43,22,36,28,38,27,234,OK,,21460
COLD EAT,21461,BP,BP Egg Mayo Skillet x4,BP,P+3,Skillet,172,156,167,156,105,116,152,136,126,128,168,132,123,112,,,,952,936,1004,234,156,156,116,136,128,132,112,,0,,,,,,,,4,39,39,29,34,32,33,28,234,OK,,21461
COLD EAT,21462,BP,BP Cheese Ploughmans Skillet x4,BP,P+3,Skillet,172,156,176,156,92,100,152,140,118,116,168,132,122,120,,,,984,920,1004,230,156,156,100,140,116,132,120,,0,,,,,,,,4,39,39,25,35,29,33,30,230,OK,,21462
COLD EAT,21463,BP,BP Cheese & Onion Skillet x4,BP,P+3,Skillet,189,164,177,164,107,108,152,152,123,124,180,144,126,112,,,,1048,968,1054,242,164,164,108,152,124,144,112,,0,,,,,,,,4,41,41,27,38,31,36,28,242,OK,,21463
COLD EAT,21465,BP,BP Prawn Mayo Skillet x4,BP,P+3,Skillet,133,104,138,144,77,64,128,120,85,80,124,108,98,88,,,,800,708,788,177,104,144,64,120,80,108,88,,0,,,,,,,,4,26,36,16,30,20,27,22,177,OK,,21465
