Week no.,WK 19,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,02/02/19,,03/02/19,,04/02/19,,05/02/19,,06/02/19,,07/02/19,,08/02/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,02/02/19,03/02/19,04/02/19,05/02/19,06/02/19,07/02/19,08/02/19,,08/02/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,02/02/19,03/02/19,04/02/19,05/02/19,06/02/19,07/02/19,08/02/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,900,932,2200,1952,2000,1656,2000,1928,2000,1848,1500,1308,1100,1160,,,,11084,10784,14622,2696,932,1952,1656,1928,1848,1308,1160,,1160,,,,,,,,4,233,488,414,482,462,327,290,2696,OK
50535478,23869,Asda,AS Chicken & Bacon Skillet x 6,Asda,P+3,Skillet,2000,2154,5100,4746,5000,4506,5100,5076,5000,4716,4200,4614,3300,3408,,,,29790,29220,29271,4870,2154,4746,4506,5076,4716,4614,3408,,3408,,,,,MISSING,MISSING,,6,359,791,751,846,786,769,568,4870,OK
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,1700,1952,3500,2984,3500,3256,4000,3832,4000,3616,3200,3104,2400,2544,,,,22104,21288,26501,2661,1952,2984,3256,3832,3616,3104,2544,,2544,,,,,MISSING,MISSING,,8,244,373,407,479,452,388,318,2661,OK
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1100,1332,2700,2184,2600,2658,3000,2892,3000,2760,2400,2352,1600,1680,,,,16764,15858,17703,2643,1332,2184,2658,2892,2760,2352,1680,,1680,,,,,MISSING,MISSING,,6,222,364,443,482,460,392,280,2643,OK
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+2,Alternative,900,724,2000,2072,1500,1528,1600,1412,1500,944,900,544,800,948,,,,8776,8172,9495,2043,724,2072,1528,1412,944,544,948,,948,,,,,MISSING,MISSING,,4,181,518,382,353,236,136,237,2043,OK
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+2,Alternative,900,872,2200,2184,1650,1720,1800,1752,1700,1232,1200,636,1000,1188,,,,10348,9584,11630,2396,872,2184,1720,1752,1232,636,1188,,1188,,,,,MISSING,MISSING,,4,218,546,430,438,308,159,297,2396,OK
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+2,Alternative,300,260,500,356,550,540,500,480,500,412,450,332,300,292,,,,2640,2672,4165,668,260,356,540,480,412,332,292,,292,,,,,MISSING,MISSING,,4,65,89,135,120,103,83,73,668,OK
,23358,Asda,AS Chicken Tikka Sub Roll x4,Asda,P+3,Alternative,300,280,700,464,650,596,600,548,600,508,600,288,500,264,,,,3240,2948,3720,737,280,464,596,548,508,288,264,,264,,,,,MISSING,MISSING,,4,70,116,149,137,127,72,66,737,OK
50422417,23359,Asda,AS Cheese Ploughmans Sub Roll x4,Asda,P+3,Alternative,250,168,400,312,450,340,400,356,400,296,400,224,300,180,,,,2084,1876,2900,469,168,312,340,356,296,224,180,,180,,,,,MISSING,MISSING,,4,42,78,85,89,74,56,45,469,OK
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,400,408,900,804,1100,1092,1200,1036,1200,1028,1000,924,900,724,,,,6196,6016,6908,1003,408,804,1092,1036,1028,924,724,,724,,,,,MISSING,MISSING,,6,68,134,182,173,171,154,121,1003,OK
,23362,Asda,AS Pulled Pork Sub Roll x4,Asda,P+3,Alternative,160,92,350,236,350,256,300,288,300,224,300,176,250,128,,,,1536,1400,1854,350,92,236,256,288,224,176,128,,128,,,,,MISSING,MISSING,,4,23,59,64,72,56,44,32,350,OK
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,550,540,1300,1332,1200,792,1500,1328,1400,1224,1100,1040,900,752,,,,7232,7008,8332,1752,540,1332,792,1328,1224,1040,752,,752,,,,,MISSING,MISSING,,4,135,333,198,332,306,260,188,1752,OK
