Week no.,WK 23,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,02/03/19,,03/03/19,,04/03/19,,05/03/19,,06/03/19,,07/03/19,,08/03/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,02/03/19,03/03/19,04/03/19,05/03/19,06/03/19,07/03/19,08/03/19,,08/03/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,02/03/19,03/03/19,04/03/19,05/03/19,06/03/19,07/03/19,08/03/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1000,1220,2200,2396,2000,1952,1800,2444,1800,2088,1148,1284,1200,1800,,,,10772,13184,11844,3296,1220,2396,1952,2444,2088,1284,1800,,1800,,,,,,,,4,305,599,488,611,522,321,450,3296,OK
50535478,23869,Asda,AS Chicken & Bacon Skillet x 6,Asda,P+3,Skillet,2000,1566,6000,5772,5800,6258,5800,6090,6000,5610,4110,4380,3300,3942,,,,34548,33618,31066,5603,1566,5772,6258,6090,5610,4380,3942,,3942,,,,,MISSING,MISSING,,6,261,962,1043,1015,935,730,657,5603,OK
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,1800,1992,3600,4168,3800,4016,3000,4664,3500,4200,2744,2872,2400,2976,,,,21656,24888,22814,3111,1992,4168,4016,4664,4200,2872,2976,,2976,,,,,MISSING,MISSING,,8,249,521,502,583,525,359,372,3111,OK
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1200,1350,2500,3120,3200,3096,2500,3906,2600,3504,1452,1626,1600,2634,,,,16224,19236,17086,3206,1350,3120,3096,3906,3504,1626,2634,,2634,,,,,MISSING,MISSING,,6,225,520,516,651,584,271,439,3206,OK
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+2,Alternative,900,884,2200,2016,1500,1712,1000,1480,1000,1628,724,824,800,896,,,,7640,9440,8737,2360,884,2016,1712,1480,1628,824,896,,896,,,,,MISSING,MISSING,,4,221,504,428,370,407,206,224,2360,OK
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+2,Alternative,1100,1216,2400,2284,1800,2132,1400,2000,1400,1948,868,992,1000,1196,,,,9784,11768,10679,2942,1216,2284,2132,2000,1948,992,1196,,1196,,,,,MISSING,MISSING,,4,304,571,533,500,487,248,299,2942,OK
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+2,Alternative,300,304,650,508,600,604,400,564,500,536,280,308,300,244,,,,2572,3068,2961,767,304,508,604,564,536,308,244,,244,,,,,MISSING,MISSING,,4,76,127,151,141,134,77,61,767,OK
,23358,Asda,AS Chicken Tikka Sub Roll x4,Asda,P+3,Alternative,,232,648,,680,,548,,,,,0,,0,,,,2780,232,0,58,232,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,58,0,0,0,0,0,0,58,OK
50422417,23359,Asda,AS Cheese Ploughmans Sub Roll x4,Asda,P+3,Alternative,200,220,450,388,500,488,300,304,400,392,336,352,300,176,,,,1660,2320,2039,580,220,388,488,304,392,352,176,,176,,,,,MISSING,MISSING,,4,55,97,122,76,98,88,44,580,OK
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,450,360,1000,1148,1200,1212,1100,1440,1000,1304,816,884,800,868,,,,6096,7216,6533,1203,360,1148,1212,1440,1304,884,868,,868,,,,,MISSING,MISSING,,6,60,191,202,240,217,147,145,1203,OK
,23362,Asda,AS Pulled Pork Sub Roll x4,Asda,P+3,Alternative,,112,348,,304,,272,,,,,,,,,,,1360,112,0,28,112,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,28,0,0,0,0,0,0,28,OK
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,500,580,1400,1344,1200,868,1400,1620,1600,1144,1100,1276,900,616,,,,6976,7448,7669,1862,580,1344,868,1620,1144,1276,616,,616,,,,,MISSING,MISSING,,4,145,336,217,405,286,319,154,1862,OK
50302723,22681,Asda,AS Loaded Chicken & Bacon Salad,Asda,P+4,Alternative,800,760,2000,2440,1800,888,1800,2460,2000,1520,1200,1480,1000,688,,,,9808,10236,10193,2559,760,2440,888,2460,1520,1480,688,,688,,,,,MISSING,MISSING,,4,190,610,222,615,380,370,172,2559,OK
,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,400,340,400,392,400,404,250,276,400,392,350,344,380,352,,,,2424,2500,2424,625,340,392,404,276,392,344,352,,352,,,,,MISSING,MISSING,,4,85,98,101,69,98,86,88,625,OK
,23754,Asda Café,"ASC Chicken, Stuffing & Bacon Stack x4",Asda,P+4,Alternative,360,348,420,340,400,396,280,228,400,348,310,332,360,344,,,,2204,2336,2422,584,348,340,396,228,348,332,344,,344,,,,,MISSING,MISSING,,4,87,85,99,57,87,83,86,584,OK
,23755,Asda Café,"ASC Ham, Cheese & Pickle Stack x4",Asda,P+4,Alternative,360,304,440,376,400,372,250,264,400,392,310,316,400,384,,,,2340,2408,2422,602,304,376,372,264,392,316,384,,384,,,,,MISSING,MISSING,,4,76,94,93,66,98,79,96,602,OK
,23756,Asda Café,ASC Chicken & Bacon Caesar Wrap x4,Asda,P+4,Alternative,200,188,250,184,250,208,180,124,200,212,200,156,200,176,,,,1200,1248,1356,312,188,184,208,124,212,156,176,,176,,,,,MISSING,MISSING,,4,47,46,52,31,53,39,44,312,OK
