Week no.,WK 08,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,16/11/19,,17/11/19,,18/11/19,,19/11/19,,20/11/19,,21/11/19,,22/11/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,16/11/19,17/11/19,18/11/19,19/11/19,20/11/19,21/11/19,22/11/19,,22/11/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,16/11/19,17/11/19,18/11/19,19/11/19,20/11/19,21/11/19,22/11/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1500,2224,2100,1876,2200,2060,2200,2192,2200,2188,2000,2028,1800,1840,,,,12736,14408,12004,3602,2224,1876,2060,2192,2188,2028,1840,,1840,,,,,,,,4,556,469,515,548,547,507,460,3602,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,5200,7240,5500,6120,6000,6216,5500,6616,5500,5424,4500,4256,4000,3848,,,,34672,39720,33227,4965,7240,6120,6216,6616,5424,4256,3848,,3848,,,,,MISSING,MISSING,,8,905,765,777,827,678,532,481,4965,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,3500,4544,4500,4456,4500,3768,4500,4696,4500,4272,4000,4496,3200,2880,,,,27248,29112,30198,3639,4544,4456,3768,4696,4272,4496,2880,,2880,,,,,MISSING,MISSING,,8,568,557,471,587,534,562,360,3639,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,320,340,467,472,391,540,462,484,380,576,448,560,420,572,,,,3576,3544,3725,886,340,472,540,484,576,560,572,,572,,,,,MISSING,MISSING,,4,85,118,135,121,144,140,143,886,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,395,396,618,692,706,800,567,708,720,736,576,692,618,800,,,,4812,4824,5183,1206,396,692,800,708,736,692,800,,800,,,,,MISSING,MISSING,,4,99,173,200,177,184,173,200,1206,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,513,484,593,604,555,648,618,636,556,700,524,640,500,704,,,,4268,4416,4844,1104,484,604,648,636,700,640,704,,704,,,,,MISSING,MISSING,,4,121,151,162,159,175,160,176,1104,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,2500,3384,3500,3444,3500,3360,3500,3498,3500,3372,3000,3024,2800,2538,,,,19338,22620,18676,3770,3384,3444,3360,3498,3372,3024,2538,,2538,,,,,MISSING,MISSING,,6,564,574,560,583,562,504,423,3770,OK,,23871
50779457,24806,Asda Café,ASC NEW Tuna Melt Panini x4,Asda,P+7,Alternative,194,292,315,304,362,308,244,248,304,272,308,396,336,356,,,,2164,2176,2546,544,292,304,308,248,272,396,356,,356,,,,,MISSING,MISSING,,4,73,76,77,62,68,99,89,544,OK,,#N/A
50779458,24807,Asda Café,ASC NEW Chicken & Chorizo Panini x4,Asda,P+7,Alternative,206,264,294,264,219,280,173,156,292,284,240,336,164,264,,,,1896,1848,2241,462,264,264,280,156,284,336,264,,264,,,,,MISSING,MISSING,,4,66,66,70,39,71,84,66,462,OK,,#N/A
50779459,24808,Asda Café,ASC NEW Cheese & Ham Panini x4,Asda,P+7,Alternative,412,352,408,344,299,428,441,460,496,396,368,420,462,500,,,,2864,2900,3361,725,352,344,428,460,396,420,500,,500,,,,,MISSING,MISSING,,4,88,86,107,115,99,105,125,725,OK,,#N/A
50779460,24809,Asda Café,ASC NEW Cheese & Tomato Toastie x4,Asda,P+7,Alternative,353,372,286,412,425,416,374,388,424,320,344,480,408,352,,,,2680,2740,3107,685,372,412,416,388,320,480,352,,352,,,,,MISSING,MISSING,,4,93,103,104,97,80,120,88,685,OK,,#N/A
50779461,24810,Asda Café,ASC NEW Ham & Cheese Toastie x4,Asda,P+7,Alternative,429,420,458,520,412,496,517,496,492,520,476,596,441,476,,,,3472,3524,4023,881,420,520,496,496,520,596,476,,476,,,,,MISSING,MISSING,,4,105,130,124,124,130,149,119,881,OK,,#N/A
