Week no.,WK 43,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,20/07/19,,21/07/19,,22/07/19,,23/07/19,,24/07/19,,25/07/19,,26/07/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,20/07/19,21/07/19,22/07/19,23/07/19,24/07/19,25/07/19,26/07/19,,26/07/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,20/07/19,21/07/19,22/07/19,23/07/19,24/07/19,25/07/19,26/07/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,chicken change,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delist 04/07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1100,1032,2800,1920,2000,2000,2500,1868,2500,2184,1800,1820,1600,980,,,,12488,11804,13871,2951,1032,1920,2000,1868,2184,1820,980,,980,,,,,,,,4,258,480,500,467,546,455,245,2951,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,2500,4104,6000,4304,4000,6064,5000,5200,5500,5816,5500,4864,4000,3368,,,,29952,33720,35353,4215,4104,4304,6064,5200,5816,4864,3368,,3368,,,,,MISSING,MISSING,,8,513,538,758,650,727,608,421,4215,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2500,3280,6000,3784,4000,4968,5000,4456,5500,4840,3500,4392,3500,2576,,,,28688,28296,27296,3537,3280,3784,4968,4456,4840,4392,2576,,2576,,,,,MISSING,MISSING,,8,410,473,621,557,605,549,322,3537,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,600,460,1300,656,900,628,1000,684,1000,668,700,540,600,392,,,,5352,4028,5789,1007,460,656,628,684,668,540,392,,392,,,,,MISSING,MISSING,,4,115,164,157,171,167,135,98,1007,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,750,752,1300,816,950,1012,1000,984,1200,944,900,860,800,560,,,,6008,5928,7638,1482,752,816,1012,984,944,860,560,,560,,,,,MISSING,MISSING,,4,188,204,253,246,236,215,140,1482,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,450,348,700,488,600,428,600,472,800,428,500,396,500,256,,,,3052,2816,5014,704,348,488,428,472,428,396,256,,256,,,,,MISSING,MISSING,,4,87,122,107,118,107,99,64,704,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,550,472,1000,828,900,836,1000,904,1200,908,1100,772,850,452,,,,5384,5172,7418,1293,472,828,836,904,908,772,452,,452,,,,,MISSING,MISSING,,4,118,207,209,226,227,193,113,1293,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1800,1452,4000,2268,2000,2670,3000,2598,3500,2682,2500,2442,2400,1416,,,,18660,15528,22386,2588,1452,2268,2670,2598,2682,2442,1416,,1416,,,,,MISSING,MISSING,,6,242,378,445,433,447,407,236,2588,OK,,23871
delist 06/08,23606,Asda,AS 16-PIECE WRAP PLATTER,Asda,P+3,Alternative,400,70,400,582,400,90,400,182,600,350,600,850,600,960,,,,2174,3084,6000,1542,70,582,90,182,350,850,960,,960,,,,,MISSING,MISSING,,2,35,291,45,91,175,425,480,1542,OK,,23606
,24319,Asda Café,ASC Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,200,168,200,208,200,204,150,152,220,224,180,204,180,164,,,,1252,1324,1228,331,168,208,204,152,224,204,164,,164,,,,,MISSING,MISSING,,4,42,52,51,38,56,51,41,331,OK,,#N/A
,24320,Asda Café,ASC Meatball Hot Wrap x4,Asda,P+7,Alternative,200,148,200,184,200,160,130,120,220,212,150,156,180,148,,,,1144,1128,1206,282,148,184,160,120,212,156,148,,148,,,,,MISSING,MISSING,,4,37,46,40,30,53,39,37,282,OK,,#N/A
,24331,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,550,460,550,496,550,452,300,360,550,560,460,480,550,508,,,,3412,3316,3416,829,460,496,452,360,560,480,508,,508,,,,,MISSING,MISSING,,4,115,124,113,90,140,120,127,829,OK,,24331
,24333,Asda Café,ASC Chicken & Chorizo Panini x4,Asda,P+7,Alternative,500,436,530,504,500,452,300,356,500,540,410,484,460,464,,,,3288,3236,3198,809,436,504,452,356,540,484,464,,464,,,,,MISSING,MISSING,,4,109,126,113,89,135,121,116,809,OK,,#N/A
,24334,Asda Café,ASC Cheese & Ham Panini x4,Asda,P+7,Alternative,600,524,620,528,630,544,350,376,600,644,570,552,300,560,,,,3972,3728,4011,932,524,528,544,376,644,552,560,,560,,,,,MISSING,MISSING,,4,131,132,136,94,161,138,140,932,OK,,#N/A
,24335,Asda Café,ASC Cheese & Tomato Toastie x4,Asda,P+7,Alternative,450,456,450,508,500,480,300,296,460,532,400,448,400,448,,,,3080,3168,2991,792,456,508,480,296,532,448,448,,448,,,,,MISSING,MISSING,,4,114,127,120,74,133,112,112,792,OK,,#N/A
,24336,Asda Café,ASC Ham & Cheese Toastie x4,Asda,P+7,Alternative,500,496,550,576,580,540,350,360,600,616,500,524,520,556,,,,3736,3668,3581,917,496,576,540,360,616,524,556,,556,,,,,MISSING,MISSING,,4,124,144,135,90,154,131,139,917,OK,,#N/A
,24337,Asda Café,ASC ADB Topped Toastie x4,Asda,P+7,Alternative,280,224,300,276,300,240,180,172,300,348,220,256,236,304,,,,1804,1820,1681,455,224,276,240,172,348,256,304,,304,,,,,MISSING,MISSING,,4,56,69,60,43,87,64,76,455,OK,,#N/A
delist 19/07,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,,,,,,,,,,,,,,,,,,2060,0,2075,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23753
