Week no.,WK 44,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,27/07/19,,28/07/19,,29/07/19,,30/07/19,,31/07/19,,01/08/19,,02/08/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,27/07/19,28/07/19,29/07/19,30/07/19,31/07/19,01/08/19,02/08/19,,02/08/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,27/07/19,28/07/19,29/07/19,30/07/19,31/07/19,01/08/19,02/08/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,chicken change,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delist 04/07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1100,960,2500,3816,2000,1516,2500,2380,2500,2228,1800,856,1600,1628,,,,12488,13384,12409,3346,960,3816,1516,2380,2228,856,1628,,1628,,,,,,,,4,240,954,379,595,557,214,407,3346,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,2500,2544,5000,5632,5000,4872,5000,5344,5500,4872,5500,5496,4000,2528,,,,29952,31288,29525,3911,2544,5632,4872,5344,4872,5496,2528,,2528,,,,,MISSING,MISSING,,8,318,704,609,668,609,687,316,3911,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2500,2600,5000,5624,5000,4176,5000,4888,5500,4528,3500,4312,3500,2592,,,,28688,28720,27817,3590,2600,5624,4176,4888,4528,4312,2592,,2592,,,,,MISSING,MISSING,,8,325,703,522,611,566,539,324,3590,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,600,336,900,1308,800,468,1000,728,1000,824,700,272,600,552,,,,5352,4488,5242,1122,336,1308,468,728,824,272,552,,552,,,,,MISSING,MISSING,,4,84,327,117,182,206,68,138,1122,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,750,684,1000,1744,1000,944,1000,1304,1200,1168,900,540,800,628,,,,6008,7012,5937,1753,684,1744,944,1304,1168,540,628,,628,,,,,MISSING,MISSING,,4,171,436,236,326,292,135,157,1753,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,450,292,700,596,600,436,600,452,800,504,500,424,500,292,,,,3052,2996,3022,749,292,596,436,452,504,424,292,,292,,,,,MISSING,MISSING,,4,73,149,109,113,126,106,73,749,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,550,300,1000,1212,900,580,1000,928,1200,872,1100,904,850,564,,,,5384,5360,5349,1340,300,1212,580,928,872,904,564,,564,,,,,MISSING,MISSING,,4,75,303,145,232,218,226,141,1340,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1800,2346,3500,3840,2600,2274,3000,3678,3500,2838,2500,3066,2400,1368,,,,18660,19410,18453,3235,2346,3840,2274,3678,2838,3066,1368,,1368,,,,,MISSING,MISSING,,6,391,640,379,613,473,511,228,3235,OK,,23871
delist 06/08,23606,Asda,AS 16-PIECE WRAP PLATTER,Asda,P+3,Alternative,200,28,400,340,300,200,300,396,600,428,800,600,900,806,,,,2174,2798,4841,1399,28,340,200,396,428,600,806,,806,,,,,MISSING,MISSING,,2,14,170,100,198,214,300,403,1399,OK,,23606
,24319,Asda Café,ASC Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,200,160,200,160,200,180,150,156,220,200,180,236,180,272,,,,1252,1364,1269,341,160,160,180,156,200,236,272,,272,,,,,MISSING,MISSING,,4,40,40,45,39,50,59,68,341,OK,,#N/A
,24320,Asda Café,ASC Meatball Hot Wrap x4,Asda,P+7,Alternative,200,160,200,160,200,172,130,128,220,228,150,228,180,264,,,,1144,1340,1246,335,160,160,172,128,228,228,264,,264,,,,,MISSING,MISSING,,4,40,40,43,32,57,57,66,335,OK,,#N/A
