Week no.,WK 50,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,07/09/19,,08/09/19,,09/09/19,,10/09/19,,11/09/19,,12/09/19,,13/09/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,07/09/19,08/09/19,09/09/19,10/09/19,11/09/19,12/09/19,13/09/19,,13/09/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,07/09/19,08/09/19,09/09/19,10/09/19,11/09/19,12/09/19,13/09/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,chicken change,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delist 04/07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1400,1220,2500,2692,2600,2424,2500,2980,2500,2648,3000,2660,1600,3748,,,,13240,18372,13500,4593,1220,2692,2424,2980,2648,2660,3748,,3748,,,,,,,,4,305,673,606,745,662,665,937,4593,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,3200,3144,5200,4712,5500,4936,5500,5648,5000,5080,5500,7056,4000,3344,,,,30984,33920,31500,4240,3144,4712,4936,5648,5080,7056,3344,,3344,,,,,MISSING,MISSING,,8,393,589,617,706,635,882,418,4240,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2600,2720,4500,4848,5500,4512,5000,5736,5000,4904,5500,5488,3500,5200,,,,28416,33408,30000,4176,2720,4848,4512,5736,4904,5488,5200,,5200,,,,,MISSING,MISSING,,8,340,606,564,717,613,686,650,4176,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,600,476,800,696,900,772,900,808,800,668,800,500,600,664,,,,4648,4584,4736,1146,476,696,772,808,668,500,664,,664,,,,,MISSING,MISSING,,4,119,174,193,202,167,125,166,1146,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,750,636,900,920,1000,788,1200,1068,1000,784,1000,700,800,740,,,,5584,5636,5933,1409,636,920,788,1068,784,700,740,,740,,,,,MISSING,MISSING,,4,159,230,197,267,196,175,185,1409,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,500,420,700,500,600,644,600,572,700,556,600,408,500,660,,,,3604,3760,3593,940,420,500,644,572,556,408,660,,660,,,,,MISSING,MISSING,,4,105,125,161,143,139,102,165,940,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,900,688,1100,1088,1200,1076,1200,1304,1000,1212,1100,1124,850,672,,,,7388,7164,7621,1791,688,1088,1076,1304,1212,1124,672,,672,,,,,MISSING,MISSING,,4,172,272,269,326,303,281,168,1791,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,2200,1794,3000,3174,3400,3078,3300,3708,3200,3756,3500,3924,2400,4374,,,,19764,23808,19750,3968,1794,3174,3078,3708,3756,3924,4374,,4374,,,,,MISSING,MISSING,,6,299,529,513,618,626,654,729,3968,OK,,23871
,24319,Asda Café,ASC Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,1024,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
,24320,Asda Café,ASC Meatball Hot Wrap x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,716,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
,24331,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,2428,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,24331
,24333,Asda Café,ASC Chicken & Chorizo Panini x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,2340,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
,24334,Asda Café,ASC Cheese & Ham Panini x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,2916,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
,24335,Asda Café,ASC Cheese & Tomato Toastie x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,2552,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
,24336,Asda Café,ASC Ham & Cheese Toastie x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,2768,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
,24337,Asda Café,ASC ADB Topped Toastie x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,2396,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
,24806,Asda Café,ASC NEW Tuna Melt Panini x4,Asda,P+7,Alternative,400,560,550,36,450,152,400,288,736,244,848,284,550,284,,,,0,1848,3364,462,560,36,152,288,244,284,284,,284,,,,,MISSING,MISSING,,4,140,9,38,72,61,71,71,462,OK,,#N/A
,24807,Asda Café,ASC NEW Chicken & Chorizo Panini x4,Asda,P+7,Alternative,420,388,530,40,450,28,400,252,704,256,736,176,460,200,,,,0,1340,3198,335,388,40,28,252,256,176,200,,200,,,,,MISSING,MISSING,,4,97,10,7,63,64,44,50,335,OK,,#N/A
,24808,Asda Café,ASC NEW Cheese & Ham Panini x4,Asda,P+7,Alternative,500,624,620,80,550,160,500,332,736,228,936,348,300,316,,,,0,2088,3863,522,624,80,160,332,228,348,316,,316,,,,,MISSING,MISSING,,4,156,20,40,83,57,87,79,522,OK,,#N/A
,24809,Asda Café,ASC NEW Cheese & Tomato Toastie x4,Asda,P+7,Alternative,450,612,450,84,450,152,400,320,640,256,756,340,400,328,,,,0,2092,2993,523,612,84,152,320,256,340,328,,328,,,,,MISSING,MISSING,,4,153,21,38,80,64,85,82,523,OK,,#N/A
,24810,Asda Café,ASC NEW Ham & Cheese Toastie x4,Asda,P+7,Alternative,480,736,550,60,500,200,420,400,680,380,852,416,520,356,,,,0,2548,3636,637,736,60,200,400,380,416,356,,356,,,,,MISSING,MISSING,,4,184,15,50,100,95,104,89,637,OK,,#N/A
,24811,Asda Café,ASC NEW ADB Topped Toastie x4,Asda,P+7,Alternative,400,380,300,12,300,32,300,304,524,232,692,256,236,160,,,,0,1376,2661,344,380,12,32,304,232,256,160,,160,,,,,MISSING,MISSING,,4,95,3,8,76,58,64,40,344,OK,,#N/A
,24812,Asda Café,ASC NEW Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,180,268,200,0,200,24,150,136,404,136,336,124,180,112,,,,0,800,1226,200,268,0,24,136,136,124,112,,112,,,,,MISSING,MISSING,,4,67,0,6,34,34,31,28,200,OK,,#N/A
,24813,Asda Café,ASC NEW Meatball Hot Wrap x4,Asda,P+7,Alternative,180,216,200,0,150,0,100,104,384,168,308,92,180,128,,,,0,708,1115,177,216,0,0,104,168,92,128,,128,,,,,MISSING,MISSING,,4,54,0,0,26,42,23,32,177,OK,,#N/A
delist 19/07,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23753
delist 19/07,23754,Asda Café,"ASC Chicken, Stuffing & Bacon Stack x4",Asda,P+4,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23754
delist 19/07,23755,Asda Café,"ASC Ham, Cheese & Pickle Stack x4",Asda,P+4,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23755
delist 19/07,23756,Asda Café,ASC Chicken & Bacon Caesar Wrap x4,Asda,P+4,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23756
delist 19/07,23759,Asda Café,ASC BLT Stack x4,Asda,P+4,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23759
,24332,Asda Café,ASC Mozzarella & Pesto Panini x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,24332
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,22678
50302723,22681,Asda,AS Loaded Chicken & Bacon Salad,Asda,P+4,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,22681
delist 06/08,23606,Asda,AS 16-PIECE WRAP PLATTER,Asda,P+3,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,2,0,0,0,0,0,0,0,0,OK,,23606
,M11393,Asda,AS TOASTIES (CHEESE & MUSTARD),Asda,,,,736,,60,,200,,400,,380,,416,,356,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,M11394,Asda,AS TOASTIES (BEANS & CHEESE),Asda,,,,380,,12,,32,,304,,232,,256,,160,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,M11395,Asda,AS TOASTIES ( CHEESE & TOAMATO),Asda,,,,612,,84,,152,,320,,256,,340,,328,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,,,,,,,,9%,,15%,,16%,,18%,,17%,,18%,,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP,,Totals ASDA,,,,15550,11410,21750,19378,23370,20366,25008,23724,24664,21644,23826,23744,14250,24110,0,0,0,130768,130652,116633,22263,14882,18942,18978,23960,21508,23896,21286,0,21286,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Test,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLD EAT,21459,BP,BP Southern Fried  Chicken Wrap x4,BP,P+3,Wrap,138,128,137,156,76,76,130,116,93,108,122,112,95,100,,,,796,796,806,199,128,156,76,116,108,112,100,,0,,,,,,,,4,32,39,19,29,27,28,25,199,OK,,21459
COLD EAT,21460,BP,BP Chicken & Stuffing Skillet x4,BP,P+3,Skillet,181,164,180,180,105,112,179,152,116,116,160,160,109,108,,,,968,992,994,248,164,180,112,152,116,160,108,,0,,,,,,,,4,41,45,28,38,29,40,27,248,OK,,21460
COLD EAT,21461,BP,BP Egg Mayo Skillet x4,BP,P+3,Skillet,183,160,181,176,119,116,174,160,132,132,172,172,123,128,,,,1044,1044,1054,261,160,176,116,160,132,172,128,,0,,,,,,,,4,40,44,29,40,33,43,32,261,OK,,21461
COLD EAT,21462,BP,BP Cheese Ploughmans Skillet x4,BP,P+3,Skillet,186,168,182,188,115,108,168,152,118,140,159,152,122,108,,,,1008,1016,1035,254,168,188,108,152,140,152,108,,0,,,,,,,,4,42,47,27,38,35,38,27,254,OK,,21462
COLD EAT,21463,BP,BP Cheese & Onion Skillet x4,BP,P+3,Skillet,188,160,185,204,114,116,168,172,123,132,168,164,126,136,,,,1040,1084,1064,271,160,204,116,172,132,164,136,,0,,,,,,,,4,40,51,29,43,33,41,34,271,OK,,21463
COLD EAT,21465,BP,BP Prawn Mayo Skillet x4,BP,P+3,Skillet,134,120,158,160,77,84,140,132,85,100,125,116,98,108,,,,788,820,821,205,120,160,84,132,100,116,108,,0,,,,,,,,4,30,40,21,33,25,29,27,205,OK,,21465
COLD EAT,21466,BP,BP Tuna Sweetcorn Skillet x4,BP,P+3,Skillet,171,168,181,176,124,116,179,156,119,128,161,156,116,120,,,,988,1020,1044,255,168,176,116,156,128,156,120,,0,,,,,,,,4,42,44,29,39,32,39,30,255,OK,,21466
COLD EAT,21467,BP,BP Chicken Salad Skillet x4,BP,P+3,Skillet,191,180,182,196,127,124,176,168,129,140,175,176,133,124,,,,1048,1108,1094,277,180,196,124,168,140,176,124,,0,,,,,,,,4,45,49,31,42,35,44,31,277,OK,,21467
COLD EAT,21468,BP,BP Chicken & Bacon Skillet x4,BP,P+3,Skillet,208,192,212,208,129,136,197,184,140,148,181,184,144,148,,,,1168,1200,1203,300,192,208,136,184,148,184,148,,0,,,,,,,,4,48,52,34,46,37,46,37,300,OK,,21468
COLD EAT,21471,BP,BP BLT Skillet x4,BP,P+3,Skillet,179,168,190,192,124,116,179,180,126,140,167,172,138,140,,,,1076,1108,1099,277,168,192,116,180,140,172,140,,0,,,,,,,,4,42,48,29,45,35,43,35,277,OK,,21471
COLD EAT,21732,BP,BP Ham & Cheese Skillet x4,BP,P+3,Skillet,188,180,205,200,127,116,188,176,138,144,178,192,146,124,,,,1120,1132,1164,283,180,200,116,176,144,192,124,,0,,,,,,,,4,45,50,29,44,36,48,31,283,OK,,21732
COLD EAT,21733,BP,BP Chicken Caesar Wrap x4,BP,P+3,Wrap,132,132,150,152,93,108,136,124,108,124,127,116,113,116,,,,816,872,875,218,132,152,108,124,124,116,116,,0,,,,,,,,4,33,38,27,31,31,29,29,218,OK,,21733
HOT EAT,21767,BP,BP Ham & Cheese Toastie x4,BP,P+7,Alternative,832,864,937,988,753,704,905,1048,835,876,873,860,966,968,,,,6164,6308,6050,1577,864,988,704,1048,876,860,968,,0,,,,,,,,4,216,247,176,262,219,215,242,1577,OK,,21767
COLD EAT,22796,BP,BP Breakfast Triple Skillet x4,BP,P+3,Alternative,229,220,236,260,159,156,226,240,165,180,207,212,168,172,,,,1328,1440,1367,360,220,260,156,240,180,212,172,,0,,,,,MISSING,MISSING,,4,55,65,39,60,45,53,43,360,OK,,22796
HOT EAT,22799,BP,BP Ultimate Three Cheese Toastie x4,BP,P+7,Alternative,797,928,832,816,690,644,814,880,753,724,790,768,846,804,,,,5424,5564,5369,1391,928,816,644,880,724,768,804,,0,,,,,MISSING,MISSING,,4,232,204,161,220,181,192,201,1391,OK,,22799
HOT EAT,23840,BP,BP Classic Cheese & Ham Barmarked Toastie x4,BP,P+7,Alternative,525,480,644,732,473,388,624,696,536,552,589,648,555,536,,,,4028,4032,3928,1008,480,732,388,696,552,648,536,,0,,,,,MISSING,MISSING,,4,120,183,97,174,138,162,134,1008,OK,,23840
