Week no.,WK 32,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,27/04/19,,28/04/19,,29/04/19,,30/04/19,,01/05/19,,02/05/19,,03/05/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,27/04/19,28/04/19,29/04/19,30/04/19,01/05/19,02/05/19,03/05/19,,03/05/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,27/04/19,28/04/19,29/04/19,30/04/19,01/05/19,02/05/19,03/05/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1028,1124,3000,2076,2000,1924,2200,2168,2500,2532,2000,2348,1600,1780,,,,11152,13952,14982,3488,1124,2076,1924,2168,2532,2348,1780,,1780,,,,,,,,4,281,519,481,542,633,587,445,3488,OK
50535478,23869,Asda,AS Chicken & Bacon Skillet x 6,Asda,P+3,Skillet,2556,3270,7500,5412,5800,5346,6000,5808,6500,6390,5000,6762,4500,5604,,,,30264,38592,39173,6432,3270,5412,5346,5808,6390,6762,5604,,5604,,,,,MISSING,MISSING,,6,545,902,891,968,1065,1127,934,6432,OK
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2312,2344,6000,4112,3500,3840,4200,4176,4600,5152,3000,4512,2800,3624,,,,23440,27760,28423,3470,2344,4112,3840,4176,5152,4512,3624,,3624,,,,,MISSING,MISSING,,8,293,514,480,522,644,564,453,3470,OK
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1446,1818,5000,2838,2600,2556,3300,3294,3800,3636,2000,3432,2400,2436,,,,16950,20010,21163,3335,1818,2838,2556,3294,3636,3432,2436,,2436,,,,,MISSING,MISSING,,6,303,473,426,549,606,572,406,3335,OK
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,680,512,1500,940,1500,972,1300,1080,1300,1148,1200,1100,800,800,,,,6540,6552,6401,1638,512,940,972,1080,1148,1100,800,,800,,,,,MISSING,MISSING,,4,128,235,243,270,287,275,200,1638,OK
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,932,720,1800,1200,1800,1260,1900,1452,1700,1424,1600,1444,1000,952,,,,8400,8452,8222,2113,720,1200,1260,1452,1424,1444,952,,952,,,,,MISSING,MISSING,,4,180,300,315,363,356,361,238,2113,OK
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,276,412,550,952,700,744,700,828,550,660,600,568,300,364,,,,3208,4528,5970,1132,412,952,744,828,660,568,364,,364,,,,,MISSING,MISSING,,4,103,238,186,207,165,142,91,1132,OK
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,412,356,1000,1268,1000,904,1400,1112,1200,844,1200,676,800,540,,,,5824,5700,7013,1425,356,1268,904,1112,844,676,540,,540,,,,,MISSING,MISSING,,4,89,317,226,278,211,169,135,1425,OK
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,760,484,1400,928,1200,988,1400,916,1500,1064,1500,1460,1400,952,,,,7312,6792,6654,1698,484,928,988,916,1064,1460,952,,952,,,,,MISSING,MISSING,,4,121,232,247,229,266,365,238,1698,OK
50302723,22681,Asda,AS Loaded Chicken & Bacon Salad,Asda,P+4,Alternative,936,544,2000,1132,1500,1552,1800,1136,1700,1676,2000,1932,1400,1560,,,,9288,9532,9104,2383,544,1132,1552,1136,1676,1932,1560,,1560,,,,,MISSING,MISSING,,4,136,283,388,284,419,483,390,2383,OK
,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,350,396,380,376,380,336,300,204,400,364,360,284,400,284,,,,1860,2244,2682,561,396,376,336,204,364,284,284,,284,,,,,MISSING,MISSING,,4,99,94,84,51,91,71,71,561,OK
,23754,Asda Café,"ASC Chicken, Stuffing & Bacon Stack x4",Asda,P+4,Alternative,350,360,350,316,380,304,250,212,380,352,350,240,400,296,,,,1756,2080,2681,520,360,316,304,212,352,240,296,,296,,,,,MISSING,MISSING,,4,90,79,76,53,88,60,74,520,OK
,23755,Asda Café,"ASC Ham, Cheese & Pickle Stack x4",Asda,P+4,Alternative,320,364,380,368,380,376,280,220,400,360,330,260,400,312,,,,1908,2260,2681,565,364,368,376,220,360,260,312,,312,,,,,MISSING,MISSING,,4,91,92,94,55,90,65,78,565,OK
,23756,Asda Café,ASC Chicken & Bacon Caesar Wrap x4,Asda,P+4,Alternative,200,156,200,192,200,196,160,116,200,192,180,136,200,144,,,,908,1132,1348,283,156,192,196,116,192,136,144,,144,,,,,MISSING,MISSING,,4,39,48,49,29,48,34,36,283,OK
,23759,Asda Café,ASC BLT Stack x4,Asda,P+4,Alternative,320,328,350,320,320,384,250,228,380,316,350,260,350,248,,,,1780,2084,2392,521,328,320,384,228,316,260,248,,248,,,,,MISSING,MISSING,,4,82,80,96,57,79,65,62,521,OK
,24319,Asda Café,ASC Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,300,496,300,740,300,360,300,152,300,256,360,204,300,192,,,,2988,2400,0,600,496,740,360,152,256,204,192,,192,,,,,MISSING,MISSING,,4,124,185,90,38,64,51,48,600,OK
,24320,Asda Café,ASC Meatball Hot Wrap x4,Asda,P+7,Alternative,300,412,300,352,300,388,300,312,300,376,360,432,300,184,,,,1884,2456,0,614,412,352,388,312,376,432,184,,184,,,,,MISSING,MISSING,,4,103,88,97,78,94,108,46,614,OK
,24331,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,780,864,780,844,780,572,780,372,780,512,780,448,780,488,,,,4432,4100,0,1025,864,844,572,372,512,448,488,,488,,,,,MISSING,MISSING,,4,216,211,143,93,128,112,122,1025,OK
,24332,Asda Café,ASC Mozzarella & Pesto Panini x4,Asda,P+7,Alternative,728,768,728,916,728,788,728,476,728,644,728,604,728,396,,,,4152,4592,0,1148,768,916,788,476,644,604,396,,396,,,,,MISSING,MISSING,,4,192,229,197,119,161,151,99,1148,OK
,24333,Asda Café,ASC Chicken & Chorizo Panini x4,Asda,P+7,Alternative,752,836,752,840,752,564,752,380,752,504,752,444,752,432,,,,4344,4000,0,1000,836,840,564,380,504,444,432,,432,,,,,MISSING,MISSING,,4,209,210,141,95,126,111,108,1000,OK
,24334,Asda Café,ASC Cheese & Ham Panini x4,Asda,P+7,Alternative,756,872,756,864,756,860,756,536,756,792,756,684,756,516,,,,4396,5124,0,1281,872,864,860,536,792,684,516,,516,,,,,MISSING,MISSING,,4,218,216,215,134,198,171,129,1281,OK
,24335,Asda Café,ASC Cheese & Tomato Toastie x4,Asda,P+7,Alternative,696,720,696,760,696,560,696,332,696,532,696,416,696,416,,,,4244,3736,0,934,720,760,560,332,532,416,416,,416,,,,,MISSING,MISSING,,4,180,190,140,83,133,104,104,934,OK
,24336,Asda Café,ASC Ham & Cheese Toastie x4,Asda,P+7,Alternative,740,732,740,768,740,616,740,344,740,564,740,428,740,520,,,,4308,3972,0,993,732,768,616,344,564,428,520,,520,,,,,MISSING,MISSING,,4,183,192,154,86,141,107,130,993,OK
,24337,Asda Café,ASC ADB Topped Toastie x4,Asda,P+7,Alternative,596,548,596,520,596,448,596,260,596,504,596,288,596,284,,,,3752,2852,0,713,548,520,448,260,504,288,284,,284,,,,,MISSING,MISSING,,4,137,130,112,65,126,72,71,713,OK
50422417,23359,Asda,AS Cheese Ploughmans Sub Roll x4,Asda,P+3,Alternative,,,,,,,,,,,,,,,,,,1752,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK
delist 07/08,23606,Asda,AS Wrap Platter,Asda,P+3,Alternative,,,,,,,,,,,,,,,,,,0,0,#N/A,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,6,0,0,0,0,0,0,0,0,OK
,M11393,Asda,AS TOASTIES (CHEESE & MUSTARD),Asda,,,,732,,768,,616,,344,,564,,428,,520,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,
,M11394,Asda,AS TOASTIES (BEANS & CHEESE),Asda,,,,548,,520,,448,,260,,504,,288,,284,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,
,M11395,Asda,AS TOASTIES ( CHEESE & TOAMATO),Asda,,,,720,,760,,560,,332,,532,,416,,416,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,
,,,,,,,,11%,,15%,,13%,,16%,,16%,,15%,,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP,,Totals ASDA,,,,20350,20792,36358,28090,28988,23742,31608,28926,32988,30306,26798,28066,23084,21664,0,0,0,165090,184902,158889,37872,19436,29034,26838,26114,30794,29362,23324,0,23324,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Test,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLD EAT,21459,BP,BP Southern Fried  Chicken Wrap x4,BP,P+3,Wrap,128,120,101,104,142,128,101,104,86,100,126,108,90,104,,,,856,768,911,192,120,104,128,104,100,108,104,,0,,,,,,,,4,30,26,32,26,25,27,26,192,OK
COLD EAT,21460,BP,BP Chicken & Stuffing Skillet x4,BP,P+3,Skillet,167,152,129,136,157,168,143,160,103,96,144,144,103,96,,,,988,952,1072,238,152,136,168,160,96,144,96,,0,,,,,,,,4,38,34,42,40,24,36,24,238,OK
COLD EAT,21461,BP,BP Egg Mayo Skillet x4,BP,P+3,Skillet,163,152,130,140,180,188,143,164,112,112,153,136,106,116,,,,988,1008,1099,252,152,140,188,164,112,136,116,,0,,,,,,,,4,38,35,47,41,28,34,29,252,OK
COLD EAT,21462,BP,BP Cheese Ploughmans Skillet x4,BP,P+3,Skillet,164,156,136,128,174,172,140,152,119,104,139,140,108,112,,,,996,964,1094,241,156,128,172,152,104,140,112,,0,,,,,,,,4,39,32,43,38,26,35,28,241,OK
COLD EAT,21463,BP,BP Cheese & Onion Skillet x4,BP,P+3,Skillet,167,160,143,136,177,176,143,164,119,124,146,148,114,124,,,,1044,1032,1152,258,160,136,176,164,124,148,124,,0,,,,,,,,4,40,34,44,41,31,37,31,258,OK
COLD EAT,21465,BP,BP Prawn Mayo Skillet x4,BP,P+3,Skillet,134,124,115,112,130,136,119,128,84,84,123,100,87,96,,,,828,780,911,195,124,112,136,128,84,100,96,,0,,,,,,,,4,31,28,34,32,21,25,24,195,OK
COLD EAT,21466,BP,BP Tuna Sweetcorn Skillet x4,BP,P+3,Skillet,159,156,138,120,175,188,140,136,108,100,148,128,109,112,,,,1008,940,1114,235,156,120,188,136,100,128,112,,0,,,,,,,,4,39,30,47,34,25,32,28,235,OK
COLD EAT,21467,BP,BP Chicken Salad Skillet x4,BP,P+3,Skillet,178,160,141,140,175,200,146,164,116,124,149,156,122,124,,,,1076,1068,1179,267,160,140,200,164,124,156,124,,0,,,,,,,,4,40,35,50,41,31,39,31,267,OK
COLD EAT,21468,BP,BP Chicken & Bacon Skillet x4,BP,P+3,Skillet,184,172,166,160,194,192,165,172,136,112,165,172,133,128,,,,1176,1108,1308,277,172,160,192,172,112,172,128,,0,,,,,,,,4,43,40,48,43,28,43,32,277,OK
COLD EAT,21471,BP,BP BLT Skillet x4,BP,P+3,Skillet,171,160,151,144,185,188,148,168,118,120,162,168,125,128,,,,1080,1076,1179,269,160,144,188,168,120,168,128,,0,,,,,,,,4,40,36,47,42,30,42,32,269,OK
COLD EAT,21732,BP,BP Ham & Cheese Skillet x4,BP,P+3,Skillet,159,168,148,148,190,184,157,172,128,128,170,172,120,124,,,,1092,1096,1178,274,168,148,184,172,128,172,124,,0,,,,,,,,4,42,37,46,43,32,43,31,274,OK
COLD EAT,21733,BP,BP Chicken Caesar Wrap x4,BP,P+3,Wrap,125,124,103,120,148,148,112,104,92,100,119,112,98,104,,,,860,812,911,203,124,120,148,104,100,112,104,,0,,,,,,,,4,31,30,37,26,25,28,26,203,OK
HOT EAT,21746,BP,BP All Day Breakfast Baguette x4,BP,P+6,Alternative,1469,1380,1760,1552,1416,1480,1504,1440,1545,1464,4602,4672,1738,,,,,9352,11988,10980,2997,1380,1552,1480,1440,1464,4672,0,,0,,,,,,,,4,345,388,370,360,366,1168,0,2997,OK
HOT EAT,21758,BP,BP Sausage Bap x4,BP,P+7,Alternative,1672,1464,1923,1648,1579,1732,1741,1720,1662,1664,5113,5080,1919,,,,,10256,13308,12175,3327,1464,1648,1732,1720,1664,5080,0,,0,,,,,,,,4,366,412,433,430,416,1270,0,3327,OK
HOT EAT,21761,BP,BP Bacon Bap x4,BP,P+7,Alternative,1678,1436,1864,1680,1549,1700,1745,1740,1655,1640,5048,5048,1864,,,,,10116,13244,12000,3311,1436,1680,1700,1740,1640,5048,0,,0,,,,,,,,4,359,420,425,435,410,1262,0,3311,OK
HOT EAT,21762,BP,BP Bacon Baguette x4,BP,P+7,Alternative,979,904,1136,1040,901,740,977,912,990,792,3048,1984,1984,,,,,6100,6372,7025,1593,904,1040,740,912,792,1984,0,,0,,,,,,,,4,226,260,185,228,198,496,0,1593,OK
HOT EAT,21767,BP,BP Ham & Cheese Toastie x4,BP,P+7,Alternative,829,672,951,880,768,1000,888,800,859,884,866,920,1023,940,,,,5348,6096,6536,1524,672,880,1000,800,884,920,940,,0,,,,,,,,4,168,220,250,200,221,230,235,1524,OK
COLD EAT,22796,BP,BP Breakfast Triple Skillet x4,BP,P+3,Alternative,195,200,178,164,218,216,181,184,151,148,183,180,144,144,,,,1256,1236,1387,309,200,164,216,184,148,180,144,,0,,,,,MISSING,MISSING,,4,50,41,54,46,37,45,36,309,OK
HOT EAT,22799,BP,BP Ultimate Three Cheese Toastie x4,BP,P+7,Alternative,857,752,957,832,788,888,856,936,833,784,875,920,958,900,,,,5232,6012,6238,1503,752,832,888,936,784,920,900,,0,,,,,MISSING,MISSING,,4,188,208,222,234,196,230,225,1503,OK
HOT EAT,23364,BP,BP Steak & Onion Baguette,BP,P+7,Alternative,568,544,616,540,462,452,537,456,516,476,1569,1056,597,,,,,3328,3524,3801,881,544,540,452,456,476,1056,0,,0,,,,,MISSING,MISSING,,4,136,135,113,114,119,264,0,881,OK
HOT EAT,23840,BP,BP Classic Cheese & Ham Barmarked Toastie x4,BP,P+7,Alternative,590,644,673,540,551,560,624,664,585,568,649,600,696,560,,,,3872,4136,5395,1034,644,540,560,664,568,600,560,,0,,,,,MISSING,MISSING,,4,161,135,140,166,142,150,140,1034,OK
HOT EAT,23841,BP,BP Hunters Chicken & Bacon Baguette,BP,P+7,Alternative,564,552,584,528,496,456,539,480,497,464,1646,1620,599,,,,,3388,4100,3835,1025,552,528,456,480,464,1620,0,,0,,,,,MISSING,MISSING,,4,138,132,114,120,116,405,0,1025,OK
HOT EAT,23842,BP,BP Italian Style Meatball and Mozzarella Wrap x4,BP,P+7,Alternative,331,336,392,320,282,308,362,392,333,324,325,360,399,320,,,,2124,2360,2491,590,336,320,308,392,324,360,320,,0,,,,,MISSING,MISSING,,4,84,80,77,98,81,90,80,590,OK
HOT EAT,23843,BP,BP Chicken & Chorizo Toastie x4,BP,P+7,Alternative,579,528,607,552,529,528,630,536,508,480,579,620,706,560,,,,3520,3804,4165,951,528,552,528,536,480,620,560,,0,,,,,MISSING,MISSING,,4,132,138,132,134,120,155,140,951,OK
SAL/HOT HOLD,23699,BP,"BP Cucumber, mooned and half slices (M4449) 1KG Tubs",BP,,Alternative,2,2,2,3,2,1,2,,2,1,2,2,2,2,,,,13,11,13,2,2,3,1,0,1,2,2,,0,,,,,MISSING,MISSING,,5,0,1,0,0,0,0,0,2,OK
SAL/HOT HOLD,23700,BP,BP Sliced Jalapenos (I5523) 1KG Tubs,BP,,Alternative,2,2,2,3,2,1,2,,2,,2,2,2,1,,,,9,9,12,2,2,3,1,0,0,2,1,,0,,,,,MISSING,MISSING,,4,1,1,0,0,0,1,0,2,OK
SAL/HOT HOLD,23701,BP,BP Cocktail Vine Tomatoes (I7201) 1KG Tubs,BP,,Alternative,2,2,2,3,2,,2,,2,,2,2,2,1,,,,11,8,13,4,2,3,0,0,0,2,1,,0,,,,,MISSING,MISSING,,2,1,2,0,0,0,1,1,4,OK
SAL/HOT HOLD,23695,BP,BP 50/50 Coleslaw Mix (I2552) 5KG,BP,,Alternative,1,2,1,2,1,1,1,,1,,1,2,1,,,,,8,7,9,1,2,2,1,0,0,2,0,,0,,,MISSING,MISSING,MISSING,MISSING,,5,0,0,0,0,0,0,0,1,OK
SAL/HOT HOLD,23698,BP,BP Mixed Green Leaf (Apollo and Endive) (I5084) 1KG,BP,,Alternative,1,2,1,3,1,,1,,1,1,1,2,1,1,,,,12,9,11,2,2,3,0,0,1,2,1,,0,,,MISSING,MISSING,MISSING,MISSING,,4,1,1,0,0,0,1,0,2,OK
SAL/HOT HOLD,23693,BP,BP Sour Cream (I5036) 1KG Tubs,BP,,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,2,0,0,0,0,0,0,0,0,OK
SAL/HOT HOLD,23694,BP,BP Chargrilled Red & Yellow Peppers with Red Onions (I5585) 5KG,BP,,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK
,24185,BP,BP All Day Breakfast Sub Roll x4,BP,P+6,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK
,24186,BP,BP Egg & Mushroom Croissant x4,BP,P+4,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK
,24187,BP,"BP Sausage, Bacon & Cheese Wrap x4",BP,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK
,24188,BP,BP Hunters Chicken Sub Roll x4,BP,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK
,24189,BP,BP Italian Meat Feast Sub Roll x4,BP,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK
,24190,BP,BP Tuna Melt Panini x4,BP,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK
