Week no.,WK12,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,11/12/21,,12/12/21,,13/12/21,,14/12/21,,15/12/21,,16/12/21,,17/12/21,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,,17/12/2021,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
0,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,24-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,,1892,,2632,2510,2404,2601,2624,2876,3140,2683,2724,2472,2212,,,,20664,17628,18657,4407,1892,2632,2404,2624,3140,2724,2212,,2212,,,,,,,,4,473,658,601,656,785,681,553,4407,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,,6240,,6232,6351,6352,6221,6856,6520,8072,6083,5592,5604,5304,,,,47456,44648,46194,5581,6240,6232,6352,6856,8072,5592,5304,,5304,,,,,MISSING,MISSING,,8,780,779,794,857,1009,699,663,5581,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,,4576,,5360,6352,5864,6222,6048,6426,6864,5996,5832,5524,4816,,,,43880,39360,38884,4920,4576,5360,5864,6048,6864,5832,4816,,4816,,,,,MISSING,MISSING,,8,572,670,733,756,858,729,602,4920,OK,,22708
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,,1232,,1256,1276,1308,1246,1356,1483,1640,1384,1392,1275,1088,,,,0,9272,10440,2318,1232,1256,1308,1356,1640,1392,1088,,1088,,,,,MISSING,MISSING,,4,308,314,327,339,410,348,272,2318,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,,4356,,4620,5431,4482,5496,4524,5170,5970,4824,4674,4444,4242,,,,37932,32868,39170,5478,4356,4620,4482,4524,5970,4674,4242,,4242,,,,,MISSING,MISSING,,6,726,770,747,754,995,779,707,5478,OK,,23871
50779457,24806,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,,,,,830,1416,466,472,155,236,901,772,202,204,,,,3396,3100,4364,775,0,0,1416,472,236,772,204,,204,,,,,MISSING,MISSING,,4,0,0,354,118,59,193,51,775,OK,,#N/A
50779460,24809,Asda Café,ASC Cheese & Tomato Toastie x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,3716,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
50779461,24810,Asda Café,ASC Ham & Cheese Toastie x4,Asda,P+7,Alternative,,,,,,1448,600,632,62,292,427,860,221,248,,,,2872,3480,5541,870,0,0,1448,632,292,860,248,,248,,,,,MISSING,MISSING,,4,0,0,362,158,73,215,62,870,OK,,#N/A
50779462,24811,Asda Café,ASC ADB Topped Toastie x4,Asda,P+7,Alternative,,,,,,,,,,,,,0,,,,,1736,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
50773032,24821,Asda Café,ASC Cheeseboard Toastie,Asda,P+7,Alternative,,,,,881,1608,881,656,202,240,1189,1000,288,256,,,,1684,3760,3253,940,0,0,1608,656,240,1000,256,,256,,,,,MISSING,MISSING,,4,0,0,402,164,60,250,64,940,OK,,#N/A
50027363,26311,Asda Café,ASC Turkey Feast Toastie,Asda,P+7,Alternative,,,,,881,1608,881,608,202,232,1212,912,276,240,,,,1684,3600,3253,900,0,0,1608,608,232,912,240,,240,,,,,MISSING,MISSING,,4,0,0,402,152,58,228,60,900,OK,,#N/A
,M11934,Asda,AS TOASTIES (CHEESE & BECHAMEL),Asda,,,,0,,0,,3538,,1386,,518,,2094,,544,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11393,Asda,AS TOASTIES (CHEESE & MUSTARD),Asda,,,,0,,0,,1738,,758,,350,,1032,,298,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11394,Asda,AS TOASTIES (BEANS & CHEESE),Asda,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11395,Asda,AS TOASTIES ( CHEESE & TOAMATO),Asda,,,,0,,0, ,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,,,,,,,,9.00%,,18.00%,,17.00%,,18.00%,,16.00%,,14.00%,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COOP,,Totals ASDA,,,,0,18296,830,26180,22986,22778,22003,22408,23803,29230,21393,21162,19319,17662,0,0,0,165020,157716,169756,26189,18296,20100,26490,23776,26686,21846,18610,0,18610,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.05,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.180,,0.190,,0.140,,0.130,,0.160,,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250,19488,Co-op,Co-op Chicken & Bacon Caesar Wrap,Co-op,P+4,wrap,,,,10433,11055,4209,12923,4829,11850,960,12399,1861,13240,87,,,,0,22379,54846,22379,0,10433,4209,4829,960,1861,87,,11087,,,,,,MISSING,,1,0,10433,4209,4829,960,1861,87,22379,OK,,19488
6250,19488P,Co-op,PULL FW Co-op Chicken & Bacon Caesar Wrap ,Co-op,P+4,wrap,,,,10000,,9000,,9930,,10110,,11000,,,,,,0,50040,0,50040,0,10000,9000,9930,10110,11000,0,,0,,,,,MISSING,MISSING,,1,0,10000,9000,9930,10110,11000,0,50040,OK,,#N/A
6251,19489,Co-op,Co-op Aromatic Duck Wrap,Co-op,P+3,wrap,,,,2734,2281,4303,3706,2902,3399,3357,3556,3971,,,,,,24618,17267,14774,17267,0,2734,4303,2902,3357,3971,0,,0,,,,,,MISSING,,1,0,2734,4303,2902,3357,3971,0,17267,OK,,19489
6252,19490,Co-op,Co-op Southern Fried Chicken Wrap,Co-op,P+3,wrap,,,,9057,8440,6355,10646,4086,9762,797,10214,5609,10907,4801,,,,5820,30705,36756,30705,0,9057,6355,4086,797,5609,4801,,9839,,,,,MISSING,MISSING,,1,0,9057,6355,4086,797,5609,4801,30705,OK,,19490
