Week no.,WK 03,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
50773032,23847,Asda Café,AFS XMAS CHEESEBOARD TOASTIE x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23847
,M11393,Asda,AS TOASTIES (CHEESE & MUSTARD),Asda,,,,564,,560,,632,,560,,664,,676,,740,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,M11394,Asda,AS TOASTIES (BEANS & CHEESE),Asda,,,,448,,524,,512,,456,,552,,556,,680,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,M11395,Asda,AS TOASTIES ( CHEESE & TOAMATO),Asda,,,,440,,580,,512,,492,,484,,548,,652,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,,,,,,,,,,,,,
,,,,,,,,13%,,15%,,14%,,15%,,16%,,14%,,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP,,Totals ASDA,,,,21270,19746,22850,21406,25850,20662,26250,21626,23450,23794,22150,21222,20600,15562,0,0,0,159000,146566,154295,26403,19698,21406,20450,21398,23718,20418,19478,0,19478,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Test,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLD EAT,21459,BP,BP Southern Fried  Chicken Wrap x4,BP,P+3,Wrap,132,124,143,132,68,72,87,120,101,92,111,124,86,120,,,,764,784,767,196,124,132,72,120,92,124,120,,0,,,,,,,,4,31,33,18,30,23,31,30,196,OK,,21459
COLD EAT,21460,BP,BP Chicken & Stuffing Skillet x4,BP,P+3,Skillet,167,156,168,164,101,96,108,132,119,104,149,164,101,160,,,,936,976,946,244,156,164,96,132,104,164,160,,0,,,,,,,,4,39,41,24,33,26,41,40,244,OK,,21460
COLD EAT,21461,BP,BP Egg Mayo Skillet x4,BP,P+3,Skillet,172,168,167,160,99,104,107,152,125,104,148,168,111,164,,,,952,1020,996,255,168,160,104,152,104,168,164,,0,,,,,,,,4,42,40,26,38,26,42,41,255,OK,,21461
COLD EAT,21462,BP,BP Cheese Ploughmans Skillet x4,BP,P+3,Skillet,172,180,176,156,92,92,113,152,134,104,147,168,106,164,,,,984,1016,996,254,180,156,92,152,104,168,164,,0,,,,,,,,4,45,39,23,38,26,42,41,254,OK,,21462
COLD EAT,21463,BP,BP Cheese & Onion Skillet x4,BP,P+3,Skillet,189,180,177,176,107,104,124,152,140,120,155,180,126,176,,,,1048,1088,1046,272,180,176,104,152,120,180,176,,0,,,,,,,,4,45,44,26,38,30,45,44,272,OK,,21463
COLD EAT,21465,BP,BP Prawn Mayo Skillet x4,BP,P+3,Skillet,133,132,138,136,77,68,90,128,95,84,114,120,100,116,,,,800,784,782,196,132,136,68,128,84,120,116,,0,,,,,,,,4,33,34,17,32,21,30,29,196,OK,,21465
COLD EAT,21466,BP,BP Tuna Sweetcorn Skillet x4,BP,P+3,Skillet,172,172,172,152,105,100,112,148,126,104,146,164,112,160,,,,964,1000,1006,250,172,152,100,148,104,164,160,,0,,,,,,,,4,43,38,25,37,26,41,40,250,OK,,21466
COLD EAT,21467,BP,BP Chicken Salad Skillet x4,BP,P+3,Skillet,185,172,183,168,100,120,112,124,137,132,157,172,123,168,,,,1012,1056,1045,264,172,168,120,124,132,172,168,,0,,,,,,,,4,43,42,30,31,33,43,42,264,OK,,21467
COLD EAT,21468,BP,BP Chicken & Bacon Skillet x4,BP,P+3,Skillet,208,208,214,188,118,116,129,164,150,148,175,184,140,180,,,,1132,1188,1174,297,208,188,116,164,148,184,180,,0,,,,,,,,4,52,47,29,41,37,46,45,297,OK,,21468
COLD EAT,21471,BP,BP BLT Skillet x4,BP,P+3,Skillet,185,176,181,164,108,104,133,168,137,120,157,156,122,152,,,,1088,1040,1061,260,176,164,104,168,120,156,152,,0,,,,,,,,4,44,41,26,42,30,39,38,260,OK,,21471
COLD EAT,21732,BP,BP Ham & Cheese Skillet x4,BP,P+3,Skillet,198,184,201,176,109,116,133,176,143,136,171,180,132,176,,,,1140,1144,1131,286,184,176,116,176,136,180,176,,0,,,,,,,,4,46,44,29,44,34,45,44,286,OK,,21732
COLD EAT,21733,BP,BP Chicken Caesar Wrap x4,BP,P+3,Wrap,139,128,149,132,88,80,97,132,111,104,112,144,106,140,,,,860,860,852,215,128,132,80,132,104,144,140,,0,,,,,,,,4,32,33,20,33,26,36,35,215,OK,,21733
HOT EAT,21767,BP,BP Ham & Cheese Toastie x4,BP,P+7,Alternative,983,1008,1098,1052,754,924,768,980,1034,816,1003,920,1072,1032,,,,6628,6732,6500,1683,1008,1052,924,980,816,920,1032,,0,,,,,,,,4,252,263,231,245,204,230,258,1683,OK,,21767
COLD EAT,22796,BP,BP Breakfast Triple Skillet x4,BP,P+3,Alternative,237,240,252,216,135,140,177,208,179,156,197,212,161,208,,,,1408,1380,1355,345,240,216,140,208,156,212,208,,0,,,,,MISSING,MISSING,,4,60,54,35,52,39,53,52,345,OK,,22796
HOT EAT,22799,BP,BP Ultimate Three Cheese Toastie x4,BP,P+7,Alternative,901,884,988,948,700,820,653,848,853,728,911,820,925,924,,,,5844,5972,5530,1493,884,948,820,848,728,820,924,,0,,,,,MISSING,MISSING,,4,221,237,205,212,182,205,231,1493,OK,,22799
HOT EAT,23840,BP,BP Classic Cheese & Ham Barmarked Toastie x4,BP,P+7,Alternative,675,676,791,780,494,696,525,688,672,584,723,684,703,740,,,,4660,4848,4650,1212,676,780,696,688,584,684,740,,0,,,,,MISSING,MISSING,,4,169,195,174,172,146,171,185,1212,OK,,23840
HOT EAT,23842,BP,BP Italian Style Meatball and Mozzarella Wrap x4,BP,P+7,Alternative,402,436,432,392,302,408,310,376,394,324,338,428,376,456,,,,2848,2820,2139,705,436,392,408,376,324,428,456,,0,,,,,MISSING,MISSING,,4,109,98,102,94,81,107,114,705,OK,,23842
HOT EAT,23843,BP,BP Chicken & Chorizo Toastie x4,BP,P+7,Alternative,598,756,741,632,493,568,456,556,620,520,613,564,661,616,,,,4144,4212,3788,1053,756,632,568,556,520,564,616,,0,,,,,MISSING,MISSING,,4,189,158,142,139,130,141,154,1053,OK,,23843
HOT EAT,24187,BP,"BP Sausage, Bacon & Cheese Wrap x4",BP,P+7,Alternative,849,1016,973,904,659,788,586,896,804,832,789,860,867,932,,,,5520,6228,4925,1557,1016,904,788,896,832,860,932,,0,,,,,MISSING,MISSING,,4,254,226,197,224,208,215,233,1557,OK,,#N/A
HOT EAT,24190,BP,BP Tuna Melt Panini x4,BP,P+7,Alternative,460,624,557,492,410,516,341,512,528,452,459,496,566,540,,,,3712,3632,2915,908,624,492,516,512,452,496,540,,0,,,,,MISSING,MISSING,,4,156,123,129,128,113,124,135,908,OK,,#N/A
HOT EAT,24192,BP,BP Bacon Bap x4,BP,P+7,Alternative,2003,2180,2403,1960,1755,1896,1635,1888,2042,1652,2099,2060,2225,2292,,,,13728,13928,13500,3482,2180,1960,1896,1888,1652,2060,2292,,0,,,,,MISSING,MISSING,,4,545,490,474,472,413,515,573,3482,OK,,24192
HOT EAT,24193,BP,BP Sausage Bap x4,BP,P+7,Alternative,2006,2172,2343,1900,1688,1768,1571,1816,1988,1612,2071,1980,2220,2232,,,,13652,13480,13500,3370,2172,1900,1768,1816,1612,1980,2232,,0,,,,,MISSING,MISSING,,4,543,475,442,454,403,495,558,3370,OK,,#N/A
HOT EAT,24734,BP,BP Signature Hot Dog,BP,P+6,Alternative,1000,596,900,632,700,544,800,464,700,444,800,464,1000,520,,,,5792,3664,3883,916,596,632,544,464,444,464,520,,0,,,,,MISSING,MISSING,,4,149,158,136,116,111,116,130,916,OK,,#N/A
HOT EAT,24778,BP,BP Mozzarella & Tomato Panini,BP,P+7,Alternative,1000,456,900,564,700,524,800,524,700,428,800,444,900,488,,,,4532,3428,4779,857,456,564,524,524,428,444,488,,0,,,,,MISSING,MISSING,,4,114,141,131,131,107,111,122,857,OK,,#N/A
HOT EAT,24779,BP,BP Pepperoni & Mozzarella Panini,BP,P+7,Alternative,1000,588,900,624,700,540,800,556,700,532,800,528,900,580,,,,4904,3948,3833,987,588,624,540,556,532,528,580,,0,,,,,MISSING,MISSING,,4,147,156,135,139,133,132,145,987,OK,,#N/A
HOT EAT,24780,BP,BP All Day Breakfast Bap,BP,P+6,Alternative,1800,1796,1600,1712,1500,1416,1600,1520,1500,1504,1600,1492,1800,1684,,,,10016,11124,9458,2781,1796,1712,1416,1520,1504,1492,1684,,0,,,,,MISSING,MISSING,,4,449,428,354,380,376,373,421,2781,OK,,#N/A
26-Oct,24837,BP,BP Turkey Toastie,BP,P+7,Alternative,,,,,,,,,,,,,,,,,,#N/A,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
SAL/HOT HOLD,23699,BP,"BP Cucumber, mooned and half slices (M4449) 1KG Tubs",BP,,Alternative,2,2,2,3,2,1,2,2,2,,2,2,2,2,,,,13,12,13,2,2,3,1,2,0,2,2,,0,,,,,MISSING,MISSING,,5,0,1,0,0,0,0,0,2,OK,,#N/A
SAL/HOT HOLD,23700,BP,BP Sliced Jalapenos (I5523) 1KG Tubs,BP,,Alternative,2,2,2,2,2,1,2,2,2,,2,2,2,2,,,,11,11,11,3,2,2,1,2,0,2,2,,0,,,,,MISSING,MISSING,,4,1,1,0,1,0,1,1,3,OK,,#N/A
SAL/HOT HOLD,23701,BP,BP Cocktail Vine Tomatoes (I7201) 1KG Tubs,BP,,Alternative,2,2,2,3,2,1,2,2,2,,2,2,2,2,,,,11,12,11,6,2,3,1,2,0,2,2,,0,,,,,MISSING,MISSING,,2,1,2,1,1,0,1,1,6,OK,,#N/A
SAL/HOT HOLD,23695,BP,BP 50/50 Coleslaw Mix (I2552) 5KG,BP,,Alternative,2,1,2,2,2,,2,1,2,1,2,1,2,1,,,,8,7,8,1,1,2,0,1,1,1,1,,0,,,MISSING,MISSING,MISSING,MISSING,,5,0,0,0,0,0,0,0,1,OK,,#N/A
SAL/HOT HOLD,23698,BP,BP Mixed Green Leaf (Apollo and Endive) (I5084) 1KG,BP,,Alternative,2,1,2,3,2,,2,1,2,1,2,1,2,1,,,,11,8,11,2,1,3,0,1,1,1,1,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,1,0,0,0,0,0,2,OK,,#N/A
,BPT,,BP TOASTIES TO BAKE,,,12x4,stock,2648,stock,2632,stock,1744,stock,1828,stock,1544,stock,1740,stock,1956,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M9240,,BP TOASTIES TO BAKE (CHEESE TOPPED),,,,0,1052,0,1052,0,924,0,980,0,816,0,920,0,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M10196,,BP TOASTIES TO BAKE (THREE CHEESES TOPPED),,,,0,948,0,948,0,820,0,848,0,728,0,820,0,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M11412,,BP TOASTIES TO BAKE (CHIPOTLE TOPPED),,,,0,632,0,632,0,568,0,556,0,520,0,564,0,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,hot eats total,,,,,0,,12268,,8750,,7900,,9040,,9300,,13550,,,,,,,,,1052,924,980,816,920,1032,,,,,,,,,,,,,,,,,,,,,
,COOP,,Totals BP,,,,15970,15414,16951,14720,12167,12723,12374,13586,14234,11936,14950,13882,15746,15126,0,0,0,#N/A,97402,92611,24353,15416,14725,12723,13588,11938,13884,15128,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.000,,0.180,,0.190,,0.140,,0.130,,0.160,,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19488,Co-op,Co-op Chicken & Bacon Caesar Wrap,Co-op,P+3,wrap,,,7500,7374,8500,7752,8000,6351,7000,6385,7000,6311,8500,8462,,,,44958,42635,44090,42635,0,7374,7752,6351,6385,6311,8462,,8462,,,,,,MISSING,,1,0,7374,7752,6351,6385,6311,8462,42635,OK,,19488
,19489,Co-op,Co-op Aromatic Duck Wrap,Co-op,P+3,wrap,,,4000,4007,4200,3964,3000,2513,3300,3348,3600,3563,3800,3244,,,,21682,20639,20797,20639,0,4007,3964,2513,3348,3563,3244,,3244,,,,,,MISSING,,1,0,4007,3964,2513,3348,3563,3244,20639,OK,,19489
,19490,Co-op,Co-op Southern Fried Chicken Wrap,Co-op,P+3,wrap,,,6800,6571,7500,6948,5600,4506,6000,5661,6500,6295,7000,5819,,,,38486,35800,37819,35800,0,6571,6948,4506,5661,6295,5819,,5819,,,,,MISSING,MISSING,,1,0,6571,6948,4506,5661,6295,5819,35800,OK,,19490
,19491,Co-op,Co-op Falafel Wrap,Co-op,P+4,wrap,,,3500,3359,3200,3113,2200,1908,2600,2754,2900,2897,3000,2556,,,,17205,16587,16594,16587,0,3359,3113,1908,2754,2897,2556,,2556,,,,,MISSING,MISSING,,1,0,3359,3113,1908,2754,2897,2556,16587,OK,,19491
,19495,Co-op,Co-op GL Mexican Chipotle Bean Wrap,Co-op,P+3,wrap,,,333,3404,2700,2844,1800,1651,2500,2680,2400,2574,2400,1903,,,,15378,15056,13548,15056,0,3404,2844,1651,2680,2574,1903,,1903,,,,,,MISSING,,1,0,3404,2844,1651,2680,2574,1903,15056,OK,,19495
,20130,Co-op,Co-op Ham & Mustard Skillet,Co-op,P+4,Skillet,,,3800,4143,4100,4015,4000,3485,3500,3327,3200,3225,3800,3802,,,,22839,21997,21526,21997,0,4143,4015,3485,3327,3225,3802,,3802,,,,,MISSING,MISSING,,1,0,4143,4015,3485,3327,3225,3802,21997,OK,,20130
,22341,Co-op,CO-OP HAM & CHEESE PANINI,Co-op,P+3,Alternative,,,1400,1517,1400,1249,1000,685,1100,1077,1200,1188,1200,926,,,,6445,6642,6506,6642,0,1517,1249,685,1077,1188,926,,926,,,,,,,,1,0,1517,1249,685,1077,1188,926,6642,OK,,#N/A
,22844,Co-op,CO-OP All Day Breakfast Hot Wrap,Co-op,P+2,Alternative,,,2200,2277,2000,1738,1100,1064,1800,1686,1800,1784,1900,1473,,,,9958,10022,9469,10022,0,2277,1738,1064,1686,1784,1473,,1473,,,,,MISSING,MISSING,,1,0,2277,1738,1064,1686,1784,1473,10022,OK,,22844
,22845,Co-op,CO-OP Chicken Fajita Hot Wap,Co-op,P+2,Alternative,,,1300,1319,1000,869,600,488,1100,997,950,934,900,665,,,,5175,5272,5214,5272,0,1319,869,488,997,934,665,,665,,,,,MISSING,MISSING,,1,0,1319,869,488,997,934,665,5272,OK,,22845
,22846,Co-op,CO-OP Ham & Cheese Toastie,Co-op,P+2,Alternative,,,1300,1170,1000,859,800,523,1050,968,1050,908,1100,811,,,,5116,5239,5165,5239,0,1170,859,523,968,908,811,,811,,,,,MISSING,MISSING,,1,0,1170,859,523,968,908,811,5239,OK,,22846
,24395,Co-op,COOP GU Ham & Cheese Toastie,Co-op,P+4,Alternative,,,15,4,15,,15,2,15,5,15,6,15,5,,,,100,22,102,22,0,4,0,2,5,6,5,,5,,,,,MISSING,MISSING,,1,0,4,0,2,5,6,5,22,OK,,#N/A
,24396,Co-op,COOP GU Cheese Toastie,Co-op,P+4,Alternative,,,15,2,15,,15,1,15,2,15,1,15,5,,,,52,11,54,11,0,2,0,1,2,1,5,,5,,,,,MISSING,MISSING,,1,0,2,0,1,2,1,5,11,OK,,#N/A
,24397,Co-op,COOP GU Tuna Melt Panini,Co-op,P+4,Alternative,,,15,2,15,2,15,1,15,2,15,1,15,5,,,,100,13,21,13,0,2,2,1,2,1,5,,5,,,,,MISSING,MISSING,,1,0,2,2,1,2,1,5,13,OK,,#N/A
,24398,Co-op,COOP GU Chicken & Red Pepper Panini,Co-op,P+4,Alternative,,,15,4,15,3,15,2,15,6,15,5,15,4,,,,100,24,28,24,0,4,3,2,6,5,4,,4,,,,,MISSING,MISSING,,1,0,4,3,2,6,5,4,24,OK,,#N/A
,24399,Co-op,COOP GU All Day Breakfast Panini,Co-op,P+4,Alternative,,,15,2,15,,15,3,15,2,15,1,15,4,,,,4,12,8,12,0,2,0,3,2,1,4,,4,,,,,MISSING,MISSING,,1,0,2,0,3,2,1,4,12,OK,,#N/A
,24735,Co-op,CO-OP Four Cheese Toastie,Co-op,P+2,Alternative,,,1600,1550,1200,1205,1000,663,1200,1233,1200,1197,1300,1101,,,,6592,6949,4122,6949,0,1550,1205,663,1233,1197,1101,,1101,,,,,MISSING,MISSING,,1,0,1550,1205,663,1233,1197,1101,6949,OK,,#N/A
1233475,24815,Co-op,Co-op DF Fajita Beef Chilli Salad,Co-op,P+6,Alternative,,,,,,,60,60,40,40,40,44,22,22,,,,0,166,113,166,0,0,0,60,40,44,22,,22,,,,,MISSING,MISSING,,1,0,0,0,60,40,44,22,166,OK,,#N/A
6682405,24816,Co-op,Co-op DF Korean BBQ Beef Salad,Co-op,P+6,Alternative,,,,,,,60,60,40,40,40,44,22,22,,,,0,166,113,166,0,0,0,60,40,44,22,,22,,,,,MISSING,MISSING,,1,0,0,0,60,40,44,22,166,OK,,#N/A
4449460,24817,Co-op,Co-op DF Chana Masala Chicken Salad,Co-op,P+6,Alternative,,,,,,,60,60,40,40,40,44,22,22,,,,0,166,113,166,0,0,0,60,40,44,22,,22,,,,,MISSING,MISSING,,1,0,0,0,60,40,44,22,166,OK,,#N/A
1270974,24818,Co-op,Co-op DF Salmon Teriyaki Salad,Co-op,P+6,Alternative,,,,,,,60,60,40,40,40,44,22,22,,,,0,166,113,166,0,0,0,60,40,44,22,,22,,,,,MISSING,MISSING,,1,0,0,0,60,40,44,22,166,OK,,#N/A
1270966,24819,Co-op,Co-op DF Vegan Burrito Bowl Salad,Co-op,P+6,Alternative,,,,,,,60,60,40,40,40,44,22,22,,,,0,166,113,166,0,0,0,60,40,44,22,,0,,,,,MISSING,MISSING,,1,0,0,0,60,40,44,22,166,OK,,#N/A
1270990,24820,Co-op,Co-op DF Halloumi & Grains Salad,Co-op,P+6,Alternative,,,,,,,60,60,40,40,40,44,22,22,,,,0,166,113,166,0,0,0,60,40,44,22,,22,,,,,MISSING,MISSING,,1,0,0,0,60,40,44,22,166,OK,,#N/A
,17104,Co-op,Co-op Southern Fried Chicken Wrap x4,Co-op,P+3,wrap,,,280,188,300,256,200,192,300,168,220,228,220,212,,,,1336,1244,1290,311,0,188,256,192,168,228,212,,212,,,,,MISSING,MISSING,,4,0,47,64,48,42,57,53,311,OK,,17104
,17105,Co-op,Co-op Chicken & Bacon Caesar Wrap x4,Co-op,P+3,wrap,,,410,364,450,308,420,332,380,252,330,280,400,368,,,,1932,1904,1920,476,0,364,308,332,252,280,368,,368,,,,,MISSING,MISSING,,4,0,91,77,83,63,70,92,476,OK,,17105
,19743,Co-op,Co-op Falafel Wrap x 4,Co-op,P+3,wrap,,,200,152,150,88,150,132,130,76,120,148,120,124,,,,796,720,730,180,0,152,88,132,76,148,124,,124,,,,,MISSING,MISSING,,4,0,38,22,33,19,37,31,180,OK,,19743
,19746,Co-op,Co-op GL Mexican Chipotle Bean Wrap x 4,Co-op,P+3,wrap,,,250,212,150,136,150,132,200,132,140,156,120,132,,,,980,900,929,225,0,212,136,132,132,156,132,,132,,,,,MISSING,MISSING,,4,0,53,34,33,33,39,33,225,OK,,19746
,19783,Co-op,Co-op Aromatic Duck Wrap x4,Co-op,P+3,wrap,,,300,224,250,148,200,168,280,156,180,172,200,164,100,100,100,1176,1032,1051,258,0,224,148,168,156,172,164,,164,,,,,MISSING,MISSING,,4,0,56,37,42,39,43,41,258,OK,,19783
,20161,Co-op,Co-op Ham & Mustard Skillet x4,Co-op,P+4,Skillet,,,150,100,150,160,150,136,180,144,150,128,150,144,,,,896,812,812,203,0,100,160,136,144,128,144,,144,,,,,MISSING,MISSING,,4,0,25,40,34,36,32,36,203,OK,,20161
