Week no.,WK 03,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,12/10/19,,13/10/19,,14/10/19,,15/10/19,,16/10/19,,17/10/19,,18/10/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,12/10/19,13/10/19,14/10/19,15/10/19,16/10/19,17/10/19,18/10/19,,18/10/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,12/10/19,13/10/19,14/10/19,15/10/19,16/10/19,17/10/19,18/10/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,2100,2036,2500,2372,2800,2456,2600,2568,2500,2172,2500,1944,1800,2044,,,,17384,15592,16750,3898,2036,2372,2456,2568,2172,1944,2044,,2044,,,,,,,,4,509,593,614,642,543,486,511,3898,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,5500,5376,5500,5888,5600,5040,6200,5232,5600,7168,5000,5216,4000,4264,,,,36136,38184,36860,4773,5376,5888,5040,5232,7168,5216,4264,,4264,,,,,MISSING,MISSING,,8,672,736,630,654,896,652,533,4773,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,4500,4112,5000,4568,5500,4952,5500,4680,5000,4976,4500,4056,4000,3544,,,,33960,30888,32000,3861,4112,4568,4952,4680,4976,4056,3544,,3544,,,,,MISSING,MISSING,,8,514,571,619,585,622,507,443,3861,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,400,776,700,520,1200,512,900,544,800,676,650,624,600,560,,,,5720,4212,5500,1053,776,520,512,544,676,624,560,,560,,,,,MISSING,MISSING,,4,194,130,128,136,169,156,140,1053,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,600,952,900,844,1100,700,1000,776,800,852,900,856,900,736,,,,6836,5716,6500,1429,952,844,700,776,852,856,736,,736,,,,,MISSING,MISSING,,4,238,211,175,194,213,214,184,1429,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,400,560,700,456,900,388,700,472,600,492,650,540,600,460,,,,4324,3368,4100,842,560,456,388,472,492,540,460,,460,,,,,MISSING,MISSING,,4,140,114,97,118,123,135,115,842,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,1000,664,1200,852,1500,880,1200,816,1000,964,1000,892,900,872,,,,8240,5940,8000,1485,664,852,880,816,964,892,872,,872,,,,,MISSING,MISSING,,4,166,213,220,204,241,223,218,1485,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,3000,2274,3200,2910,4000,2526,3800,3102,3000,2982,3000,2778,2000,2682,,,,24336,19254,23000,3209,2274,2910,2526,3102,2982,2778,2682,,2682,,,,,MISSING,MISSING,,6,379,485,421,517,497,463,447,3209,OK,,23871
,24806,Asda Café,ASC NEW Tuna Melt Panini x4,Asda,P+7,Alternative,600,304,500,412,450,412,450,332,500,456,550,468,550,488,,,,2864,2872,2701,718,304,412,412,332,456,468,488,,488,,,,,MISSING,MISSING,,4,76,103,103,83,114,117,122,718,OK,,#N/A
,24807,Asda Café,ASC NEW Chicken & Chorizo Panini x4,Asda,P+7,Alternative,600,300,450,344,400,404,400,364,450,376,450,396,400,460,,,,2456,2644,2392,661,300,344,404,364,376,396,460,,460,,,,,MISSING,MISSING,,4,75,86,101,91,94,99,115,661,OK,,#N/A
,24808,Asda Café,ASC NEW Cheese & Ham Panini x4,Asda,P+7,Alternative,900,512,650,576,500,364,600,636,700,548,700,452,600,748,,,,3480,3836,3661,959,512,576,364,636,548,452,748,,748,,,,,MISSING,MISSING,,4,128,144,91,159,137,113,187,959,OK,,#N/A
,24809,Asda Café,ASC NEW Cheese & Tomato Toastie x4,Asda,P+7,Alternative,900,440,560,580,400,512,400,492,700,484,550,548,600,652,,,,3168,3708,3138,927,440,580,512,492,484,548,652,,652,,,,,MISSING,MISSING,,4,110,145,128,123,121,137,163,927,OK,,#N/A
,24810,Asda Café,ASC NEW Ham & Cheese Toastie x4,Asda,P+7,Alternative,1000,564,650,560,500,632,500,560,700,664,700,676,700,740,,,,3568,4396,3807,1099,564,560,632,560,664,676,740,,740,,,,,MISSING,MISSING,,4,141,140,158,140,166,169,185,1099,OK,,#N/A
,24811,Asda Café,ASC NEW ADB Topped Toastie x4,Asda,P+7,Alternative,900,448,560,524,400,512,400,456,700,552,700,556,600,680,,,,3248,3728,3087,932,448,524,512,456,552,556,680,,680,,,,,MISSING,MISSING,,4,112,131,128,114,138,139,170,932,OK,,#N/A
,24812,Asda Café,ASC NEW Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,500,204,200,0,250,92,250,216,300,204,250,208,300,268,,,,1680,1192,1492,298,204,0,92,216,204,208,268,,268,,,,,MISSING,MISSING,,4,51,0,23,54,51,52,67,298,OK,,#N/A
,24813,Asda Café,ASC NEW Meatball Hot Wrap x4,Asda,P+7,Alternative,400,176,200,0,250,68,250,152,300,152,250,208,200,280,,,,1600,1036,1307,259,176,0,68,152,152,208,280,,280,,,,,MISSING,MISSING,,4,44,0,17,38,38,52,70,259,OK,,#N/A
50773033,24821,Asda Café,ASC XMAS BRIE & CRANBERRY PANINI x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
