Week no.,WK 49,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,31/08/19,,01/09/19,,02/09/19,,03/09/19,,04/09/19,,05/09/19,,06/09/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,31/08/19,01/09/19,02/09/19,03/09/19,04/09/19,05/09/19,06/09/19,,06/09/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,31/08/19,01/09/19,02/09/19,03/09/19,04/09/19,05/09/19,06/09/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,chicken change,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delist 04/07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,2000,1004,2500,2196,2000,2704,2500,2376,2500,2340,1800,3792,1600,1356,,,,13240,15768,13829,3942,1004,2196,2704,2376,2340,3792,1356,,0,,,,,,,,4,251,549,676,594,585,948,339,3942,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,3000,3272,5500,4960,5000,4944,5500,5592,5500,4616,5500,5560,4000,2680,,,,30984,31624,31774,3953,3272,4960,4944,5592,4616,5560,2680,,0,,,,,MISSING,MISSING,,8,409,620,618,699,577,695,335,3953,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,3000,2464,5500,4312,5000,5352,5500,4912,5500,5088,3500,5624,3500,2904,,,,28416,30656,29018,3832,2464,4312,5352,4912,5088,5624,2904,,0,,,,,MISSING,MISSING,,8,308,539,669,614,636,703,363,3832,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,600,408,900,696,800,732,1000,776,1000,568,700,688,600,364,,,,4648,4232,5027,1058,408,696,732,776,568,688,364,,0,,,,,MISSING,MISSING,,4,102,174,183,194,142,172,91,1058,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,600,596,1000,872,1000,900,1200,1092,1200,736,900,880,800,440,,,,5584,5516,6553,1379,596,872,900,1092,736,880,440,,0,,,,,MISSING,MISSING,,4,149,218,225,273,184,220,110,1379,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,400,372,700,584,600,456,600,544,800,428,500,472,500,288,,,,3604,3144,2997,786,372,584,456,544,428,472,288,,0,,,,,MISSING,MISSING,,4,93,146,114,136,107,118,72,786,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,600,668,1000,996,900,1128,1000,1236,1200,1072,1100,1380,850,572,,,,7388,7052,5562,1763,668,996,1128,1236,1072,1380,572,,0,,,,,MISSING,MISSING,,4,167,249,282,309,268,345,143,1763,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,2500,1986,3500,2538,2600,2856,3000,3318,3500,2772,2500,4578,2400,1770,,,,19764,19818,19842,3303,1986,2538,2856,3318,2772,4578,1770,,0,,,,,MISSING,MISSING,,6,331,423,476,553,462,763,295,3303,OK,,23871
,24319,Asda Café,ASC Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,200,164,200,172,,,,,,,,,,,,,,1024,336,218,84,164,172,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,41,43,0,0,0,0,0,84,OK,,#N/A
,24320,Asda Café,ASC Meatball Hot Wrap x4,Asda,P+7,Alternative,200,140,200,120,,,,,,,,,,,,,,716,260,198,65,140,120,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,35,30,0,0,0,0,0,65,OK,,#N/A
,24331,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,550,376,550,436,,,,,,,,,,,,,,2428,812,599,203,376,436,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,94,109,0,0,0,0,0,203,OK,,24331
,24333,Asda Café,ASC Chicken & Chorizo Panini x4,Asda,P+7,Alternative,500,400,530,416,,,,,,,,,,,,,,2340,816,569,204,400,416,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,100,104,0,0,0,0,0,204,OK,,#N/A
,24334,Asda Café,ASC Cheese & Ham Panini x4,Asda,P+7,Alternative,600,488,620,540,,,,,,,,,,,,,,2916,1028,688,257,488,540,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,122,135,0,0,0,0,0,257,OK,,#N/A
,24335,Asda Café,ASC Cheese & Tomato Toastie x4,Asda,P+7,Alternative,450,428,450,472,,,,,,,,,,,,,,2552,900,554,225,428,472,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,107,118,0,0,0,0,0,225,OK,,#N/A
