Week no.,WK 27,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,30/03/19,,31/03/19,,01/04/19,,02/04/19,,03/04/19,,04/04/19,,05/04/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,30/03/19,31/03/19,01/04/19,02/04/19,03/04/19,04/04/19,05/04/19,,05/04/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,30/03/19,31/03/19,01/04/19,02/04/19,03/04/19,04/04/19,05/04/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+2,Alternative,350,384,550,584,700,576,700,552,550,552,600,456,300,304,,,,3600,3408,3069,852,384,584,576,552,552,456,304,,304,,,,,MISSING,MISSING,,4,96,146,144,138,138,114,76,852,OK
50422417,23359,Asda,AS Cheese Ploughmans Sub Roll x4,Asda,P+3,Alternative,250,228,500,464,450,500,500,356,420,488,500,348,300,312,,,,2724,2696,2235,674,228,464,500,356,488,348,312,,312,,,,,MISSING,MISSING,,4,57,116,125,89,122,87,78,674,OK
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,460,596,1000,1060,1000,1112,1400,852,1200,1108,1200,960,800,808,,,,6708,6496,6761,1083,596,1060,1112,852,1108,960,808,,808,,,,,MISSING,MISSING,,6,99,177,185,142,185,160,135,1083,OK
50302720,22678,Asda,AS Loaded Tomato &Basil Chicken Salad,Asda,P+4,Alternative,900,740,1600,1056,1200,920,1600,1028,1500,1192,1500,1536,1400,1064,,,,8692,7536,7943,1884,740,1056,920,1028,1192,1536,1064,,1064,,,,,MISSING,MISSING,,4,185,264,230,257,298,384,266,1884,OK
50302723,22681,Asda,AS Loaded Chicken & Bacon Salad,Asda,P+4,Alternative,900,844,2600,1464,1500,1024,2400,1252,1700,1420,2000,1864,1400,1220,,,,10308,9088,10550,2272,844,1464,1024,1252,1420,1864,1220,,1220,,,,,MISSING,MISSING,,4,211,366,256,313,355,466,305,2272,OK
,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,350,280,380,204,380,264,300,172,400,408,360,296,400,388,,,,2468,2012,2485,503,280,204,264,172,408,296,388,,388,,,,,MISSING,MISSING,,4,70,51,66,43,102,74,97,503,OK
,23754,Asda Café,"ASC Chicken, Stuffing & Bacon Stack x4",Asda,P+4,Alternative,350,248,350,180,380,240,250,184,380,384,350,312,400,356,,,,2276,1904,2485,476,248,180,240,184,384,312,356,,356,,,,,MISSING,MISSING,,4,62,45,60,46,96,78,89,476,OK
,23755,Asda Café,"ASC Ham, Cheese & Pickle Stack x4",Asda,P+4,Alternative,320,252,380,216,380,256,280,160,400,428,330,284,400,384,,,,2472,1980,2484,495,252,216,256,160,428,284,384,,384,,,,,MISSING,MISSING,,4,63,54,64,40,107,71,96,495,OK
,23756,Asda Café,ASC Chicken & Bacon Caesar Wrap x4,Asda,P+4,Alternative,200,148,200,84,200,156,160,88,200,204,180,180,200,176,,,,1236,1036,1289,259,148,84,156,88,204,180,176,,176,,,,,MISSING,MISSING,,4,37,21,39,22,51,45,44,259,OK
,23757,Asda Café,ASC Ham & Cheese Toastie x2,Asda,P+7,Alternative,500,358,550,282,480,314,360,228,510,538,520,470,550,594,,,,3448,2784,3329,1392,358,282,314,228,538,470,594,,594,,,,,MISSING,MISSING,,2,179,141,157,114,269,235,297,1392,OK
