2018,11,2.28,0.29,2.23,1.9,0.29,7.96,6.86,2.04,13.3,10.49,1.89,4.33,0.62,0.13,0.17,0.19,0.08,0.08,2.34,8.39,1.59,1.24,2.42,2.1,1.12,1.16,13.08,7.42,4.1,4.82,x
2018,12,6.65,4.22,2.49,5.26,7.6,10.26,4.1,5.62,0.88,0.1,0.65,0.42,0.08,2.23,14.84,5.66,1,13.71,5.14,8.23,4.27,6.28,4.19,0.26,0.23,0.06,0.06,0.42,0.84,0.21,0.06
2019,1,0.1,0.15,0,0,0,0.2,0.49,0.21,0.15,0.32,0.29,0.35,0.47,0.2,1.32,4.56,0.46,4.24,1.04,0.28,6.43,2.46,0.76,1.47,0.35,7.75,1.21,1.04,6.39,0.4,4
2019,2,3.08,0.41,6.55,0.69,6.36,6.63,4.64,7.43,7.3,1.79,0.03,0.19,0.06,0.13,0.11,0.07,0.45,1.3,1.2,0.75,0.11,0.07,0.18,0.08,0.03,0.03,0.63,3.88,x,x,x
2019,3,1.76,3.89,9.23,2.17,14.35,4.18,2.95,3.49,9.01,2.66,5.51,9.51,4.99,3.35,6.99,7.2,1.09,1,0.29,0.17,0.02,0.41,0.09,0.11,0,0.01,0.02,0.05,0.02,0.14,0
2019,4,3.86,5.08,6.68,5.75,1.3,0.09,0.76,1.43,1.25,0.01,0,0.02,0.44,0.12,2.06,0.25,0,0,0,0.01,0,0.02,0.56,3.82,3.87,4.4,2.94,0.81,0.07,0.29,x
2019,5,0.59,2.55,1.98,0.91,0.14,0.61,8.55,8.27,3.13,1.81,0.59,0,0,0,0,0.47,1.22,0.79,0.5,0.21,0.16,0,0,0.04,2.24,0.86,4.39,1.74,2.94,1.06,0.25
2019,6,0.57,0.91,1.17,7.71,0.64,3.06,17.39,2.02,3.67,21.73,9.99,15.66,6.51,1.48,2.15,2.59,0.26,4.22,1.65,0.44,0,0,3.93,6.54,1.84,0,0,0,0.05,0.1,x
2019,7,0,0,0,0,0.25,0.92,0.12,0.23,0.7,0.66,1.54,0.92,1.37,0.02,0,0.09,2.61,3.23,13.09,1.45,2.21,0.06,7.02,0.01,1.2,7.08,8.98,3.04,2.78,10.8,1.35
2019,8,0.46,0.19,0.55,3.12,0.96,3.73,0.79,14.46,8.51,4.79,5.35,2.7,3.68,8.71,0.96,13.49,1.17,1.98,1.42,0.79,1.54,0.45,0.01,0,0.01,0.02,2.03,3,0.09,0.87,0.93
