Week no.,WK19,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,29/01/22,,30/01/22,,31/01/22,,01/02/22,,02/02/22,,03/02/22,,04/02/22,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,29/01/22,30/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,,04/02/2022,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,29/01/22,30/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
0,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,24-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,2636,2688,3539,3544,3465,2908,3472,2668,3524,3176,2924,3228,2668,2888,,,,20076,21100,15574,5275,2688,3544,2908,2668,3176,3228,2888,,2888,,,,,,,,4,672,886,727,667,794,807,722,5275,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,6134,6368,6925,7352,6780,5544,6793,7328,6897,6584,5722,5520,5220,5712,,,,42864,44408,35109,5551,6368,7352,5544,7328,6584,5520,5712,,5712,,,,,MISSING,MISSING,,8,796,919,693,916,823,690,714,5551,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,5391,5080,7052,7008,6904,6008,6918,5440,7023,6600,5827,6216,5316,5528,,,,39136,41880,36333,5235,5080,7008,6008,5440,6600,6216,5528,,5528,,,,,MISSING,MISSING,,8,635,876,751,680,825,777,691,5235,OK,,22708
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,1098,1204,1423,1496,1393,1336,1396,1308,1417,1212,1176,1492,1073,1368,,,,9064,9416,9391,2354,1204,1496,1336,1308,1212,1492,1368,,1368,,,,,MISSING,MISSING,,4,301,374,334,327,303,373,342,2354,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,4088,4344,5024,5472,4918,4494,4928,5046,5003,4518,4151,4632,3787,4362,,,,31362,32868,35784,5478,4344,5472,4494,5046,4518,4632,4362,,4362,,,,,MISSING,MISSING,,6,724,912,749,841,753,772,727,5478,OK,,23871
50779457,24806,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,,0,,0,1468,1328,481,544,182,156,744,840,231,284,,,,3072,3152,2586,788,0,0,1328,544,156,840,284,,284,,,,,MISSING,MISSING,,4,0,0,332,136,39,210,71,788,OK,,#N/A
50779460,24809,Asda Café,ASC Cheese & Tomato Toastie x4,Asda,P+7,Alternative,,0,,0,1408,1208,457,520,158,160,708,796,198,284,,,,2896,2968,2835,742,0,0,1208,520,160,796,284,,284,,,,,MISSING,MISSING,,4,0,0,302,130,40,199,71,742,OK,,#N/A
50779461,24810,Asda Café,ASC Ham & Cheese Toastie x4,Asda,P+7,Alternative,,0,,0,1849,1644,534,684,235,216,906,924,255,324,,,,3736,3792,3156,948,0,0,1644,684,216,924,324,,324,,,,,MISSING,MISSING,,4,0,0,411,171,54,231,81,948,OK,,#N/A
