Week no.,WK13,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,18/12/21,,19/12/21,,20/12/21,,21/12/21,,22/12/21,,23/12/21,,24/12/21,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,,23/12/2021,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
0,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,24-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,2866,1648,2384,2384,3404,3024,2601,3288,3941,3172,,0,,,,,,20664,13516,15217,3379,1648,2384,3024,3288,3172,0,0,,0,,,,,,,,4,412,596,756,822,793,0,0,3379,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,6123,4640,7440,7440,7584,,8776,,3544,,7904,7904,,0,,,,47456,19984,30077,2498,4640,7440,0,0,0,7904,0,,7904,,,,,MISSING,MISSING,,8,580,930,0,0,0,988,0,2498,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,5692,3184,5304,5304,6759,6200,7221,7976,7826,6536,,0,,0,,,,43880,29200,34827,3650,3184,5304,6200,7976,6536,0,0,,0,,,,,MISSING,MISSING,,8,398,663,775,997,817,0,0,3650,OK,,22708
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,1469,840,1428,1428,1745,1480,1864,1612,2020,1484,,0,,0,,,,0,6844,8629,1711,840,1428,1480,1612,1484,0,0,,0,,,,,MISSING,MISSING,,4,210,357,370,403,371,0,0,1711,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,4680,3000,4638,4638,5557,5394,5938,6852,6435,5178,,0,,0,,,,37932,25062,34833,4177,3000,4638,5394,6852,5178,0,0,,0,,,,,MISSING,MISSING,,6,500,773,899,1142,863,0,0,4177,OK,,23871
50779457,24806,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,,0,,0,852,544,400,356,396,188,1788,2176,,0,,,,3396,3264,3709,816,0,0,544,356,188,2176,0,,2076,,,,,MISSING,MISSING,,4,0,0,136,89,47,544,0,816,OK,,#N/A
50779460,24809,Asda Café,ASC Cheese & Tomato Toastie x4,Asda,P+7,Alternative,,0,,0,,,,,,,,,,0,,,,3716,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
50779461,24810,Asda Café,ASC Ham & Cheese Toastie x4,Asda,P+7,Alternative,,0,,0,1744,588,804,416,812,236,1788,2224,,0,,,,2872,3464,4708,866,0,0,588,416,236,2224,0,,2124,,,,,MISSING,MISSING,,4,0,0,147,104,59,556,0,866,OK,,#N/A
50779462,24811,Asda Café,ASC ADB Topped Toastie x4,Asda,P+7,Alternative,,0,,0,,,,,,,,,,0,,,,1736,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
50773032,24821,Asda Café,ASC Cheeseboard Toastie,Asda,P+7,Alternative,,0,,0,600,704,356,408,360,188,1788,2212,,0,,,,1684,3512,2765,878,0,0,704,408,188,2212,0,,2112,,,,,MISSING,MISSING,,4,0,0,176,102,47,553,0,878,OK,,#N/A
50027363,26311,Asda Café,ASC Turkey Feast Toastie,Asda,P+7,Alternative,,0,,0,1196,640,540,368,584,204,1688,2072,,0,,,,1684,3284,2765,821,0,0,640,368,204,2072,0,,2072,,,,,MISSING,MISSING,,4,0,0,160,92,51,518,0,821,OK,,#N/A
,M11934,Asda,AS TOASTIES (CHEESE & BECHAMEL),Asda,,,,0,,0,,1472,,850,,433,,4698,,0,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11393,Asda,AS TOASTIES (CHEESE & MUSTARD),Asda,,,,0,,0,,706,,499,,283,,2669,,0,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11394,Asda,AS TOASTIES (BEANS & CHEESE),Asda,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11395,Asda,AS TOASTIES ( CHEESE & TOAMATO),Asda,,,,0,,0, ,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,,,,,,,,9.00%,,18.00%,,17.00%,,18.00%,,16.00%,,14.00%,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COOP,,Totals ASDA,,,,20830,13312,23790,23670,26253,17646,27608,20544,27342,25054,7904,7904,0,0,0,0,0,165020,108130,137530,18796,13312,21194,18574,21276,17186,12304,0,0,16288,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.05,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.180,,0.190,,0.140,,0.130,,0.160,,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250,19488,Co-op,Co-op Chicken & Bacon Caesar Wrap,Co-op,P+4,wrap,,,6757,6757,11055,4922,6761,3244,6537,7712,9981,3487,,0,,,,0,26122,45658,26122,0,6757,4922,3244,7712,3487,0,,9632,,,,,,MISSING,,1,0,6757,4922,3244,7712,3487,0,26122,OK,,19488
6250,19488P,Co-op,PULL FW Co-op Chicken & Bacon Caesar Wrap ,Co-op,P+4,wrap,,7000,,7000,,5000,,,,6145,,,,,,,,0,25145,0,25145,7000,7000,5000,0,6145,0,0,,0,,,,,MISSING,MISSING,,1,7000,7000,5000,0,6145,0,0,25145,OK,,#N/A
6251,19489,Co-op,Co-op Aromatic Duck Wrap,Co-op,P+3,wrap,,,3534,3534,2281,3763,2436,2347,,0,,0,,0,,,,24618,9644,12551,9644,0,3534,3763,2347,0,0,0,,0,,,,,,MISSING,,1,0,3534,3763,2347,0,0,0,9644,OK,,19489
6252,19490,Co-op,Co-op Southern Fried Chicken Wrap,Co-op,P+3,wrap,,,6328,6328,8440,8284,5841,1946,5571,0,4245,0,,0,,,,5820,16558,30610,16558,0,6328,8284,1946,0,0,0,,437,,,,,MISSING,MISSING,,1,0,6328,8284,1946,0,0,0,16558,OK,,19490
6252,19490P,Co-op,PULL FORWARD Co-op Southern Fried Chicken Wrap,Co-op,P+3,wrap,,5000,,5000,,4000,,1672,,437,,,,,,,,28123,16109,0,16109,5000,5000,4000,1672,437,0,0,,0,,,,,MISSING,MISSING,,1,5000,5000,4000,1672,437,0,0,16109,OK,,#N/A
6253,19491,Co-op,Co-op Falafel Wrap,Co-op,P+4,wrap,,,2717,2717,1489,2858,1432,1474,,0,,0,,0,,,,14745,7049,8105,7049,0,2717,2858,1474,0,0,0,,0,,,,,MISSING,MISSING,,1,0,2717,2858,1474,0,0,0,7049,OK,,19491
6253,19491P,Co-op,PULL FORWARD Co-op Falafel Wrap,Co-op,P+4,wrap,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,1,0,0,0,0,0,0,0,0,OK,,#N/A
6747,27443,Co-op,COOP HAM & CHEESE SUB ROLL,Co-op,P+3,Alternative,,,7496,6027,7944,5744,6524,4371,0,0,,0,,0,,,,44900,16142,34726,16142,0,6027,5744,4371,0,0,0,,0,,,,,MISSING,MISSING,,1,0,6027,5744,4371,0,0,0,16142,OK,,#N/A
6748,27445,Co-op,COOP TUNA CRUNCH SUB ROLL,Co-op,P+3,Alternative,,,3770,3140,4801,3087,3496,2509,0,0,,0,,0,,,,22307,8736,11803,8736,0,3140,3087,2509,0,0,0,,0,,,,,MISSING,MISSING,,1,0,3140,3087,2509,0,0,0,8736,OK,,#N/A
4458,17104,Co-op,Co-op Southern Fried Chicken Wrap x4,Co-op,P+4,wrap,,,1354,1048,379,716,1068,572,993,360,757,757,,0,,,,1180,3453,1189,863,0,1048,716,572,360,757,0,,0,,,,,MISSING,MISSING,,4,0,262,179,143,90,189,0,863,OK,,17104
4448,17105,Co-op,Co-op Chicken & Bacon Caesar Wrap x4,Co-op,P+3,wrap,,,954,1224,379,824,799,744,829,716,477,1024,,0,,,,0,4532,1822,1133,0,1224,824,744,716,1024,0,,1024,,,,,MISSING,MISSING,,4,0,306,206,186,179,256,0,1133,OK,,17105
4413,19743,Co-op,Co-op Falafel Wrap x 4,Co-op,P+3,wrap,,,168,372,124,220,144,212,,0,,0,,0,,,,544,804,479,201,0,372,220,212,0,0,0,,0,,,,,MISSING,MISSING,,4,0,93,55,53,0,0,0,201,OK,,19743
