Week no.,WK 51,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,14/09/19,,15/09/19,,16/09/19,,17/09/19,,18/09/19,,19/09/19,,20/09/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,14/09/19,15/09/19,16/09/19,17/09/19,18/09/19,19/09/19,20/09/19,,20/09/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,14/09/19,15/09/19,16/09/19,17/09/19,18/09/19,19/09/19,20/09/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,chicken change,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delist 04/07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1400,512,3000,2804,3000,2796,2500,3100,3000,3176,3000,2588,1600,1880,,,,18372,16856,13000,4214,512,2804,2796,3100,3176,2588,1880,,1880,,,,,,,,4,128,701,699,775,794,647,470,4214,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,3200,2712,5200,5888,5500,5376,5500,6512,5500,5544,5500,4496,4000,3096,,,,33920,33624,31000,4203,2712,5888,5376,6512,5544,4496,3096,,3096,,,,,MISSING,MISSING,,8,339,736,672,814,693,562,387,4203,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2600,2104,4800,5688,5500,5280,5500,6040,5500,5888,5500,4656,3500,3528,,,,33408,33184,29500,4148,2104,5688,5280,6040,5888,4656,3528,,3528,,,,,MISSING,MISSING,,8,263,711,660,755,736,582,441,4148,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,600,316,800,1220,900,692,900,920,800,872,800,620,600,696,,,,4584,5336,4604,1334,316,1220,692,920,872,620,696,,696,,,,,MISSING,MISSING,,4,79,305,173,230,218,155,174,1334,OK,,23355
