Week no.,WK 01,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,28/09/19,,29/09/19,,30/09/19,,01/10/19,,02/10/19,,03/10/19,,04/10/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,28/09/19,29/09/19,30/09/19,01/10/19,02/10/19,03/10/19,04/10/19,,04/10/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,28/09/19,29/09/19,30/09/19,01/10/19,02/10/19,03/10/19,04/10/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,chicken change,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delist 04/07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1400,1336,2600,2468,2600,3436,3000,3080,3000,3488,3000,2340,1800,1236,,,,18004,17384,13053,4346,1336,2468,3436,3080,3488,2340,1236,,1236,,,,,,,,4,334,617,859,770,872,585,309,4346,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,3200,3576,5500,5216,5500,6328,5500,6104,5500,6256,5000,5040,3800,3616,,,,35192,36136,31467,4517,3576,5216,6328,6104,6256,5040,3616,,3616,,,,,MISSING,MISSING,,8,447,652,791,763,782,630,452,4517,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2600,3280,5500,4816,5500,6496,5500,5728,5500,5968,5000,4680,3500,2992,,,,33336,33960,28001,4245,3280,4816,6496,5728,5968,4680,2992,,2992,,,,,MISSING,MISSING,,8,410,602,812,716,746,585,374,4245,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,600,416,1000,680,900,944,1000,872,900,1872,800,892,800,44,,,,6124,5720,4598,1430,416,680,944,872,1872,892,44,,44,,,,,MISSING,MISSING,,4,104,170,236,218,468,223,11,1430,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,750,520,1200,864,1000,1364,1200,1160,1000,1924,1000,964,900,40,,,,7400,6836,5761,1709,520,864,1364,1160,1924,964,40,,40,,,,,MISSING,MISSING,,4,130,216,341,290,481,241,10,1709,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,500,308,1000,472,600,780,800,708,700,1492,600,512,700,52,,,,4728,4324,3488,1081,308,472,780,708,1492,512,52,,52,,,,,MISSING,MISSING,,4,77,118,195,177,373,128,13,1081,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,900,524,1200,1096,1200,1680,1200,1460,1100,1984,1200,1076,1000,420,,,,8304,8240,7399,2060,524,1096,1680,1460,1984,1076,420,,420,,,,,MISSING,MISSING,,4,131,274,420,365,496,269,105,2060,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,2200,1704,3200,3486,4000,4914,4000,4104,4000,5028,3600,3336,2400,1764,,,,24516,24336,19192,4056,1704,3486,4914,4104,5028,3336,1764,,1764,,,,,MISSING,MISSING,,6,284,581,819,684,838,556,294,4056,OK,,23871
,24806,Asda,ASC NEW Tuna Melt Panini x4,Asda,P+7,Alternative,400,524,450,732,400,488,450,380,450,480,550,260,550,,,,,3048,2864,3256,716,524,732,488,380,480,260,0,,0,,,,,MISSING,MISSING,,4,131,183,122,95,120,65,0,716,OK,,#N/A
,24807,Asda,ASC NEW Chicken & Chorizo Panini x4,Asda,P+7,Alternative,300,540,320,556,300,348,350,384,300,416,320,212,400,,,,,2552,2456,3095,614,540,556,348,384,416,212,0,,0,,,,,MISSING,MISSING,,4,135,139,87,96,104,53,0,614,OK,,#N/A
,24808,Asda,ASC NEW Cheese & Ham Panini x4,Asda,P+7,Alternative,420,652,620,892,550,492,650,424,560,636,800,384,800,,,,,3612,3480,3739,870,652,892,492,424,636,384,0,,0,,,,,MISSING,MISSING,,4,163,223,123,106,159,96,0,870,OK,,#N/A
,24809,Asda Café,ASC NEW Cheese & Tomato Toastie x4,Asda,P+7,Alternative,400,564,560,808,500,508,500,480,500,584,550,224,550,,,,,3360,3168,2897,792,564,808,508,480,584,224,0,,0,,,,,MISSING,MISSING,,4,141,202,127,120,146,56,0,792,OK,,#N/A
,24810,Asda Café,ASC NEW Ham & Cheese Toastie x4,Asda,P+7,Alternative,420,612,620,756,550,724,650,508,560,664,800,304,800,,,,,4064,3568,3519,892,612,756,724,508,664,304,0,,0,,,,,MISSING,MISSING,,4,153,189,181,127,166,76,0,892,OK,,#N/A
,24811,Asda Café,ASC NEW ADB Topped Toastie x4,Asda,P+7,Alternative,400,520,560,780,500,752,500,456,550,656,550,84,550,,,,,3520,3248,2576,812,520,780,752,456,656,84,0,,0,,,,,MISSING,MISSING,,4,130,195,188,114,164,21,0,812,OK,,#N/A
,24812,Asda Café,ASC NEW Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,100,528,120,332,120,236,120,208,120,308,200,44,200,24,,,,1748,1680,1187,420,528,332,236,208,308,44,24,,24,,,,,MISSING,MISSING,,4,132,83,59,52,77,11,6,420,OK,,#N/A
,24813,Asda Café,ASC NEW Meatball Hot Wrap x4,Asda,P+7,Alternative,100,520,100,288,100,232,100,212,100,300,200,36,200,12,,,,1608,1600,1079,400,520,288,232,212,300,36,12,,12,,,,,MISSING,MISSING,,4,130,72,58,53,75,9,3,400,OK,,#N/A
50773033,24821,Asda Café,ASC XMAS BRIE & CRANBERRY PANINI x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
50773032,23847,Asda Café,AFS XMAS CHEESEBOARD TOASTIE x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,23847
,24319,Asda Café,ASC Chicken Fajita Hot Wrap x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
,24320,Asda Café,ASC Meatball Hot Wrap x4,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
