Week no.,WK18,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,22/01/22,,23/01/22,,24/01/22,,25/01/22,,26/01/22,,27/01/22,,28/01/22,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,22/01/22,23/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,,28/01/2022,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,22/01/22,23/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
0,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,24-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,2517,2272,3758,2984,3679,3044,2814,3212,3743,3276,3341,2864,2833,2424,,,,20664,20076,16294,5019,2272,2984,3044,3212,3276,2864,2424,,2424,,,,,,,,4,568,746,761,803,819,716,606,5019,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,4732,5440,7064,6680,6916,6200,6664,7792,7036,6880,6280,5160,5325,4712,,,,47456,42864,36627,5358,5440,6680,6200,7792,6880,5160,4712,,4712,,,,,MISSING,MISSING,,8,680,835,775,974,860,645,589,5358,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,4963,3944,7410,5704,7255,5936,6147,6608,7380,6560,6587,5440,5586,4944,,,,43880,39136,38012,4892,3944,5704,5936,6608,6560,5440,4944,,4944,,,,,MISSING,MISSING,,8,493,713,742,826,820,680,618,4892,OK,,22708
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,1009,1140,1506,1320,1474,1324,1433,1492,1500,1436,1339,1220,1135,1132,,,,0,9064,9564,2266,1140,1320,1324,1492,1436,1220,1132,,1132,,,,,MISSING,MISSING,,4,285,330,331,373,359,305,283,2266,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,3414,3972,5096,4872,4990,4614,5126,5526,5076,4650,4530,3906,3842,3822,,,,37932,31362,37334,5227,3972,4872,4614,5526,4650,3906,3822,,3822,,,,,MISSING,MISSING,,6,662,812,769,921,775,651,637,5227,OK,,23871
50779457,24806,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,,0,,0,1161,1452,660,476,255,180,399,736,607,228,,,,3396,3072,2585,768,0,0,1452,476,180,736,228,,228,,,,,MISSING,MISSING,,4,0,0,363,119,45,184,57,768,OK,,#N/A
50779460,24809,Asda Café,ASC Cheese & Tomato Toastie x4,Asda,P+7,Alternative,,0,,0,708,1392,398,452,171,156,234,700,363,196,,,,3716,2896,2828,724,0,0,1392,452,156,700,196,,196,,,,,MISSING,MISSING,,4,0,0,348,113,39,175,49,724,OK,,#N/A
50779461,24810,Asda Café,ASC Ham & Cheese Toastie x4,Asda,P+7,Alternative,,0,,0,1445,1828,804,528,374,232,463,896,730,252,,,,2872,3736,3156,934,0,0,1828,528,232,896,252,,252,,,,,MISSING,MISSING,,4,0,0,457,132,58,224,63,934,OK,,#N/A
50779462,24811,Asda Café,ASC ADB Topped Toastie x4,Asda,P+7,Alternative,,0,,0,526,1048,295,336,127,92,174,528,270,172,,,,1736,2176,1953,544,0,0,1048,336,92,528,172,,172,,,,,MISSING,MISSING,,4,0,0,262,84,23,132,43,544,OK,,#N/A
50773032,24821,Asda Café,ASC Cheeseboard Toastie,Asda,P+7,Alternative,,0,,0,1071,216,602,96,237,28,392,120,567,20,,,,1684,480,2506,120,0,0,216,96,28,120,20,,20,,,,,MISSING,MISSING,,4,0,0,54,24,7,30,5,120,OK,,#N/A
50027363,26311,Asda Café,ASC Turkey Feast Toastie,Asda,P+7,Alternative,,0,,0,,0,0,0,0,0,0,0,0,0,,,,1684,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
,M11934,Asda,AS TOASTIES (CHEESE & BECHAMEL),Asda,,,,,,,,216,,96,,28,,120,,20,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11393,Asda,AS TOASTIES (CHEESE & MUSTARD),Asda,,,,,,,,2194,,634,,278,,1075,,302,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11394,Asda,AS TOASTIES (BEANS & CHEESE),Asda,,,,,,,,1258,,403,,110,,634,,206,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11395,Asda,AS TOASTIES ( CHEESE & TOAMATO),Asda,,,,,,, ,1670,,542,,187,,840,,235,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,,,,,,,,9.00%,,18.00%,,17.00%,,18.00%,,16.00%,,14.00%,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP,,,,,,16446,16768,24901,27496,24415,23006,23111,25318,26005,25782,24047,19458,18722,17034,0,0,0,165020,154862,150859,25852,16768,21560,27054,26518,23490,21450,17902,0,17902,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21767,BP,BP Cheese & Ham Toastie,Asda,P+4,Alternative,,,1836,1836,1680,1620,2560,1804,2460,1592,3496,3844,,,,,,#N/A,10696,#N/A,2674,0,1836,1620,1804,1592,3844,0,,0,,,,,,,,4,0,459,405,451,398,961,0,2674,OK,,21767
,24192,BP,BP Bacon Bap,Asda,P+5,Alternative,,,3312,3312,2868,2788,4404,3160,4404,2940,5920,6512,,,,,,#N/A,18712,#N/A,4678,0,3312,2788,3160,2940,6512,0,,0,,,,,MISSING,MISSING,,4,0,828,697,790,735,1628,0,4678,OK,,24192
,24193,BP,BP Sausage Bap,Asda,P+5,Alternative,,,3244,3244,2852,2700,4378,3180,4378,2944,5944,6540,,,,,,#N/A,18608,#N/A,4652,0,3244,2700,3180,2944,6540,0,,0,,,,,MISSING,MISSING,,4,0,811,675,795,736,1635,0,4652,OK,,#N/A
,24779,BP,BP Pepperoni & Mozzarella Panini ,Asda,P+4,Alternative,,,1212,1212,1140,1240,1666,1204,1614,1076,2352,2588,,,,,,#N/A,7320,#N/A,1830,0,1212,1240,1204,1076,2588,0,,0,,,,,MISSING,MISSING,,4,0,303,310,301,269,647,0,1830,OK,,#N/A
,28541,BP,BP Cheese & Onion Toastie,Asda,P+4,Alternative,,,1344,1344,1216,1160,1786,1164,1754,1652,2552,2808,,,,,,#N/A,8128,#N/A,2032,0,1344,1160,1164,1652,2808,0,,0,,,,,MISSING,MISSING,,4,0,336,290,291,413,702,0,2032,OK,,#N/A
,28542,BP,BP ADB Wrap,Asda,P+2,Alternative,,,1824,1824,1500,1388,2346,1592,2094,1584,3144,3460,,,,,,#N/A,9848,#N/A,2462,0,1824,1388,1592,1584,3460,0,,0,,,,,MISSING,MISSING,,4,0,456,347,398,396,865,0,2462,OK,,#N/A
,M9240,BP,BP TOASTIE (CHEESE),Asda,,,,,,2203,,1944,,2165,,1910,,4613,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M10196,BP,"BP TOASTIE (Cheese, Red Onion & Mozzarella)",Asda,,,,,,1613,,1392,,1397,,1982,,3370,,,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,,,,,,,,9.00%,,18.00%,,17.00%,,18.00%,,16.00%,,14.00%,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COOP,,Totals ASDA,,,,0,0,12772,12772,11256,10896,17140,12104,16704,11788,23408,25752,0,0,,,,,73312,#N/A,,,12772,10896,12104,11788,25752,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.180,,0.190,,0.140,,0.130,,0.160,,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250,19488,Co-op,Co-op Chicken & Bacon Caesar Wrap,Co-op,P+4,wrap,,,7793,3854,7110,1359,7840,2241,7648,1952,7984,1891,9353,8887,,,,0,20184,54220,20184,0,3854,1359,2241,1952,1891,8887,,10807,,,,,,MISSING,,1,0,3854,1359,2241,1952,1891,8887,20184,OK,,19488
6250,19488P,Co-op,PULL FW Co-op Chicken & Bacon Caesar Wrap ,Co-op,P+4,wrap,,6000,,6000,,6000,,6000,,6000,,1920,,,,,,0,31920,0,31920,6000,6000,6000,6000,6000,1920,0,,0,,,,,MISSING,MISSING,,1,6000,6000,6000,6000,6000,1920,0,31920,OK,,#N/A
6251,19489,Co-op,Co-op Aromatic Duck Wrap,Co-op,P+3,wrap,,,4788,5653,4435,5246,3468,5491,4717,5270,4683,5297,0,,,,,24618,26957,15339,26957,0,5653,5246,5491,5270,5297,0,,0,,,,,,MISSING,,1,0,5653,5246,5491,5270,5297,0,26957,OK,,19489
6252,19490,Co-op,Co-op Southern Fried Chicken Wrap,Co-op,P+3,wrap,,,6718,,7863,,7922,,5038,,6267,,8679,,,,,5820,0,36315,0,0,0,0,0,0,0,0,,8679,,,,,MISSING,MISSING,,1,0,0,0,0,0,0,0,0,OK,,19490
6252,19490P,Co-op,PULL FORWARD Co-op Southern Fried Chicken Wrap,Co-op,P+3,wrap,,,,,,,,,,,,,,,,,,28123,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,1,0,0,0,0,0,0,0,0,OK,,#N/A
