Week no.,WK17,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,15/01/22,,16/01/22,,17/01/22,,18/01/22,,19/01/22,,20/01/22,,21/01/22,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,,21/01/2022,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
0,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,24-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,2245,1972,3211,3088,3179,3068,3100,2488,3086,2788,2942,2628,2356,2384,,,,20664,18416,16172,4604,1972,3088,3068,2488,2788,2628,2384,,2384,,,,,,,,4,493,772,767,622,697,657,596,4604,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,5651,5504,6748,7008,6655,7048,6525,6832,6897,6048,5986,4600,4685,3992,,,,47456,41032,36330,5129,5504,7008,7048,6832,6048,4600,3992,,3992,,,,,MISSING,MISSING,,8,688,876,881,854,756,575,499,5129,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,4917,4280,6534,6016,6711,6008,6674,5376,6256,5392,6311,7144,5233,4120,,,,43880,38336,37728,4792,4280,6016,6008,5376,5392,7144,4120,,4120,,,,,MISSING,MISSING,,8,535,752,751,672,674,893,515,4792,OK,,22708
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,1185,1176,1404,1356,1320,1524,1441,1464,1487,1424,1394,1072,1157,1028,,,,0,9044,9433,2261,1176,1356,1524,1464,1424,1072,1028,,1028,,,,,MISSING,MISSING,,4,294,339,381,366,356,268,257,2261,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,4273,3576,5382,5370,5159,5088,5312,5130,5452,4512,4894,3708,3674,2022,,,,37932,29406,37031,4901,3576,5370,5088,5130,4512,3708,2022,,2022,,,,,MISSING,MISSING,,6,596,895,848,855,752,618,337,4901,OK,,23871
50779457,24806,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,,0,,0,1161,1264,533,452,255,180,399,744,607,220,,,,3396,2860,2693,715,0,0,1264,452,180,744,220,,220,,,,,MISSING,MISSING,,4,0,0,316,113,45,186,55,715,OK,,#N/A
50779460,24809,Asda Café,ASC Cheese & Tomato Toastie x4,Asda,P+7,Alternative,,0,,0,708,1168,321,416,171,172,234,644,363,212,,,,3716,2612,2918,653,0,0,1168,416,172,644,212,,212,,,,,MISSING,MISSING,,4,0,0,292,104,43,161,53,653,OK,,#N/A
50779461,24810,Asda Café,ASC Ham & Cheese Toastie x4,Asda,P+7,Alternative,,0,,0,1445,1540,648,624,374,212,463,852,730,264,,,,2872,3492,3289,873,0,0,1540,624,212,852,264,,264,,,,,MISSING,MISSING,,4,0,0,385,156,53,213,66,873,OK,,#N/A
50779462,24811,Asda Café,ASC ADB Topped Toastie x4,Asda,P+7,Alternative,,0,,0,526,852,238,324,127,112,174,548,270,140,,,,1736,1976,2034,494,0,0,852,324,112,548,140,,140,,,,,MISSING,MISSING,,4,0,0,213,81,28,137,35,494,OK,,#N/A
50773032,24821,Asda Café,ASC Cheeseboard Toastie,Asda,P+7,Alternative,,0,,0,1071,292,486,144,237,52,392,152,567,44,,,,1684,684,2612,171,0,0,292,144,52,152,44,,44,,,,,MISSING,MISSING,,4,0,0,73,36,13,38,11,171,OK,,#N/A
50027363,26311,Asda Café,ASC Turkey Feast Toastie,Asda,P+7,Alternative,,0,,0,,0,0,0,0,0,0,0,0,0,,,,1684,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
,M11934,Asda,AS TOASTIES (CHEESE & BECHAMEL),Asda,,,,,,,,292,,144,,52,,152,,44,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11393,Asda,AS TOASTIES (CHEESE & MUSTARD),Asda,,,,,,,,1848,,749,,254,,1022,,317,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11394,Asda,AS TOASTIES (BEANS & CHEESE),Asda,,,,,,,,1022,,389,,134,,658,,168,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,M11395,Asda,AS TOASTIES ( CHEESE & TOAMATO),Asda,,,,,,, ,1402,,499,,206,,773,,254,,,,,,,,,,,,,,,,,,,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,
,,,,,,,,9.00%,,18.00%,,17.00%,,18.00%,,16.00%,,14.00%,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COOP,,Totals ASDA,,,,16446,16508,24901,27954,24415,24696,23112,22018,24448,23104,23496,20032,17105,13546,0,0,0,165020,147858,150240,24593,16508,22838,27852,23250,20892,21940,14426,0,14426,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.05,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.180,,0.190,,0.140,,0.130,,0.160,,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250,19488,Co-op,Co-op Chicken & Bacon Caesar Wrap,Co-op,P+4,wrap,,,1297,1716,2036,2040,7817,2762,1505,2572,8870,1327,9261,5169,,,,0,15586,54912,15586,0,1716,2040,2762,2572,1327,5169,,10169,,,,,,MISSING,,1,0,1716,2040,2762,2572,1327,5169,15586,OK,,19488
6250,19488P,Co-op,PULL FW Co-op Chicken & Bacon Caesar Wrap ,Co-op,P+4,wrap,,6000,,5000,,5000,,5000,,6500,,5000,,,,,,0,32500,0,32500,6000,5000,5000,5000,6500,5000,0,,0,,,,,MISSING,MISSING,,1,6000,5000,5000,5000,6500,5000,0,32500,OK,,#N/A
6251,19489,Co-op,Co-op Aromatic Duck Wrap,Co-op,P+3,wrap,,,4264,4741,4602,4391,3531,3434,3774,4670,4403,4591,0,,,,,24618,21827,15557,21827,0,4741,4391,3434,4670,4591,0,,0,,,,,,MISSING,,1,0,4741,4391,3434,4670,4591,0,21827,OK,,19489
6252,19490,Co-op,Co-op Southern Fried Chicken Wrap,Co-op,P+3,wrap,,,6657,,6832,,6210,,3448,,7572,,8069,,,,,5820,0,36777,0,0,0,0,0,0,0,0,,8069,,,,,MISSING,MISSING,,1,0,0,0,0,0,0,0,0,OK,,19490
6252,19490P,Co-op,PULL FORWARD Co-op Southern Fried Chicken Wrap,Co-op,P+3,wrap,,,,,,,,,,,,,,,,,,28123,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,1,0,0,0,0,0,0,0,0,OK,,#N/A
6253,19491,Co-op,Co-op Falafel Wrap,Co-op,P+4,wrap,,,2960,3132,3265,3066,1925,1974,2282,2694,3089,3228,0,,,,,14745,14094,9726,14094,0,3132,3066,1974,2694,3228,0,,0,,,,,MISSING,MISSING,,1,0,3132,3066,1974,2694,3228,0,14094,OK,,19491
6253,19491P,Co-op,PULL FORWARD Co-op Falafel Wrap,Co-op,P+4,wrap,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,1,0,0,0,0,0,0,0,0,OK,,#N/A
6747,27443,Co-op,COOP HAM & CHEESE SUB ROLL,Co-op,P+3,Alternative,,,5935,5838,5894,5984,5865,6147,5800,6336,5869,6169,6979,5562,,,,44900,36036,41385,36036,0,5838,5984,6147,6336,6169,5562,,5562,,,,,MISSING,MISSING,,1,0,5838,5984,6147,6336,6169,5562,36036,OK,,#N/A
6748,27445,Co-op,COOP TUNA CRUNCH SUB ROLL,Co-op,P+3,Alternative,,,3049,3224,3434,3308,3139,3492,3311,3499,3361,3436,4061,4268,,,,22307,21227,20640,21227,0,3224,3308,3492,3499,3436,4268,,4268,,,,,MISSING,MISSING,,1,0,3224,3308,3492,3499,3436,4268,21227,OK,,#N/A
4458,17104,Co-op,Co-op Southern Fried Chicken Wrap x4,Co-op,P+4,wrap,,,1192,,868,,944,,840,,912,,792,,,,,1180,0,1422,0,0,0,0,0,0,0,0,,792,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,17104
4448,17105,Co-op,Co-op Chicken & Bacon Caesar Wrap x4,Co-op,P+3,wrap,,,1665,1320,918,896,950,1076,1150,864,1143,1024,1164,824,,,,0,6004,2185,1501,0,1320,896,1076,864,1024,824,,824,,,,,MISSING,MISSING,,4,0,330,224,269,216,256,206,1501,OK,,17105
4413,19743,Co-op,Co-op Falafel Wrap x 4,Co-op,P+3,wrap,,,763,588,330,356,425,468,579,396,570,420,,0,,,,544,2228,573,557,0,588,356,468,396,420,0,,0,,,,,MISSING,MISSING,,4,0,147,89,117,99,105,0,557,OK,,19743
4447,19783,Co-op,Co-op Aromatic Duck Wrap x4,Co-op,P+3,wrap,,,787,540,384,412,393,448,559,392,638,472,,0,,,,928,2264,900,566,0,540,412,448,392,472,0,,0,,,,,MISSING,MISSING,,4,0,135,103,112,98,118,0,566,OK,,19783
,27444,Co-op,COOP HAM & CHEESE SUB ROLL x 4,Co-op,P+3,wrap,,,139,76,94,92,84,96,201,80,129,72,57,28,,,,260,444,249,111,0,76,92,96,80,72,28,,28,,,,,MISSING,MISSING,,4,0,19,23,24,20,18,7,111,OK,,#N/A
,27446,Co-op,COOP TUNA CRUNCH SUB ROLL x 4,Co-op,P+3,Alternative,,,65,24,29,40,24,32,88,40,65,36,48,24,,,,96,196,83,196,0,24,40,32,40,36,24,,24,,,,,MISSING,MISSING,,1,0,24,40,32,40,36,24,196,OK,,#N/A
